=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
00664R.TW  |    MA60    |    15.2% |    -65.34% |       46
8091.TWO   |    MA60    |    31.8% |    116.86% |       85
7810.TWO   |    MA10    |    21.7% |     36.73% |       23
2434.TW    |    MA20    |    18.6% |     51.11% |      177
7610.TW    |    MA10    |    33.3% |     66.02% |        6
4952.TW    |    MA10    |    35.2% |    116.44% |      193
6187.TWO   |    MA10    |    32.7% |    303.23% |      208
00929.TW   |    MA20    |    37.9% |     27.83% |       29
2034.TW    |    MA20    |    24.1% |     -7.28% |      174
2483.TW    |    MA60    |    21.6% |    -38.62% |       97
3581.TWO   |    MA10    |    27.2% |    159.46% |      228
3380.TW    |    MA20    |    30.9% |     27.79% |      139
5301.TWO   |    MA20    |    14.7% |    -12.35% |      143
1795.TW    |    MA10    |    30.7% |    203.23% |      205
6147.TWO   |    MA20    |    31.6% |   -117.38% |      174
6667.TWO   |    MA10    |    31.0% |    217.50% |      145
6231.TWO   |    MA60    |    30.0% |    295.47% |       80
00674R.TW  |    MA60    |    17.8% |    -44.36% |       45
00751B.TWO |    MA20    |    35.5% |     -5.24% |       76
6657.TW    |    MA5     |    24.6% |     15.06% |       65
6799.TW    |    MA10    |    31.7% |     83.68% |       82
6689.TW    |    MA60    |    27.3% |    129.44% |       33
1536.TW    |    MA60    |    23.5% |     13.53% |       85
6716.TWO   |    MA5     |    28.9% |     93.56% |      194
3664.TWO   |    MA60    |    18.0% |   -143.69% |      100
3714.TW    |    MA20    |    26.9% |    -89.95% |       67
3218.TWO   |    MA20    |    24.5% |     94.31% |      159
6698.TW    |    MA10    |    35.1% |    150.94% |      114
5880.TW    |    MA10    |    29.3% |    -46.20% |      232
2349.TW    |    MA10    |    30.8% |    148.84% |      198
4161.TWO   |    MA60    |    16.7% |   -156.10% |      108
7734.TWO   |    MA5     |    24.5% |     17.40% |       53
2401.TW    |    MA20    |    33.6% |     85.50% |      140
6906.TW    |    MA5     |    19.6% |    -40.71% |       56
3563.TW    |    MA10    |    35.1% |    336.89% |      191
6279.TWO   |    MA60    |    33.3% |     -7.52% |       87
3324.TWO   |    MA10    |    33.3% |    501.25% |      207
3577.TWO   |    MA5     |    25.9% |    -91.31% |      328
3357.TWO   |    MA10    |    26.2% |    215.38% |      221
4609.TWO   |    MA10    |    18.0% |   -492.42% |      323
2369.TW    |    MA10    |    32.5% |     56.03% |      194
8489.TWO   |    MA20    |    25.0% |     10.48% |      120
1773.TW    |    MA10    |    29.9% |    147.48% |      224
6844.TWO   |    MA60    |     9.5% |    -16.75% |       21
6931.TW    |    MA20    |    26.1% |     78.57% |       46
4956.TW    |    MA10    |    26.9% |     25.60% |      227
5876.TW    |    MA60    |    22.7% |     -8.07% |       75
4977.TW    |    MA10    |    26.5% |     83.89% |      215
00632R.TW  |    MA20    |    17.9% |    435.80% |      117
8935.TWO   |    MA60    |    22.7% |    -30.32% |      110
5227.TWO   |    MA60    |    24.7% |    -95.21% |       81
3521.TWO   |    MA60    |    20.0% |     14.11% |       80
3564.TWO   |    MA10    |    26.8% |    113.35% |      198
6419.TWO   |    MA60    |    20.2% |    -30.19% |       99
2845.TW    |    MA10    |    23.7% |    -30.59% |      215
3266.TW    |    MA60    |    13.0% |    -97.69% |      115
2812.TW    |    MA10    |    30.8% |     53.43% |      198
00959B.TWO |    MA60    |    60.0% |     -2.74% |        5
2724.TWO   |    MA60    |    20.6% |   -138.98% |      107
2867.TW    |    MA60    |    25.7% |     20.48% |       70
4906.TW    |    MA10    |    32.4% |      1.43% |      204
1203.TW    |    MA60    |    19.6% |      0.58% |       97
2002.TW    |    MA60    |    16.0% |    -42.37% |       75
2478.TW    |    MA10    |    27.3% |    211.77% |      220
4560.TW    |    MA20    |    24.5% |    -39.71% |      106
6865.TWO   |    MA10    |    23.0% |    -56.76% |       74
6988.TW    |    MA60    |     0.0% |    -36.10% |        5
6668.TW    |    MA20    |    22.9% |    -82.13% |      105
020030.TW  |    MA5     |     0.0% |      0.00% |        0
2897.TW    |    MA10    |    21.4% |    -75.27% |      229
3592.TW    |    MA20    |    37.8% |     27.76% |       37
1718.TW    |    MA60    |    24.7% |    -61.59% |       81
6491.TW    |    MA60    |    25.4% |    132.55% |       71
00955.TWO  |    MA5     |    40.6% |     32.69% |       32
2484.TW    |    MA5     |    25.9% |   -133.52% |      328
6996.TWO   |    MA20    |    27.6% |    -31.37% |       29
6166.TW    |    MA60    |    23.7% |    -31.09% |       76
1338.TW    |    MA60    |    24.7% |   -103.21% |       85
00738U.TW  |    MA10    |    33.6% |     62.85% |      125
3694.TW    |    MA10    |    30.8% |     71.35% |      211
6160.TWO   |    MA20    |    24.7% |     91.68% |      146
5426.TWO   |    MA10    |    22.7% |     13.62% |      216
8048.TWO   |    MA20    |    29.6% |    160.24% |      135
2312.TW    |    MA10    |    25.2% |     46.71% |      214
2208.TW    |    MA10    |    23.1% |     25.02% |      212
009803.TW  |    MA10    |    57.1% |     52.97% |        7
7584.TWO   |    MA20    |    29.1% |      5.34% |       79
8050.TWO   |    MA60    |    25.0% |     43.64% |       84
