=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
2485.TW    |    MA20    |    28.1% |     54.95% |    139
3708.TW    |    MA60    |    30.0% |    231.67% |     80
1466.TW    |    MA10    |    16.4% |    -52.46% |    256
4533.TWO   |    MA20    |    26.2% |     99.59% |    160
00631L.TW  |    MA10    |    35.4% |    247.35% |    178
6855.TWO   |    MA60    |    25.8% |     28.65% |     31
2108.TW    |    MA60    |    27.8% |    232.07% |     54
1409.TW    |    MA60    |    21.4% |     13.68% |     98
2049.TW    |    MA10    |    35.3% |    120.64% |    204
6859.TWO   |    MA60    |    11.6% |    -40.42% |     43
1582.TW    |    MA20    |    25.9% |     76.08% |    143
6212.TWO   |    MA60    |    13.8% |   -184.95% |    138
5474.TWO   |    MA20    |    28.8% |    439.02% |    132
8438.TW    |    MA20    |    22.8% |    115.68% |    123
5351.TWO   |    MA10    |    27.6% |     92.31% |    214
1560.TW    |    MA20    |    33.3% |    149.43% |    123
9105.TW    |    MA10    |    29.5% |    345.59% |    210
2353.TW    |    MA60    |    21.8% |     64.51% |     87
2646.TW    |    MA60    |    14.3% |     -9.11% |      7
1736.TW    |    MA60    |    23.5% |    139.95% |     81
6982.TWO   |    MA60    |    26.7% |     35.11% |     15
6190.TWO   |    MA60    |    28.7% |     88.94% |     94
2331.TW    |    MA5     |    32.1% |    103.25% |    290
9910.TW    |    MA60    |    27.7% |     -6.20% |     94
5471.TW    |    MA20    |    32.1% |    -20.00% |    137
00909.TW   |    MA10    |    38.9% |    119.33% |     54
3508.TWO   |    MA5     |    29.2% |    244.88% |    284
2498.TW    |    MA10    |    28.2% |     55.58% |    220
00753L.TW  |    MA20    |    38.0% |     44.00% |     79
6861.TW    |    MA10    |    25.0% |    -10.12% |     76
8110.TW    |    MA20    |    35.9% |    411.80% |    142
2481.TW    |    MA10    |    34.2% |    297.30% |    202
4722.TW    |    MA60    |    33.3% |    258.19% |     72
5516.TWO   |    MA60    |    19.2% |    -70.97% |    125
5223.TWO   |    MA60    |    20.0% |     59.40% |     50
3083.TWO   |    MA10    |    27.9% |    121.25% |    201
7777.TWO   |    MA5     |    19.5% |    102.89% |     41
2393.TW    |    MA10    |    31.9% |     37.84% |    204
3615.TWO   |    MA5     |    29.3% |     60.92% |    307
6207.TWO   |    MA20    |    28.8% |    170.68% |    132
5205.TWO   |    MA5     |    21.2% |     16.27% |    264
6937.TW    |    MA10    |    31.7% |     46.72% |     60
1611.TW    |    MA20    |    24.2% |    -43.46% |    161
6230.TW    |    MA60    |    26.3% |    140.24% |     95
2413.TW    |    MA10    |    26.8% |    222.21% |    190
6887.TW    |    MA60    |     0.0% |     -1.21% |      1
6188.TWO   |    MA10    |    32.5% |    204.88% |    194
3535.TW    |    MA20    |    24.7% |    271.11% |    154
2726.TWO   |    MA60    |    26.1% |     33.67% |     69
2103.TW    |    MA60    |    20.7% |    -38.66% |     87
6980.TWO   |    MA20    |    23.1% |    130.41% |     26
8089.TWO   |    MA60    |    17.9% |    300.51% |     39
6890.TW    |    MA60    |    33.3% |    -41.02% |      9
2431.TW    |    MA60    |    25.0% |    -67.87% |     84
9921.TW    |    MA20    |    25.5% |     22.36% |    149
6640.TWO   |    MA60    |    34.9% |    662.98% |     43
2451.TW    |    MA20    |    31.7% |     85.70% |    145
3526.TWO   |    MA20    |    33.8% |    223.89% |    136
00770.TW   |    MA60    |    35.0% |     62.07% |     40
3234.TWO   |    MA20    |    29.1% |    133.50% |    141
00795B.TWO |    MA20    |    30.9% |    -19.27% |     81
2302.TW    |    MA20    |    26.5% |     44.20% |    155
6957.TW    |    MA20    |    21.7% |    -27.38% |     23
3025.TW    |    MA10    |    31.8% |    312.73% |    201
5011.TWO   |    MA60    |    14.3% |    -15.86% |     77
4406.TWO   |    MA60    |    11.6% |   -316.99% |    181
8234.TWO   |    MA20    |    31.6% |    121.70% |    133
7714.TWO   |    MA20    |    32.0% |     11.86% |     25
1432.TW    |    MA10    |    27.5% |    -12.18% |    204
3661.TW    |    MA60    |    32.4% |    670.67% |     71
3033.TW    |    MA10    |    23.6% |    -23.89% |    225
00646.TW   |    MA20    |    39.6% |     43.16% |    101
6592.TW    |    MA60    |    16.7% |     22.10% |     54
2314.TW    |    MA60    |    25.0% |     41.60% |     88
6451.TW    |    MA10    |    34.5% |    188.93% |    197
3308.TW    |    MA20    |    27.2% |     41.42% |    151
00700.TW   |    MA60    |    21.4% |    -29.37% |     56
3712.TW    |    MA10    |    28.7% |    216.60% |    122
4123.TWO   |    MA10    |    31.2% |     99.73% |    199
4973.TWO   |    MA20    |    28.9% |    124.39% |    135
2739.TW    |    MA60    |    16.9% |    -11.72% |     71
00720B.TWO |    MA20    |    31.2% |      9.98% |     77
5225.TW    |    MA20    |    28.0% |    173.94% |    132
1438.TW    |    MA60    |    18.7% |    -97.39% |    139
4927.TW    |    MA10    |    36.4% |    151.08% |    195
3221.TWO   |    MA20    |    26.9% |     30.06% |    134
00830.TW   |    MA10    |    34.8% |     74.86% |    112
8150.TW    |    MA20    |    30.9% |     95.53% |    139
6438.TW    |    MA20    |    28.2% |     83.85% |    149
2359.TW    |    MA10    |    28.6% |     62.72% |    217
2891.TW    |    MA20    |    30.1% |     24.06% |    163
6706.TW    |    MA10    |    28.0% |    170.15% |    125
5478.TWO   |    MA10    |    27.6% |     51.92% |    210
8111.TWO   |    MA10    |    28.6% |    328.84% |    189
2492.TW    |    MA5     |    33.4% |    203.07% |    305
2347.TW    |    MA60    |    26.1% |     -9.27% |     92
3252.TWO   |    MA60    |    10.9% |   -175.71% |    101
2332.TW    |    MA10    |    26.7% |    -30.40% |    210
6789.TW    |    MA10    |    29.8% |     84.28% |     84
4916.TW    |    MA20    |    27.5% |     94.60% |    131
00953B.TW  |    MA20    |    33.3% |      3.13% |     12
3093.TWO   |    MA60    |    20.8% |     10.19% |    106
00724B.TWO |    MA20    |    23.0% |     -5.94% |     87
1418.TW    |    MA60    |    16.3% |    -90.33% |    104
6138.TWO   |    MA60    |    33.0% |    167.33% |     88
00663L.TW  |    MA10    |    38.3% |    239.57% |    149
6965.TW    |    MA20    |    18.2% |    -16.01% |     11
7812.TWO   |    MA60    |    37.5% |      1.03% |      8
2923.TW    |    MA10    |    22.0% |   -243.86% |    254
8477.TWO   |    MA60    |    21.6% |   -112.66% |     74
6508.TWO   |    MA20    |    23.9% |      2.08% |    134
1538.TW    |    MA60    |    26.4% |   -124.43% |     91
2466.TW    |    MA20    |    21.4% |     45.54% |    126
00740B.TWO |    MA20    |    25.3% |      6.64% |     79
3131.TWO   |    MA60    |    28.4% |    376.30% |     67
2230.TWO   |    MA5     |    25.8% |     63.20% |    345
2426.TW    |    MA10    |    28.7% |     45.99% |    209
3675.TWO   |    MA60    |    24.4% |    276.39% |     82
8431.TWO   |    MA10    |    28.4% |    221.97% |    218
3189.TW    |    MA5     |    26.8% |     43.07% |    302
2206.TW    |    MA60    |    20.7% |     -9.18% |    121
6486.TWO   |    MA60    |    26.0% |     53.27% |     73
2881.TW    |    MA20    |    28.7% |     51.79% |    167
6928.TW    |    MA5     |    30.0% |     11.47% |     40
3443.TW    |    MA10    |    31.9% |    260.77% |    216
5328.TWO   |    MA10    |    29.3% |    127.84% |    198
2329.TW    |    MA20    |    33.6% |    248.15% |    146
6163.TWO   |    MA5     |    27.4% |     24.14% |    296
6244.TWO   |    MA20    |    22.2% |    107.95% |    153
2834.TW    |    MA10    |    23.1% |    -48.35% |    225
2022.TW    |    MA20    |    26.6% |    101.84% |    124
8088.TWO   |    MA60    |    31.2% |    125.74% |     77
2072.TWO   |    MA10    |    31.2% |    125.73% |     80
5386.TWO   |    MA10    |    22.1% |    276.74% |    222
00703.TW   |    MA20    |    33.7% |    -11.41% |     89
4551.TW    |    MA20    |    25.6% |    -13.82% |    129
5608.TW    |    MA60    |    17.1% |    529.06% |     82
5203.TW    |    MA10    |    29.9% |     24.45% |    197
7795.TW    |    MA20    |    37.5% |     91.61% |      8
4904.TW    |    MA20    |    22.2% |    -61.78% |    176
4946.TWO   |    MA60    |    15.0% |    312.59% |     80
6695.TW    |    MA60    |    14.3% |    190.68% |     49
00900.TW   |    MA60    |    36.4% |     32.82% |     11
3532.TW    |    MA10    |    34.3% |    344.10% |    204
1314.TW    |    MA60    |    25.3% |    -54.28% |     91
6885.TW    |    MA60    |    33.3% |      5.45% |      3
00719B.TWO |    MA60    |    32.4% |      3.09% |     34
5274.TWO   |    MA60    |    44.8% |    215.90% |     87
00923.TW   |    MA10    |    40.5% |     61.97% |     37
6873.TW    |    MA60    |    22.2% |    131.09% |     18
4909.TWO   |    MA60    |    21.7% |    274.01% |     60
6016.TWO   |    MA10    |    27.0% |    152.46% |    189
9906.TW    |    MA10    |    27.3% |    332.72% |    220
8069.TWO   |    MA20    |    32.9% |    193.60% |    149
2340.TW    |    MA10    |    31.5% |     88.11% |    197
00982A.TW  |    MA10    |     0.0% |      0.00% |      0
3138.TW    |    MA20    |    31.7% |    725.80% |    161
5347.TWO   |    MA20    |    30.6% |     63.07% |    160
1503.TW    |    MA20    |    17.7% |    132.19% |    203
6143.TWO   |    MA20    |    33.6% |    163.81% |    125
3441.TWO   |    MA20    |    27.0% |     69.63% |    152
8080.TWO   |    MA10    |    25.1% |    -28.67% |    223
5490.TWO   |    MA20    |    24.6% |     -6.21% |    130
2607.TW    |    MA10    |    23.4% |    -67.19% |    239
4768.TWO   |    MA20    |    32.9% |    276.05% |     73
4755.TW    |    MA60    |    27.5% |    245.75% |     69
5469.TW    |    MA20    |    37.5% |    247.84% |    112
3305.TW    |    MA60    |    30.5% |    135.47% |     82
6236.TWO   |    MA20    |    14.1% |    -89.99% |    156
6214.TW    |    MA10    |    26.9% |      6.58% |    223
00640L.TW  |    MA5     |    35.1% |     39.57% |    259
2641.TWO   |    MA60    |    18.9% |    200.93% |     74
8432.TWO   |    MA60    |    23.7% |     68.01% |     76
6218.TWO   |    MA60    |    22.4% |    -17.30% |     98
6552.TW    |    MA10    |    29.2% |     96.27% |    161
1216.TW    |    MA10    |    22.0% |   -188.19% |    268
2887.TW    |    MA10    |    31.6% |     18.73% |    206
1471.TW    |    MA10    |    27.5% |    238.80% |    204
2493.TW    |    MA20    |    31.5% |    216.18% |    124
1590.TW    |    MA60    |    25.3% |     63.13% |     87
4127.TWO   |    MA20    |    24.4% |     42.26% |    156
00638R.TW  |    MA60    |    19.3% |    -89.38% |     83
00919.TW   |    MA20    |    40.6% |     49.22% |     32
6217.TWO   |    MA10    |    30.5% |     67.54% |    203
1710.TW    |    MA60    |    26.6% |   -152.99% |     94
6213.TW    |    MA60    |    26.4% |    221.20% |     91
9103.TW    |    MA20    |    20.0% |    963.62% |    160
2337.TW    |    MA60    |    26.5% |    254.07% |     98
6796.TW    |    MA20    |    33.3% |    148.44% |     54
6133.TW    |    MA60    |    19.7% |     23.96% |     76
3466.TWO   |    MA60    |    26.6% |    106.44% |     94
4569.TW    |    MA10    |    31.0% |    126.73% |     42
7799.TW    |    MA10    |    20.0% |    161.95% |     15
8921.TWO   |    MA60    |    13.7% |   -246.82% |    124
3163.TWO   |    MA5     |    32.5% |    159.83% |    308
2495.TW    |    MA60    |    26.4% |     43.83% |     87
6225.TW    |    MA60    |    16.4% |   -205.91% |    110
1444.TW    |    MA60    |    11.5% |   -138.60% |    122
0056.TW    |    MA10    |    38.2% |     94.46% |    170
8463.TW    |    MA60    |    24.7% |     31.72% |     97
8077.TWO   |    MA60    |    11.7% |   -114.18% |    111
00882.TW   |    MA10    |    25.9% |      7.77% |     85
6684.TWO   |    MA10    |    25.8% |     76.84% |    124
3546.TWO   |    MA10    |    31.9% |    139.34% |    207
3552.TWO   |    MA20    |    33.1% |    280.79% |    121
2377.TW    |    MA20    |    37.1% |    160.72% |    140
4583.TW    |    MA60    |    21.4% |    122.51% |     28
3293.TWO   |    MA60    |    26.2% |    500.74% |     65
00910.TW   |    MA20    |    41.2% |    113.84% |     34
8279.TWO   |    MA60    |    27.3% |     71.02% |     77
2006.TW    |    MA60    |    34.1% |    105.67% |     82
6715.TW    |    MA10    |    33.3% |    123.82% |    117
00946.TW   |    MA5     |    30.4% |     -2.62% |     46
3034.TW    |    MA60    |    23.7% |     86.13% |     76
3588.TW    |    MA10    |    36.3% |    129.36% |    212
2603.TW    |    MA10    |    33.8% |    358.69% |    198
6643.TWO   |    MA10    |    32.2% |    117.00% |    152
6854.TW    |    MA10    |    21.1% |     50.99% |     57
1459.TW    |    MA60    |    19.0% |    -41.86% |    100
4903.TWO   |    MA10    |    27.5% |    398.66% |    193
8444.TWO   |    MA20    |    25.6% |    165.24% |    133
3016.TW    |    MA20    |    28.3% |    170.07% |    145
6533.TW    |    MA20    |    29.7% |    221.83% |    118
00985A.TW  |    MA10    |    80.0% |     31.23% |      5
6620.TWO   |    MA20    |    32.9% |    326.62% |     82
6517.TWO   |    MA10    |    25.5% |     96.06% |    102
1583.TW    |    MA60    |    21.3% |    -70.71% |     94
4919.TW    |    MA60    |    25.3% |     84.16% |     91
6142.TW    |    MA20    |    27.0% |     55.25% |    126
2321.TW    |    MA20    |    19.9% |   -163.53% |    186
3213.TWO   |    MA60    |    27.8% |    141.57% |     72
2327.TW    |    MA5     |    32.3% |    201.65% |    319
8289.TWO   |    MA10    |    24.8% |     -6.02% |    222
5439.TWO   |    MA20    |    34.7% |    293.41% |    124
3005.TW    |    MA10    |    31.5% |    115.48% |    216
2009.TW    |    MA60    |    16.7% |    576.78% |     66
6423.TWO   |    MA20    |    28.7% |    119.78% |    122
2610.TW    |    MA60    |    15.1% |     60.97% |     93
2836.TW    |    MA10    |    21.4% |   -100.36% |    234
2379.TW    |    MA20    |    30.3% |    114.33% |    145
6546.TWO   |    MA60    |    35.7% |    386.85% |     56
5432.TWO   |    MA60    |    24.7% |    345.31% |     89
3533.TW    |    MA60    |    28.2% |    144.42% |     71
6120.TW    |    MA10    |    24.8% |     53.17% |    234
2882.TW    |    MA20    |    28.9% |     23.87% |    152
6456.TW    |    MA10    |    32.5% |     85.47% |    169
4737.TW    |    MA10    |    22.5% |      9.80% |    213
3059.TW    |    MA5     |    26.9% |   -133.61% |    320
4541.TWO   |    MA20    |    30.1% |    -23.90% |    153
4938.TW    |    MA60    |    25.3% |     58.99% |     91
6265.TWO   |    MA20    |    28.9% |    208.10% |    128
3206.TWO   |    MA20    |    28.1% |     73.41% |    139
5340.TWO   |    MA20    |    26.0% |    342.38% |    131
8499.TW    |    MA20    |    23.5% |     94.65% |     98
3338.TW    |    MA60    |    27.6% |    198.87% |     76
5302.TWO   |    MA20    |    25.0% |     58.32% |    140
3702.TW    |    MA60    |    27.8% |     56.61% |     79
2548.TW    |    MA10    |    30.2% |     27.28% |    205
00922.TW   |    MA10    |    33.3% |     56.28% |     45
8390.TWO   |    MA5     |    28.8% |     74.83% |    302
6535.TWO   |    MA20    |    22.1% |    249.76% |    140
00651R.TW  |    MA60    |    26.2% |    -59.57% |     61
3672.TWO   |    MA60    |    14.1% |      5.94% |     71
2615.TW    |    MA20    |    26.9% |    515.62% |    145
4807.TW    |    MA10    |    19.9% |   -117.50% |    176
2606.TW    |    MA5     |    28.3% |     23.67% |    290
1308.TW    |    MA60    |    23.8% |    -22.69% |     84
6768.TW    |    MA20    |    32.3% |     39.88% |     62
3596.TW    |    MA20    |    28.9% |    136.33% |    142
6720.TWO   |    MA20    |    36.9% |    280.47% |     65
8383.TWO   |    MA10    |    28.0% |     -8.30% |    211
6550.TW    |    MA10    |    26.8% |    316.72% |    153
6753.TW    |    MA10    |    31.4% |    180.28% |     86
4770.TW    |    MA20    |    33.3% |     48.96% |     69
6228.TWO   |    MA60    |    17.0% |     -2.92% |    100
2468.TW    |    MA60    |    17.1% |     82.25% |    123
3041.TW    |    MA20    |    31.0% |    -36.81% |    158
2472.TW    |    MA10    |    32.4% |    132.04% |    216
6275.TWO   |    MA20    |    29.7% |    135.34% |    148
6469.TWO   |    MA60    |    31.0% |    318.31% |     71
6949.TW    |    MA5     |    24.4% |    355.81% |     41
6426.TW    |    MA5     |    29.9% |    343.06% |    304
6112.TW    |    MA60    |    25.0% |     82.31% |     72
2601.TW    |    MA10    |    23.0% |     -0.58% |    222
5272.TWO   |    MA10    |    29.0% |     10.41% |    214
6005.TW    |    MA60    |    17.8% |    137.42% |     73
2258.TW    |    MA20    |    20.0% |    -67.80% |     40
00902.TW   |    MA10    |    18.9% |     28.59% |     53
6613.TWO   |    MA20    |    29.9% |    125.58% |    117
2616.TW    |    MA60    |    16.7% |     20.89% |     72
5443.TWO   |    MA60    |    28.9% |    396.92% |     90
3167.TW    |    MA20    |    35.3% |    350.72% |    116
6579.TW    |    MA10    |    23.5% |      1.02% |    183
3611.TWO   |    MA20    |    27.5% |      6.30% |    149
6219.TWO   |    MA60    |    20.7% |     41.88% |     82
2892.TW    |    MA10    |    29.1% |    -13.64% |    203
2889.TW    |    MA10    |    29.7% |     39.13% |    195
3713.TWO   |    MA20    |    15.5% |    241.79% |     71
2014.TW    |    MA60    |    17.6% |    373.59% |     68
2438.TW    |    MA10    |    18.5% |    156.82% |    232
2231.TW    |    MA10    |    27.1% |     61.19% |    203
3680.TWO   |    MA60    |    25.6% |    290.25% |     86
00666R.TW  |    MA60    |    25.0% |    -70.33% |     68
00761B.TWO |    MA20    |    25.6% |    -20.21% |     82
4171.TWO   |    MA10    |    21.9% |    264.64% |    224
6541.TW    |    MA10    |    23.5% |    119.06% |    187
4154.TWO   |    MA60    |    19.3% |    -44.53% |     88
7738.TWO   |    MA20    |    23.1% |     42.30% |     13
5371.TWO   |    MA20    |    27.6% |    226.21% |    134
3541.TWO   |    MA10    |    33.9% |    167.00% |    177
00939.TW   |    MA5     |    35.7% |      6.02% |     42
3062.TW    |    MA5     |    24.7% |   -212.13% |    332
4571.TW    |    MA10    |    32.2% |    165.18% |     90
9929.TW    |    MA60    |    17.4% |   -106.53% |    115
6488.TWO   |    MA60    |    38.7% |    364.18% |     75
3416.TW    |    MA60    |    32.0% |    131.05% |     50
4142.TW    |    MA60    |    16.5% |     18.94% |     79
5388.TW    |    MA60    |    30.0% |     -0.87% |     80
3419.TW    |    MA10    |    23.3% |    -33.41% |    215
4147.TWO   |    MA10    |    31.1% |    136.61% |    193
3191.TWO   |    MA10    |    26.3% |     79.53% |    224
5222.TW    |    MA60    |    27.4% |    250.68% |     84
6666.TW    |    MA10    |    25.8% |    -70.47% |    155
2344.TW    |    MA10    |    35.0% |    454.54% |    197
8917.TWO   |    MA60    |    15.7% |    -90.98% |    115
3684.TWO   |    MA20    |    27.0% |     17.08% |    163
1460.TW    |    MA20    |    16.8% |    -76.33% |    143
00735.TW   |    MA20    |    33.8% |    115.75% |     74
3227.TWO   |    MA20    |    27.8% |     91.78% |    151
2105.TW    |    MA60    |    21.2% |    -78.69% |     80
2460.TW    |    MA60    |    32.1% |    238.12% |     53
7781.TWO   |    MA5     |    17.1% |    280.22% |     35
3035.TW    |    MA60    |    42.2% |    231.76% |     64
00686R.TW  |    MA60    |    18.4% |    -73.80% |     49
2801.TW    |    MA10    |    27.4% |    -93.58% |    234
00864B.TWO |    MA20    |    26.5% |      8.10% |     49
5291.TWO   |    MA10    |    31.1% |    153.71% |    206
8455.TWO   |    MA20    |    16.1% |   -100.69% |    168
3040.TW    |    MA20    |    24.8% |     73.36% |    145
4130.TWO   |    MA10    |    22.2% |     18.42% |    216
3205.TWO   |    MA60    |    15.9% |    934.19% |     69
2439.TW    |    MA20    |    29.1% |     25.99% |    148
2371.TW    |    MA60    |    26.8% |    196.99% |     71
6894.TWO   |    MA60    |    42.1% |     40.37% |     19
6125.TWO   |    MA20    |    28.7% |    224.44% |    150
4911.TWO   |    MA5     |    24.9% |     36.63% |    301
2204.TW    |    MA60    |    30.0% |     48.40% |     70
5871.TW    |    MA20    |    35.4% |    103.49% |    130
1809.TW    |    MA5     |    26.3% |     12.17% |    293
6884.TWO   |    MA60    |    11.5% |     -1.47% |     26
7737.TWO   |    MA20    |    16.7% |    -10.11% |      6
2342.TW    |    MA10    |    26.8% |    129.37% |    209
8255.TWO   |    MA20    |    26.2% |    -26.68% |    160
6612.TWO   |    MA10    |    26.8% |      8.67% |    164
6560.TWO   |    MA20    |    25.7% |    290.53% |    101
8299.TWO   |    MA10    |    34.7% |    245.39% |    216
1609.TW    |    MA60    |    27.1% |    220.25% |     96
009801.TW  |    MA10    |    38.9% |      0.42% |     18
5269.TW    |    MA20    |    28.9% |    464.98% |    142
2069.TW    |    MA20    |    25.8% |     12.65% |    132
3555.TWO   |    MA60    |    27.7% |     98.73% |    101
3551.TWO   |    MA10    |    31.9% |    194.67% |    207
5285.TW    |    MA20    |    27.3% |    133.09% |    132
6243.TW    |    MA10    |    24.9% |    114.23% |    205
3570.TWO   |    MA60    |    22.6% |     -0.93% |     84
9941.TW    |    MA60    |    25.8% |    158.19% |     66
3207.TWO   |    MA60    |    16.7% |    159.12% |    108
6202.TW    |    MA5     |    28.9% |    -54.98% |    308
912000.TW  |    MA20    |    23.1% |    152.77% |    117
1101.TW    |    MA20    |    31.7% |     -2.80% |    139
3067.TWO   |    MA60    |    13.6% |   -363.72% |    177
3504.TW    |    MA20    |    28.7% |    167.43% |    129
2903.TW    |    MA20    |    27.9% |     61.14% |    140
5521.TW    |    MA20    |    25.8% |    135.39% |    128
4939.TWO   |    MA60    |    27.2% |     89.66% |     81
6669.TW    |    MA20    |    37.4% |    341.99% |     99
2421.TW    |    MA10    |    33.2% |    175.25% |    214
1525.TW    |    MA20    |    23.4% |     48.77% |    137
6239.TW    |    MA10    |    32.9% |    151.03% |    207
4577.TWO   |    MA20    |    25.6% |     15.48% |     82
9907.TW    |    MA60    |    24.7% |     11.46% |     77
6830.TW    |    MA60    |    21.4% |     32.91% |     28
00891.TW   |    MA20    |    42.6% |     54.11% |     47
3010.TW    |    MA10    |    31.7% |     29.04% |    202
2886.TW    |    MA5     |    25.7% |   -114.81% |    334
2376.TW    |    MA10    |    32.8% |    193.97% |    201
5706.TW    |    MA10    |    23.6% |     94.02% |    212
6412.TW    |    MA20    |    25.7% |     92.22% |    144
6616.TWO   |    MA60    |    21.1% |     55.81% |     57
3019.TW    |    MA20    |    29.7% |    218.21% |    138
3217.TWO   |    MA60    |    38.0% |    268.91% |     71
3545.TW    |    MA60    |    20.8% |    155.67% |     72
6134.TWO   |    MA20    |    26.6% |    187.85% |    124
4534.TWO   |    MA10    |    20.6% |    167.70% |    209
6655.TW    |    MA60    |    20.8% |    115.64% |     48
2458.TW    |    MA10    |    29.5% |     24.95% |    210
1597.TW    |    MA20    |    28.1% |    133.96% |    146
4131.TWO   |    MA60    |    16.5% |   -173.85% |    121
2432.TW    |    MA10    |    17.0% |    -63.62% |     53
6462.TWO   |    MA20    |    33.8% |    211.48% |    136
3687.TWO   |    MA60    |    22.8% |     39.93% |     79
3147.TWO   |    MA60    |    20.8% |    245.49% |     72
4523.TWO   |    MA10    |    22.8% |     41.00% |    206
00665L.TW  |    MA60    |    29.5% |    -62.93% |     61
2328.TW    |    MA5     |    28.7% |   -109.92% |    328
9926.TW    |    MA60    |    12.7% |   -105.85% |    150
6691.TW    |    MA60    |    27.8% |    339.25% |     36
1439.TW    |    MA20    |    25.5% |     52.51% |    145
4915.TW    |    MA60    |    30.6% |    127.14% |     62
0052.TW    |    MA20    |    34.6% |    135.33% |    136
2241.TW    |    MA20    |    24.4% |     -0.69% |    123
1213.TW    |    MA60    |    14.8% |    -58.71% |    108
4702.TWO   |    MA10    |    20.6% |   -121.10% |    233
5234.TW    |    MA20    |    32.3% |    319.18% |    133
2740.TWO   |    MA20    |    15.1% |   -187.65% |    152
1805.TW    |    MA60    |    13.3% |    -75.61% |     90
2634.TW    |    MA60    |    16.3% |    -61.99% |     98
2237.TWO   |    MA60    |    24.4% |     -1.31% |     86
5487.TWO   |    MA60    |    19.6% |   -162.17% |    102
00936.TW   |    MA20    |    31.8% |     13.97% |     22
8096.TWO   |    MA60    |    27.3% |    197.87% |     77
6510.TWO   |    MA10    |    29.7% |    410.68% |    185
3645.TW    |    MA10    |    37.7% |    255.02% |    207
2414.TW    |    MA10    |    30.3% |     58.81% |    195
7749.TW    |    MA60    |     0.0% |    -15.79% |      3
2480.TW    |    MA10    |    26.3% |     73.66% |    213
2233.TW    |    MA5     |    27.9% |    -31.48% |    319
4304.TWO   |    MA20    |    21.0% |    127.73% |    162
2385.TW    |    MA60    |    28.1% |    116.80% |     89
1529.TW    |    MA10    |    28.4% |   -142.94% |    243
3004.TW    |    MA10    |    28.8% |     82.94% |    215
3230.TWO   |    MA60    |    17.3% |    423.47% |     75
6170.TWO   |    MA20    |    30.2% |     94.49% |    149
6727.TWO   |    MA10    |    23.1% |    270.68% |    104
3363.TWO   |    MA60    |    28.0% |    310.49% |     75
6121.TWO   |    MA60    |    25.3% |    -23.99% |     83
6442.TW    |    MA10    |    30.1% |    493.64% |    196
8162.TW    |    MA20    |    28.6% |      4.98% |     28
8081.TW    |    MA60    |    30.0% |    179.59% |     80
4943.TW    |    MA60    |    28.1% |    309.87% |     57
1587.TW    |    MA60    |    29.3% |    175.18% |     75
2017.TW    |    MA60    |    21.4% |     57.76% |     70
6534.TW    |    MA20    |    20.8% |     14.10% |     24
6679.TWO   |    MA60    |    35.6% |    126.31% |     45
6944.TW    |    MA10    |    33.3% |     38.09% |     15
9110.TW    |    MA60    |    18.3% |     45.72% |     93
9914.TW    |    MA20    |    32.2% |     -8.36% |    143
2605.TW    |    MA5     |    28.9% |     33.03% |    298
3652.TW    |    MA60    |    24.4% |     43.82% |     90
3162.TWO   |    MA10    |    28.0% |    205.11% |    214
3491.TWO   |    MA20    |    31.9% |    260.73% |    141
00857B.TWO |    MA20    |    28.2% |    -33.15% |     78
1436.TW    |    MA60    |    19.0% |    192.68% |     84
5864.TWO   |    MA60    |    19.1% |    244.28% |     89
6785.TWO   |    MA60    |    30.8% |    219.64% |     26
1708.TW    |    MA10    |    27.8% |     41.29% |    209
6603.TWO   |    MA20    |    24.8% |    -59.93% |    157
3483.TWO   |    MA10    |    31.7% |    230.26% |    208
6274.TWO   |    MA20    |    38.7% |    234.53% |    155
8210.TW    |    MA10    |    35.4% |    424.90% |    195
2547.TW    |    MA10    |    23.9% |     -5.75% |    205
8183.TWO   |    MA60    |    30.8% |    231.17% |     91
00656R.TW  |    MA60    |    21.9% |    -78.61% |     73
8277.TWO   |    MA20    |    27.8% |    152.64% |    144
2820.TW    |    MA20    |    16.9% |    -63.24% |    201
3042.TW    |    MA60    |    25.8% |     59.83% |     97
1563.TW    |    MA60    |     0.0% |    -18.33% |      8
4934.TW    |    MA10    |    25.6% |     32.72% |    219
00772B.TWO |    MA20    |    31.7% |     -0.50% |     63
6271.TW    |    MA10    |    29.2% |    -10.29% |    212
8464.TW    |    MA20    |    34.0% |     25.07% |    141
3257.TW    |    MA20    |    30.6% |    148.45% |    134
8021.TW    |    MA20    |    28.7% |    303.95% |    136
6929.TWO   |    MA60    |    16.7% |    -28.57% |     12
4745.TWO   |    MA10    |    26.2% |      2.73% |    210
5381.TWO   |    MA60    |    19.4% |    237.75% |     93
00780B.TWO |    MA60    |    20.0% |     -8.35% |     35
00671R.TW  |    MA60    |     6.8% |    -91.81% |     44
6565.TWO   |    MA10    |    20.9% |   -108.78% |    158
8067.TWO   |    MA60    |    13.4% |   -609.79% |    187
8070.TW    |    MA20    |    34.1% |    201.10% |    126
1456.TW    |    MA60    |    17.7% |   -108.85% |    113
1402.TW    |    MA20    |    24.4% |    -88.18% |    168
3450.TW    |    MA60    |    22.7% |    214.24% |     75
6629.TWO   |    MA60    |    15.9% |    153.98% |     44
3003.TW    |    MA60    |    28.6% |     20.28% |     77
