=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
00633L.TW  |    MA60    |    29.6% |     54.73% |     81
00773B.TWO |    MA10    |    29.0% |     -0.02% |    107
6642.TWO   |    MA20    |    23.1% |     63.30% |    117
00885.TW   |    MA10    |    24.7% |      4.03% |     81
8034.TWO   |    MA10    |    27.9% |    162.98% |    208
1721.TW    |    MA5     |    19.6% |      6.00% |    317
6902.TW    |    MA20    |    18.5% |    -58.26% |     27
6461.TWO   |    MA10    |    24.9% |    -64.75% |    209
7805.TWO   |    MA20    |    45.5% |     -1.76% |     11
6961.TWO   |    MA20    |    29.0% |    -14.27% |     31
8131.TW    |    MA20    |    30.1% |    148.93% |    143
7752.TWO   |    MA5     |    20.6% |    -27.38% |     34
00637L.TW  |    MA20    |    30.2% |     11.72% |    116
4538.TWO   |    MA60    |    20.8% |   -110.74% |    120
6962.TW    |    MA5     |    22.2% |    -14.31% |     27
3323.TWO   |    MA10    |    28.0% |     64.38% |    214
00664R.TW  |    MA60    |    15.2% |    -65.34% |     46
8091.TWO   |    MA60    |    32.1% |    116.97% |     84
7810.TWO   |    MA20    |    31.2% |    111.43% |     16
2434.TW    |    MA20    |    18.6% |     51.11% |    177
7610.TW    |    MA10    |    33.3% |     66.02% |      6
4952.TW    |    MA10    |    35.2% |    118.02% |    193
6187.TWO   |    MA60    |    32.2% |    394.65% |     59
00929.TW   |    MA20    |    37.9% |     27.83% |     29
2034.TW    |    MA20    |    24.1% |     -7.28% |    174
2483.TW    |    MA60    |    21.6% |    -38.62% |     97
3581.TWO   |    MA10    |    27.3% |    162.31% |    227
3380.TW    |    MA20    |    30.2% |     20.18% |    139
5301.TWO   |    MA20    |    14.8% |    -17.10% |    142
1795.TW    |    MA10    |    30.7% |    203.23% |    205
6147.TWO   |    MA10    |    30.0% |    -94.31% |    227
6667.TWO   |    MA10    |    31.2% |    215.82% |    144
6231.TWO   |    MA60    |    32.1% |    309.88% |     78
00674R.TW  |    MA60    |    17.8% |    -44.36% |     45
00751B.TWO |    MA20    |    35.5% |     -5.24% |     76
6657.TW    |    MA5     |    24.6% |     15.06% |     65
6799.TW    |    MA10    |    32.1% |     85.12% |     81
6689.TW    |    MA60    |    28.1% |    133.61% |     32
1536.TW    |    MA60    |    23.5% |     13.53% |     85
6716.TWO   |    MA20    |    25.7% |     89.83% |    105
3664.TWO   |    MA20    |    24.5% |     23.44% |    139
3665.TW    |    MA60    |    38.4% |    242.59% |     86
3714.TW    |    MA10    |    29.8% |    -85.13% |     94
3218.TWO   |    MA60    |    22.4% |    318.78% |     85
6698.TW    |    MA10    |    34.5% |    153.38% |    113
5228.TWO   |    MA20    |    20.6% |   -104.16% |    141
5880.TW    |    MA60    |    13.4% |     -3.78% |     97
2349.TW    |    MA10    |    30.8% |    148.84% |    198
4161.TWO   |    MA60    |    17.0% |   -153.32% |    106
7734.TWO   |    MA5     |    23.1% |     16.49% |     52
2401.TW    |    MA20    |    33.6% |     85.50% |    140
6906.TW    |    MA60    |    33.3% |    -22.84% |      9
3563.TW    |    MA10    |    35.3% |    339.04% |    190
6279.TWO   |    MA10    |    28.2% |     35.76% |    213
3324.TWO   |    MA60    |    27.4% |    605.54% |     73
3577.TWO   |    MA20    |    25.3% |    -53.73% |    170
3357.TWO   |    MA60    |    26.4% |    244.30% |     87
4609.TWO   |    MA60    |    17.0% |   -392.86% |    141
2369.TW    |    MA10    |    32.5% |     56.03% |    194
7751.TWO   |    MA10    |    29.6% |    133.78% |     27
8489.TWO   |    MA20    |    25.0% |     10.48% |    120
1773.TW    |    MA10    |    29.9% |    147.48% |    224
6844.TWO   |    MA20    |    26.7% |     18.32% |     45
6931.TW    |    MA20    |    26.1% |     77.87% |     46
4956.TW    |    MA10    |    26.9% |     27.98% |    227
5876.TW    |    MA60    |    23.0% |     -5.35% |     74
4977.TW    |    MA20    |    31.9% |     85.03% |    141
00632R.TW  |    MA20    |    17.9% |    435.80% |    117
8935.TWO   |    MA10    |    21.5% |     23.11% |    223
5227.TWO   |    MA60    |    24.1% |    -92.22% |     79
3521.TWO   |    MA60    |    19.8% |     16.41% |     81
3564.TWO   |    MA10    |    26.4% |    114.39% |    197
6419.TWO   |    MA60    |    20.2% |    -22.43% |     99
2845.TW    |    MA10    |    23.7% |    -30.59% |    215
3266.TW    |    MA60    |    13.0% |    -97.69% |    115
2812.TW    |    MA10    |    30.8% |     53.43% |    198
00959B.TWO |    MA60    |    60.0% |     -2.74% |      5
2724.TWO   |    MA60    |    20.6% |   -138.98% |    107
2867.TW    |    MA60    |    25.7% |     20.48% |     70
4906.TW    |    MA10    |    32.4% |      1.43% |    204
1203.TW    |    MA60    |    19.6% |      0.58% |     97
2002.TW    |    MA60    |    16.0% |    -42.37% |     75
2478.TW    |    MA10    |    27.3% |    211.77% |    220
4560.TW    |    MA20    |    24.5% |    -39.71% |    106
8291.TWO   |    MA60    |    14.3% |   -567.93% |    147
6865.TWO   |    MA5     |    24.4% |    -57.57% |    119
6988.TW    |    MA10    |    25.0% |      7.03% |     24
5543.TWO   |    MA60    |    17.3% |     27.16% |     98
6668.TW    |    MA60    |    27.6% |    -35.52% |     58
020030.TW  |    MA5     |     0.0% |      0.00% |      0
3691.TWO   |    MA60    |    21.7% |     44.64% |     69
2897.TW    |    MA10    |    21.4% |    -75.27% |    229
3592.TW    |    MA20    |    37.8% |     27.76% |     37
4806.TWO   |    MA20    |    19.4% |   -123.63% |    170
1718.TW    |    MA60    |    24.7% |    -61.59% |     81
6491.TW    |    MA60    |    25.4% |    136.62% |     71
00955.TWO  |    MA5     |    40.6% |     32.69% |     32
3078.TWO   |    MA60    |    29.2% |    276.14% |     65
2484.TW    |    MA5     |    25.9% |   -133.52% |    328
6996.TWO   |    MA20    |    25.9% |    -30.18% |     27
6166.TW    |    MA60    |    23.4% |    -32.18% |     77
1338.TW    |    MA60    |    24.7% |   -103.21% |     85
3023.TW    |    MA60    |    29.1% |     99.72% |     79
00738U.TW  |    MA10    |    33.6% |     62.85% |    125
6672.TW    |    MA20    |    23.0% |     77.28% |    100
3694.TW    |    MA20    |    32.3% |    185.10% |    133
6160.TWO   |    MA20    |    24.1% |     89.89% |    145
5426.TWO   |    MA10    |    22.8% |     15.52% |    215
8048.TWO   |    MA20    |    29.9% |    160.32% |    134
2312.TW    |    MA10    |    25.2% |     46.71% |    214
2208.TW    |    MA10    |    23.1% |     25.02% |    212
009803.TW  |    MA10    |    57.1% |     52.97% |      7
7584.TWO   |    MA20    |    29.1% |      5.34% |     79
8050.TWO   |    MA60    |    25.0% |     43.64% |     84
3455.TWO   |    MA60    |    36.4% |    152.30% |     66
6122.TWO   |    MA60    |    26.2% |    210.16% |     84
02001L.TW  |    MA5     |     0.0% |      0.00% |      0
2880.TW    |    MA10    |    27.1% |    -25.26% |    221
6435.TWO   |    MA20    |    36.0% |    228.13% |    136
8476.TW    |    MA10    |    17.2% |  -3290.44% |    268
6530.TWO   |    MA60    |    30.8% |     -4.14% |     78
6806.TW    |    MA60    |    25.0% |     34.96% |     20
2755.TWO   |    MA20    |    32.0% |    145.77% |     75
8038.TWO   |    MA60    |    26.8% |    106.71% |     71
3006.TW    |    MA20    |    37.0% |    236.17% |    135
1442.TW    |    MA60    |    29.9% |    104.92% |     77
00715L.TW  |    MA5     |    31.0% |    167.85% |    197
8349.TWO   |    MA20    |    27.4% |     60.79% |    146
2633.TW    |    MA20    |    18.3% |    -18.31% |    126
4530.TWO   |    MA60    |    18.3% |    -63.98% |    120
3693.TWO   |    MA60    |    28.8% |    542.30% |     66
6290.TWO   |    MA60    |    31.0% |    213.90% |     87
2543.TW    |    MA60    |    13.3% |    963.24% |    120
1762.TW    |    MA10    |    27.4% |     91.43% |    201
2388.TW    |    MA10    |    22.8% |    336.85% |    232
3360.TWO   |    MA20    |    28.7% |     99.50% |    143
1256.TW    |    MA20    |    28.3% |     68.54% |    138
3260.TWO   |    MA10    |    30.0% |    258.87% |    190
2035.TWO   |    MA60    |    12.3% |   -228.58% |    154
6418.TWO   |    MA20    |    22.4% |    242.96% |    143
5230.TWO   |    MA5     |    30.4% |     17.65% |    280
3169.TWO   |    MA10    |    28.8% |    317.60% |    212
1516.TW    |    MA20    |    25.0% |     17.67% |    164
3413.TW    |    MA20    |    34.8% |    239.94% |    135
3516.TWO   |    MA60    |    23.4% |    -85.33% |    111
2201.TW    |    MA10    |    24.6% |   -112.50% |    211
1323.TW    |    MA60    |    14.8% |    -80.97% |    122
3071.TWO   |    MA20    |    28.8% |    145.35% |    125
00662.TW   |    MA20    |    37.8% |     61.52% |     98
8046.TW    |    MA60    |    31.2% |    373.33% |     64
2948.TWO   |    MA20    |    19.4% |    -11.73% |     67
2419.TW    |    MA20    |    26.8% |     25.19% |    157
2392.TW    |    MA5     |    26.7% |    -45.86% |    318
4966.TWO   |    MA60    |    38.8% |    113.53% |     80
6186.TWO   |    MA20    |    30.1% |    145.22% |    123
3045.TW    |    MA60    |    18.8% |    -35.88% |    117
6515.TW    |    MA10    |    32.1% |    189.38% |    109
8102.TWO   |    MA60    |    26.1% |    -36.59% |     23
00634R.TW  |    MA60    |    20.8% |    -98.82% |     72
8416.TWO   |    MA60    |    23.1% |    -20.64% |     91
3715.TW    |    MA60    |    27.3% |    468.17% |     22
3444.TWO   |    MA10    |    23.3% |     86.12% |    232
8027.TWO   |    MA60    |    25.6% |    233.01% |     78
4991.TWO   |    MA20    |    35.4% |    275.58% |    130
4542.TWO   |    MA10    |    23.6% |     80.29% |    229
6415.TW    |    MA20    |    30.0% |     81.51% |    150
6573.TW    |    MA10    |    28.3% |     22.43% |    145
3597.TWO   |    MA60    |    35.6% |     95.50% |     73
5536.TWO   |    MA60    |    25.0% |    302.31% |     60
6104.TWO   |    MA60    |    25.3% |    258.77% |     79
2211.TW    |    MA20    |    32.1% |    114.87% |     56
