正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
    3708.TW           60               33.33             220.33           -53.61             1.18                 1.95               81           📈 持有   
   5474.TWO          120               33.87             214.75           -36.06             1.26                 2.28               62           ☁ 觀望   
    2027.TW          240               21.21             214.23           -29.83             0.87                 3.28               33           ☁ 觀望   
   6190.TWO          120               32.79             214.11           -41.16             1.37                 2.49               61           ☁ 觀望   
   6182.TWO           60               36.00             213.64           -43.00             1.26                 2.13               75           📈 持有   
    2387.TW          240               28.00             212.83           -32.28             0.91                 3.15               25           ☁ 觀望   
   4534.TWO          120               22.92             212.80           -50.35             0.98                 2.17               48           📈 持有   
   4749.TWO           10               43.28             212.34           -21.80             1.88                 2.61               67           📈 持有   
   6679.TWO          240               25.00             211.84            -7.05             1.07                 9.49                8           ☁ 觀望   
   6667.TWO           10               35.86             211.70           -43.37             1.46                 1.77              145           📈 持有   
    3025.TW          240               30.77             211.53           -26.43             0.99                 2.70               39           ☁ 觀望   
   2072.TWO           60               37.50             210.59           -21.30             1.03                 4.08               32           📈 持有   
   5371.TWO           20               31.62             210.33           -32.61             1.72                 1.78              136           ☁ 觀望   
    3413.TW           20               37.50             209.17           -49.77             1.60                 1.76              136           📈 持有   
   6517.TWO          240               23.08             208.33           -46.27             0.79                 4.25               13           ☁ 觀望   
    2429.TW          240               22.50             208.06           -76.32             0.61                 2.26               40           📈 持有   
   3152.TWO          120               32.56             207.63           -44.34             1.38                 2.81               43           📈 持有   
    3135.TW           20               34.69             207.50           -29.66             0.94                 3.19               49           ☁ 觀望   
    4583.TW          240                7.14             206.10           -21.59             0.88                 6.86               14           ☁ 觀望   
    6695.TW           60               30.00             203.34           -38.78             0.91                 2.89               50           ☁ 觀望   
    2428.TW          240               41.18             203.31           -19.32             1.41                 5.21               34           📈 持有   
   6716.TWO          240               44.44             203.22           -30.16             0.94                 6.46                9           📈 持有   
    2360.TW           60               33.80             203.20           -67.79             1.64                 2.10               71           📈 持有   
    3645.TW           10               38.76             202.77           -46.91             1.29                 1.45              209           📈 持有   
   6761.TWO          120               43.48             202.66           -18.41             1.18                 4.35               23           📈 持有   
    2022.TW          120               28.95             202.59           -36.79             0.93                 3.31               38           📈 持有   
   4939.TWO          120               17.07             202.13           -47.43             1.02                 2.33               41           📈 持有   
   8088.TWO          120               26.92             201.78           -51.77             1.07                 2.16               52           📈 持有   
   3236.TWO          120               22.22             201.75           -51.13             0.74                 2.03               54           📈 持有   
   6290.TWO           60               31.46             200.61           -69.06             1.09                 1.82               89           📈 持有   
    3338.TW           60               24.68             199.50           -53.90             0.88                 1.90               77           📈 持有   
   6629.TWO           60               33.33             199.22           -24.58             1.06                 3.70               45           ☁ 觀望   
   3629.TWO            5               32.69             198.61           -75.45             0.97                 1.22              309           ☁ 觀望   
   3178.TWO           20               32.39             198.55           -75.11             1.11                 1.55              142           ☁ 觀望   
    2338.TW          240               34.78             198.38           -47.14             1.00                 2.70               46           📈 持有   
   3081.TWO           10               28.86             198.25           -80.52             0.88                 1.36              201           📈 持有   
    2301.TW          240               26.67             197.90           -18.94             1.10                 3.73               45           📈 持有   
    1305.TW          240               47.62             197.77           -26.72             1.22                 4.69               21           ☁ 觀望   
    1313.TW          120               40.00             196.54           -22.34             1.29                 3.78               35           📈 持有   
   6462.TWO           20               35.04             195.88           -65.11             0.83                 1.47              137           ☁ 觀望   
    2211.TW           60               29.63             195.86           -12.75             1.24                 5.32               27           ☁ 觀望   
   8048.TWO          120               27.50             195.26           -22.06             1.32                 2.96               40           📈 持有   
    3665.TW           60               34.09             195.02           -53.21             1.09                 1.81               88           📈 持有   
   6207.TWO           20               39.10             194.81           -39.44             1.55                 1.82              133           ☁ 觀望   
   3555.TWO          120               29.31             194.17           -74.53             0.86                 1.85               58           📈 持有   
    3712.TW           20               26.19             194.01           -47.91             0.84                 2.02               84           ☁ 觀望   
    1471.TW          120               30.19             193.69           -40.38             1.09                 2.18               53           📈 持有   
    6753.TW          240               36.36             193.09           -20.16             1.09                 7.91               11           📈 持有   
   8279.TWO          240               25.00             192.98           -35.08             0.91                 3.29               28           ☁ 觀望   
   6788.TWO           60               29.41             192.62           -39.19             1.18                 2.98               34           📈 持有   
    6230.TW          240               21.88             189.87           -41.98             0.94                 2.48               32           ☁ 觀望   
    6805.TW           20               33.33             189.70           -19.15             1.36                 3.78               24           📈 持有   
   6664.TWO           60               36.59             189.67           -22.03             1.34                 2.89               41           📈 持有   
    2453.TW          240               38.10             189.13           -42.00             1.26                 2.86               42           ☁ 觀望   
   2755.TWO          120               37.93             189.00           -30.48             0.86                 3.12               29           📈 持有   
    6533.TW          120               23.53             188.82           -68.08             0.70                 1.83               51           ☁ 觀望   
   6170.TWO          120               30.99             188.43           -39.18             1.10                 2.17               71           ☁ 觀望   
    2436.TW          240               32.35             188.38           -28.33             0.85                 2.95               34           📈 持有   
    3596.TW          120               29.73             187.63           -27.29             1.47                 3.02               37           ☁ 觀望   
   8472.TWO          240               39.13             187.42           -25.23             1.25                 3.92               23           📈 持有   
    6239.TW          120               35.71             186.98           -18.07             1.51                 3.59               56           📈 持有   
   4908.TWO           20               44.60             186.96           -41.69             1.53                 1.72              139           📈 持有   
    2413.TW           10               27.37             186.96           -49.13             1.05                 1.42              190           📈 持有   
    6706.TW           10               32.80             186.86           -48.45             1.26                 1.66              125           📈 持有   
    1795.TW          240               25.93             186.85           -26.25             1.39                 4.18               27           📈 持有   
   3687.TWO          240               30.00             186.73           -42.46             0.90                 2.75               30           ☁ 觀望   
    3543.TW          120               39.13             186.58           -19.04             2.01                 3.20               69           📈 持有   
    3149.TW          120               24.49             186.00           -60.91             0.65                 1.88               49           📈 持有   
   6727.TWO           10               29.25             184.57           -38.44             1.35                 2.02              106           📈 持有   
    1587.TW           20               28.47             184.18           -50.48             0.91                 1.64              144           ☁ 觀望   
    2535.TW          240               39.29             184.12            -8.92             1.69                 8.47               28           📈 持有   
   6233.TWO          240               15.15             183.79           -76.00             0.58                 2.07               33           📈 持有   
   3265.TWO          120               38.46             182.68           -49.90             1.04                 2.42               52           📈 持有   
    2308.TW           60               32.94             182.09           -27.90             1.60                 2.20               85           📈 持有   
    2881.TW           60               34.18             181.84           -21.35             1.43                 2.66               79           ☁ 觀望   
   3625.TWO           60               31.51             180.71           -63.66             0.83                 1.73               73           ☁ 觀望   
    5285.TW          120               14.63             179.67           -40.15             0.91                 2.46               41           📈 持有   
    2468.TW          240               36.54             179.49           -31.84             1.02                 2.53               52           ☁ 觀望   
   3551.TWO           10               35.10             179.27           -57.83             1.76                 1.57              208           📈 持有   
    3189.TW          120               20.31             179.12           -62.11             0.91                 1.92               64           📈 持有   
    5871.TW          120               21.05             178.31           -46.63             1.12                 2.94               38           ☁ 觀望   
    8438.TW          120               16.28             178.27           -30.19             1.08                 2.75               43           📈 持有   
    4571.TW          120               28.57             178.00           -36.16             1.14                 4.05               14           ☁ 觀望   
   3071.TWO          240               42.42             177.99           -20.37             1.14                 3.15               33           📈 持有   
    2478.TW           60               31.33             177.64           -35.25             0.95                 1.99               83           📈 持有   
   6163.TWO          120               31.25             176.42           -49.26             0.80                 2.12               64           📈 持有   
    2618.TW          120               31.11             174.99           -28.78             1.59                 3.75               45           ☁ 觀望   
   6683.TWO            5               34.76             174.64           -47.49             1.15                 1.43              187           ☁ 觀望   
    8271.TW          120               31.25             174.26           -18.56             1.38                 2.83               48           📈 持有   
   8096.TWO          240               32.61             173.43           -63.68             0.68                 2.11               46           ☁ 觀望   
    6116.TW          120               23.53             173.37           -29.48             1.22                 2.98               34           📈 持有   
    2206.TW          240               30.19             173.25           -33.87             0.87                 3.10               53           ☁ 觀望   
    1455.TW           20               31.30             172.60           -43.84             1.03                 1.85              131           ☁ 觀望   
   5493.TWO          120               26.76             172.60           -24.37             1.30                 2.88               71           ☁ 觀望   
    3092.TW          240               35.56             172.56           -38.08             0.86                 2.72               45           📈 持有   
   6613.TWO          240               22.86             172.11           -26.95             0.86                 4.10               35           ☁ 觀望   
    2441.TW          120               38.46             171.08           -29.14             1.32                 2.91               39           📈 持有   
    1438.TW          240               26.47             170.41           -26.93             1.26                 3.24               34           ☁ 觀望   
   6419.TWO          240               28.00             169.72           -66.70             0.77                 2.31               25           ☁ 觀望   
    6689.TW          120               20.69             169.46           -40.47             0.85                 3.50               29           ☁ 觀望   
    3686.TW           20               26.67             169.42           -72.32             0.42                 1.37              150           ☁ 觀望   
   3624.TWO           20               27.97             169.05           -43.97             1.08                 1.48              143           ☁ 觀望   
    3044.TW          120               34.48             169.02           -33.08             1.28                 2.29               58           📈 持有   
    8261.TW          240               25.81             168.59           -54.43             0.59                 1.95               62           📈 持有   
   3570.TWO          240               37.04             167.83           -32.50             1.12                 2.77               54           📈 持有   
    3694.TW           20               40.74             167.66           -45.10             1.30                 1.54              135           ☁ 觀望   
    6770.TW          120               12.50             167.24           -48.27             0.72                 3.32               16           📈 持有   
    4989.TW          120               27.45             166.99           -71.31             0.87                 2.02               51           📈 持有   
    2233.TW          240               42.22             166.95           -21.61             1.32                 3.03               45           📈 持有   
   8099.TWO           10               28.00             166.77           -45.08             1.23                 1.52              225           ☁ 觀望   
    9941.TW           60               32.84             166.35           -41.76             1.04                 2.45               67           ☁ 觀望   
   4973.TWO          120               29.63             166.17           -45.34             1.35                 2.26               54           📈 持有   
    5521.TW           20               28.12             166.17           -35.73             1.40                 1.91              128           ☁ 觀望   
    1736.TW          240               34.48             165.37           -31.54             1.01                 2.68               29           ☁ 觀望   
   8390.TWO          120               36.96             165.28           -28.37             1.54                 2.64               46           📈 持有   
   3541.TWO           10               39.33             165.21           -35.14             1.68                 1.62              178           ☁ 觀望   
    8081.TW           60               32.53             165.09           -36.83             1.18                 2.28               83           📈 持有   
   6530.TWO          240               42.42             164.83           -28.26             1.02                 3.16               33           📈 持有   
    1303.TW          120               28.57             163.44           -23.29             1.32                 3.35               42           📈 持有   
   8034.TWO          120               31.58             163.28           -59.25             1.17                 2.13               38           📈 持有   
    4934.TW          240               29.41             162.28           -53.12             0.64                 2.17               34           📈 持有   
    2017.TW          120               22.50             161.56           -32.29             0.75                 2.34               40           📈 持有   
   3064.TWO           10               31.93             161.08           -72.95             0.65                 1.27              238           ☁ 觀望   
    3015.TW          240               40.91             160.51           -16.53             1.11                 4.96               22           ☁ 觀望   
    5471.TW          240               19.44             160.45           -37.85             0.70                 2.87               36           📈 持有   
    6412.TW          240               32.14             160.27           -19.54             1.57                 4.66               28           ☁ 觀望   
    3011.TW          240               27.59             160.18           -52.14             0.97                 2.62               29           ☁ 觀望   
    2367.TW          120               18.06             159.64           -58.31             0.94                 1.90               72           📈 持有   
   3546.TWO          240               45.16             159.53           -29.80             1.20                 2.75               31           📈 持有   
    2357.TW          240               31.91             158.73           -29.83             0.91                 2.62               47           ☁ 觀望   
    7799.TW           10               20.00             158.13           -33.52             1.07                 3.80               15           📈 持有   
   7810.TWO          120              100.00             157.86             0.00             1.61                 0.00                2           📈 持有   
    1590.TW          120               29.41             157.18           -68.40             0.76                 1.70               68           📈 持有   
   3455.TWO          120               41.07             157.17           -29.92             1.41                 2.19               56           📈 持有   
   8234.TWO          240               33.33             156.97           -62.04             0.72                 1.97               39           ☁ 觀望   
    6757.TW          120               42.86             156.41            -3.96             1.06                29.28                7           ☁ 觀望   
    2414.TW          240               52.17             156.06           -12.28             1.66                 7.87               23           📈 持有   
   3581.TWO           10               35.09             154.33           -46.49             1.22                 1.34              228           📈 持有   
   4529.TWO           10               30.56             154.29           -87.57             0.44                 1.26              216           📈 持有   
   4561.TWO          120               32.50             154.11           -50.37             0.73                 2.42               40           ☁ 觀望   
    6209.TW           10               37.00             153.56           -35.16             1.38                 1.38              200           ☁ 觀望   
   3227.TWO          120               31.25             153.37           -32.68             1.17                 1.93               64           📈 持有   
    2377.TW          240               38.24             152.28           -33.04             1.04                 2.57               34           ☁ 觀望   
    2317.TW           60               33.33             152.26           -29.24             1.37                 2.08               81           ☁ 觀望   
    3481.TW           10               30.50             152.05           -53.27             1.39                 1.44              200           📈 持有   
    2891.TW          120               33.33             151.25           -21.84             1.45                 3.56               45           📈 持有   
    2812.TW          240               29.17             151.09            -5.99             1.57                 9.26               24           📈 持有   
    2883.TW          120               40.48             150.92           -19.01             1.55                 4.60               42           📈 持有   
    8462.TW           60               32.79             150.38           -55.71             1.24                 2.03               61           ☁ 觀望   
    6438.TW          240               52.63             150.34           -28.98             1.79                 4.42               19           ☁ 觀望   
    6005.TW          120               30.61             150.20           -18.87             1.72                 3.04               49           📈 持有   
   4966.TWO          240               35.29             149.84           -35.03             0.83                 2.54               34           ☁ 觀望   
   6143.TWO           20               36.22             149.64           -43.57             1.52                 1.54              127           ☁ 觀望   
   3508.TWO           20               31.54             149.28           -67.65             0.70                 1.38              130           📈 持有   
   5245.TWO          240               20.00             149.15           -34.09             0.76                 2.28               25           ☁ 觀望   
    2328.TW           20               29.63             148.87           -60.58             0.73                 1.43              162           ☁ 觀望   
   6980.TWO           20               30.77             148.11           -27.96             1.04                 3.73               26           ☁ 觀望   
   6423.TWO           20               26.23             147.88           -46.31             0.99                 1.65              122           ☁ 觀望   
   5543.TWO          240               18.00             147.83           -48.83             0.58                 2.29               50           📈 持有   
   4510.TWO           20               29.49             147.77           -46.22             0.71                 1.56              156           ☁ 觀望   
   6925.TWO          240               25.00             147.62           -15.96             0.94                 6.37               12           📈 持有   
    2006.TW          240               17.14             147.54           -25.82             0.87                 3.00               35           📈 持有   
    2455.TW          120               32.08             146.60           -56.98             0.93                 1.74               53           📈 持有   
   4513.TWO           60               35.62             146.22           -31.17             1.06                 1.95               73           ☁ 觀望   
   6284.TWO           10               35.71             146.06           -56.04             1.21                 1.36              196           ☁ 觀望   
    9910.TW          120               31.75             145.91           -50.28             0.91                 2.03               63           ☁ 觀望   
    2633.TW          120               17.19             145.82           -47.91             0.88                 2.86               64           ☁ 觀望   
    6205.TW           60               25.37             145.81           -35.75             1.01                 2.03               67           📈 持有   
    9110.TW           20               35.59             145.68           -36.03             0.91                 1.59              177           ☁ 觀望   
    3416.TW          240               39.39             144.37           -13.46             1.21                 3.38               33           ☁ 觀望   
    3030.TW           60               30.34             144.35           -43.88             0.83                 1.83               89           📈 持有   
    2630.TW           20               33.87             144.26           -47.81             0.74                 1.51              124           ☁ 觀望   
   3317.TWO           20               34.96             143.86           -42.79             1.26                 1.53              123           ☁ 觀望   
   3093.TWO          120               28.85             143.36           -41.10             1.05                 2.46               52           📈 持有   
    1522.TW           60               32.91             143.20           -29.67             1.28                 1.87               79           ☁ 觀望   
    6431.TW           20               34.13             142.74           -52.49             1.33                 1.63              126           ☁ 觀望   
   6016.TWO           10               30.00             142.48           -33.74             1.47                 1.62              190           📈 持有   
   3709.TWO          120               41.38             142.01           -16.87             1.80                 4.12               29           📈 持有   
    2482.TW           20               22.92             141.93           -60.51             0.77                 1.46              144           ☁ 觀望   
   3372.TWO          120               22.73             141.48           -62.58             0.79                 1.93               44           📈 持有   
    2442.TW          240               37.50             140.23           -31.89             1.14                 2.32               40           ☁ 觀望   
    2349.TW           10               31.31             139.64           -71.88             0.62                 1.33              198           📈 持有   
    2451.TW          120               26.76             139.50           -36.17             0.78                 2.12               71           📈 持有   
    2352.TW           60               21.25             139.39           -41.32             0.89                 1.86               80           ☁ 觀望   
    6873.TW           60               29.41             138.90           -33.84             1.04                 3.43               17           ☁ 觀望   
    8028.TW          240               43.59             138.67           -42.85             0.83                 1.95               39           📈 持有   
   3323.TWO          240               43.18             138.52           -42.30             0.81                 2.11               44           📈 持有   
   6127.TWO          120               40.00             138.44           -39.42             1.09                 1.79               60           📈 持有   
    2472.TW           20               38.41             137.89           -33.95             1.44                 1.52              138           ☁ 觀望   
    6698.TW           10               40.35             137.22           -32.13             1.48                 1.65              114           ☁ 觀望   
   7402.TWO           10               28.17             137.07           -46.29             0.94                 1.33              213           📈 持有   
    0052.TW           10               36.90             136.90           -30.17             1.89                 1.61              187           📈 持有   
    2423.TW          240               37.50             136.27           -14.92             1.46                 4.07               24           📈 持有   
    2885.TW          240               39.13             135.75            -6.52             1.90                 9.24               23           📈 持有   
    3703.TW           20               30.16             135.45           -32.54             1.11                 1.67              126           ☁ 觀望   
    8016.TW           60               25.00             135.11           -61.83             0.93                 1.65               96           📈 持有   
   6903.TWO           20               38.10             134.83           -19.24             1.54                 2.81               42           📈 持有   
   3577.TWO          240               29.41             134.30           -40.24             0.76                 1.90               51           ☁ 觀望   
   8431.TWO           20               37.23             133.15           -58.13             1.01                 1.42              137           📈 持有   
    8131.TW          240               44.00             133.11            -7.39             1.45                 6.27               25           📈 持有   
   4804.TWO           60               35.71             133.01           -50.40             0.83                 1.79               42           ☁ 觀望   
    2374.TW           20               30.77             132.91           -42.38             0.89                 1.48              143           ☁ 觀望   
    2010.TW          120               25.00             132.85           -23.43             0.91                 2.57               68           📈 持有   
   8091.TWO           60               28.24             132.66           -40.03             0.89                 1.69               85           📈 持有   
    8464.TW          240               33.33             132.40           -48.46             1.04                 2.43               39           ☁ 觀望   
    2340.TW          120               32.43             132.19           -32.47             1.29                 2.42               37           📈 持有   
    3028.TW           60               32.73             131.65           -18.97             1.61                 2.69               55           📈 持有   
    3711.TW          120               26.92             131.38           -53.93             0.99                 1.98               78           📈 持有   
   7777.TWO            5               24.39             131.15           -32.77             1.01                 2.58               41           ☁ 觀望   
   6134.TWO           60               31.58             129.91           -42.80             1.15                 1.82               57           📈 持有   
   3587.TWO          240               17.24             129.16           -35.40             0.82                 1.97               29           📈 持有   
   6275.TWO           20               33.33             127.78           -36.86             1.36                 1.48              150           ☁ 觀望   
    2610.TW          120               18.42             127.55           -23.64             1.04                 2.64               38           ☁ 觀望   
   3234.TWO          120               27.12             127.45           -88.26             0.45                 1.45               59           📈 持有   
   5009.TWO          240               34.48             127.25           -27.28             1.08                 2.87               29           ☁ 觀望   
   7751.TWO           10               33.33             126.96           -32.86             1.23                 2.99               27           📈 持有   
    2489.TW          120               20.00             126.89           -26.80             1.20                 2.36               35           📈 持有   
    2406.TW           20               27.07             125.57           -66.82             0.66                 1.35              133           📈 持有   
   6642.TWO          120               30.95             124.78           -25.17             0.80                 2.40               42           📈 持有   
    4949.TW           20               23.81             124.71           -26.85             0.75                 2.78               21           📈 持有   
   4533.TWO          120               26.56             124.16           -66.12             0.83                 1.86               64           📈 持有   
   1785.TWO          240               30.56             124.11           -36.26             0.94                 2.09               36           📈 持有   
    3504.TW           20               32.06             123.46           -47.98             0.81                 1.36              131           📈 持有   
   5351.TWO          120               17.50             123.46           -78.15             0.54                 1.54               80           📈 持有   
    8499.TW          120               26.00             122.43           -53.01             0.80                 2.13               50           ☁ 觀望   
   6219.TWO          240               41.18             122.15           -21.20             1.19                 3.43               17           ☁ 觀望   
    2385.TW           60               33.71             121.86           -40.94             0.78                 1.96               89           📈 持有   
  00715L.TW           20               39.77             121.16           -65.28             0.85                 1.38               88           📈 持有   
    2023.TW          240               32.69             120.82           -42.16             0.81                 2.33               52           ☁ 觀望   
    1304.TW           60               35.82             120.43           -46.28             0.60                 1.77               67           📈 持有   
   6188.TWO           60               31.87             120.30           -42.65             0.79                 1.48               91           ☁ 觀望   
    2353.TW          120               24.53             120.03           -30.28             0.80                 1.86               53           ☁ 觀望   
    1717.TW          120               30.36             119.70           -26.19             0.88                 2.37               56           📈 持有   
   3066.TWO          240               36.84             119.44           -71.81             0.47                 1.62               57           ☁ 觀望   
    0050.TW          120               24.24             119.04           -22.06             1.27                 3.11               33           📈 持有   
   6418.TWO           20               29.66             118.61           -50.66             0.97                 1.43              145           ☁ 觀望   
    4142.TW          240               22.86             118.29           -43.12             0.60                 2.31               35           ☁ 觀望   
    2444.TW           60               23.53             117.89           -67.14             0.48                 1.42               85           📈 持有   
    3040.TW          240               35.00             117.58           -35.04             0.85                 2.79               20           ☁ 觀望   
    8422.TW          120               21.05             117.41           -27.06             1.02                 2.55               57           📈 持有   
    6541.TW           10               23.94             117.21           -70.22             0.60                 1.26              188           ☁ 觀望   
    3010.TW          240               36.00             116.59           -17.15             1.25                 4.78               25           📈 持有   
    2425.TW           20               30.97             116.42           -54.49             0.94                 1.44              113           ☁ 觀望   
    3308.TW          120               42.03             115.82           -37.57             0.61                 1.70               69           📈 持有   
    2880.TW          120               30.23             115.62           -12.64             1.51                 3.54               43           📈 持有   
  00877.TWO           10               34.57             115.22           -19.47             1.10                 1.85               81           📈 持有   
    2890.TW          120               30.77             114.89           -17.96             1.45                 3.09               52           📈 持有   
    2855.TW          240               31.58             114.45           -29.77             0.98                 3.04               38           📈 持有   
    1504.TW          240               31.43             114.17           -15.77             1.16                 3.49               35           📈 持有   
    4915.TW           60               35.94             113.66           -26.85             1.12                 1.80               64           ☁ 觀望   
   6735.TWO           10               36.45             113.20           -43.14             0.89                 1.54              107           📈 持有   
   2726.TWO           60               40.58             112.85           -39.04             1.33                 1.99               69           ☁ 觀望   
   8050.TWO          240               44.12             112.75           -32.45             0.84                 2.86               34           ☁ 觀望   
    2889.TW           60               31.25             112.73           -18.31             1.68                 2.86               64           ☁ 觀望   
   5328.TWO           10               30.65             112.71           -45.69             0.84                 1.26              199           📈 持有   
    2834.TW          120               25.81             112.34           -17.69             1.22                 2.86               62           📈 持有   
    8114.TW          240               30.77             112.13           -37.01             0.78                 2.18               39           ☁ 觀望   
    8103.TW          120               32.20             111.84           -41.49             1.06                 2.04               59           📈 持有   
    2838.TW          240               26.47             111.77           -11.49             1.35                 4.14               34           📈 持有   
   3564.TWO           10               36.36             111.67           -52.58             0.87                 1.26              198           📈 持有   
   3085.TWO          120               26.42             111.22           -75.76             0.42                 1.51               53           ☁ 觀望   
   00830.TW          240               16.67             110.50           -27.33             1.13                 4.47               12           📈 持有   
    8070.TW           60               34.78             110.32           -39.66             0.93                 1.67               92           ☁ 觀望   
   00735.TW           20               37.84             110.17           -24.80             1.39                 2.14               74           📈 持有   
    2548.TW          240               41.67             109.90           -17.48             1.38                 3.60               24           📈 持有   
   6203.TWO           60               29.27             109.74           -45.33             0.76                 1.56               82           ☁ 觀望   
   00910.TW           20               44.12             109.21           -19.41             2.01                 3.86               34           📈 持有   
    2401.TW          120               27.78             108.80           -46.40             0.61                 1.58               72           ☁ 觀望   
    2605.TW           10               30.77             108.05           -49.30             0.89                 1.32              195           📈 持有   
   5291.TWO          120               32.69             107.92           -42.90             1.00                 1.88               52           📈 持有   
    2884.TW          240               38.71             107.80           -10.06             1.57                 5.20               31           📈 持有   
    6869.TW          120               40.00             107.52           -14.65             1.14                 6.98               10           ☁ 觀望   
   7744.TWO            5               39.53             107.49           -19.01             1.78                 2.72               43           ☁ 觀望   
    8150.TW          120               35.09             106.92           -46.78             0.77                 1.68               57           📈 持有   
    6796.TW           20               33.33             106.55           -46.85             0.82                 1.77               57           ☁ 觀望   
    2607.TW          240               29.55             106.26           -26.25             0.75                 2.36               44           📈 持有   
   3623.TWO           10               35.26             106.21           -66.93             0.65                 1.25              190           📈 持有   
    3257.TW           20               33.58             106.07           -45.61             0.81                 1.37              134           ☁ 觀望   
  912000.TW           20               29.91             105.99           -56.08             0.85                 1.38              117           ☁ 觀望   
    2723.TW          120               27.27             105.82           -20.62             1.06                 2.22               33           ☁ 觀望   
    3034.TW           60               27.63             105.80           -32.80             1.07                 1.68               76           ☁ 觀望   
