正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
     8210.TW                  20           37.60                191.54       -32.88                 2.73                  1.74            125        ☁ 觀望
     8996.TW                  10           35.61                190.93       -69.93                 1.81                  1.43            205        ☁ 觀望
    6667.TWO                  10           35.86                190.57       -27.23                 2.47                  1.69            145        📈 持有
     3413.TW                  20           37.50                189.77       -35.03                 2.53                  1.67            136        📈 持有
     2492.TW                  10           34.17                189.14      -109.07                 1.81                  1.44            199        📈 持有
     3533.TW                  20           35.92                188.05       -49.58                 2.40                  1.59            142        📈 持有
    6584.TWO                  10           37.16                187.24       -60.71                 2.41                  1.75            148        ☁ 觀望
     6698.TW                  20           32.47                187.09       -33.27                 3.78                  2.09             77        ☁ 觀望
     2467.TW                  20           32.37                187.09       -54.12                 2.39                  1.65            139        📈 持有
    4979.TWO                  20           38.24                183.77       -94.34                 2.05                  1.46            136        📈 持有
    3265.TWO                  10           37.57                182.84       -29.86                 2.11                  1.55            189        📈 持有
    8086.TWO                  10           33.83                182.65       -72.69                 1.67                  1.38            201        📈 持有
     8033.TW                  60           32.00                182.44       -69.19                 2.94                  1.84            100        📈 持有
     3025.TW                  20           29.73                181.30       -62.52                 2.06                  1.54            148        ☁ 觀望
     9110.TW                  20           36.72                180.96       -40.05                 2.20                  1.77            177        ☁ 觀望
    4973.TWO                  20           31.85                180.05       -38.85                 2.47                  1.70            135        ☁ 觀望
     3006.TW                  20           42.22                180.01       -73.63                 2.42                  1.62            135        ☁ 觀望
    5536.TWO                  10           33.49                180.01       -43.82                 2.19                  1.60            209        📈 持有
    2755.TWO                  20           44.00                179.16       -21.21                 4.44                  3.13             75        📈 持有
    6485.TWO                  20           36.17                178.59       -53.95                 2.32                  1.60            141        ☁ 觀望
    5508.TWO                  20           33.07                178.11       -57.07                 3.19                  2.14            127        ☁ 觀望
     3652.TW                 240           52.94                177.89       -21.22                 7.10                  3.99             34        ☁ 觀望
    4991.TWO                  20           40.15                177.62       -69.81                 2.36                  1.61            132        📈 持有
    6187.TWO                  60           35.48                177.35       -33.69                 4.04                  2.10             62        📈 持有
    5403.TWO                  20           33.65                177.22       -26.68                 3.83                  2.66            104        ☁ 觀望
    3581.TWO                  10           35.09                176.57       -48.69                 1.55                  1.38            228        📈 持有
     4722.TW                  60           36.00                176.36       -18.85                 4.28                  2.73             75        📈 持有
    3317.TWO                  20           34.96                175.74       -52.49                 2.49                  1.64            123        ☁ 觀望
     6451.TW                 120           45.45                175.18       -61.78                 5.00                  2.33             44        📈 持有
    3444.TWO                  60           32.97                175.05       -54.21                 2.98                  1.92             91        📈 持有
     8478.TW                  10           32.28                174.16       -83.74                 1.83                  1.51            189        ☁ 觀望
     6431.TW                  20           34.13                174.07       -72.28                 2.52                  1.77            126        ☁ 觀望
    6535.TWO                  10           32.46                174.06       -56.70                 1.58                  1.38            191        ☁ 觀望
     2472.TW                  20           38.41                173.99       -37.65                 2.38                  1.65            138        ☁ 觀望
     3694.TW                  20           40.74                173.82       -47.20                 2.26                  1.60            135        ☁ 觀望
     1773.TW                  60           37.14                173.53       -22.77                 4.65                  3.12             70        📈 持有
     2014.TW                  20           33.04                173.28       -52.20                 2.60                  1.71            115        📈 持有
    6588.TWO                  60           41.94                173.04       -47.48                 2.88                  2.26             62        📈 持有
    3551.TWO                  10           35.10                172.03       -80.60                 1.96                  1.55            208        📈 持有
    3147.TWO                  20           33.57                170.89       -36.38                 2.06                  1.54            143        📈 持有
    6291.TWO                  20           37.20                170.86      -282.07                 0.79                  1.21            207        📈 持有
    6275.TWO                  20           34.00                170.73       -34.98                 2.31                  1.63            150        ☁ 觀望
     5269.TW                  20           33.33                170.52       -76.03                 1.94                  1.44            144        ☁ 觀望
    8930.TWO                  20           29.53                169.63       -35.97                 2.58                  1.90            149        📈 持有
     2493.TW                  20           33.87                169.37       -18.36                 3.24                  2.19            124        ☁ 觀望
    8034.TWO                  20           33.79                168.97       -78.89                 1.90                  1.48            145        📈 持有
     3168.TW                  60           36.89                168.23       -61.43                 3.09                  2.07            103        ☁ 觀望
    3709.TWO                 120           43.33                167.03       -18.26                 7.27                  4.79             30        📈 持有
    6274.TWO                  10           36.84                166.95       -55.76                 1.75                  1.41            209        ☁ 觀望
     0052.TW                  10           37.43                165.35       -35.09                 2.54                  1.74            187        📈 持有
    3372.TWO                  60           40.54                164.02       -38.13                 3.46                  2.11             74        📈 持有
     2455.TW                  20           37.40                164.01       -41.84                 2.19                  1.52            131        📈 持有
     1560.TW                  60           38.71                163.45       -40.10                 4.36                  2.47             62        📈 持有
    3374.TWO                  20           36.55                163.07       -56.81                 1.94                  1.46            145        ☁ 觀望
    6265.TWO                  20           32.56                162.92       -52.24                 2.40                  1.69            129        ☁ 觀望
     9958.TW                  10           28.64                162.54       -67.83                 1.59                  1.43            220        ☁ 觀望
     2454.TW                  20           35.00                161.70       -47.59                 2.35                  1.60            140        ☁ 觀望
    3211.TWO                  60           38.89                161.15       -40.01                 3.55                  2.15             72        📈 持有
     2449.TW                  20           35.92                161.11       -80.63                 2.26                  1.58            142        ☁ 觀望
     3715.TW                  10           49.06                159.41       -30.96                 4.89                  2.44             53        📈 持有
    6290.TWO                  20           33.81                159.17       -77.11                 2.06                  1.49            139        📈 持有
    8089.TWO                  20           32.53                158.91       -62.42                 2.02                  1.89             83        ☁ 觀望
     6426.TW                  10           38.97                158.27       -54.88                 1.43                  1.36            213        📈 持有
    3546.TWO                  10           30.77                158.12       -49.20                 1.59                  1.41            208        ☁ 觀望
     3596.TW                 240           47.50                157.96       -20.10                 6.00                  3.48             40        📈 持有
    5371.TWO                  20           32.35                157.68       -35.17                 2.25                  1.61            136        ☁ 觀望
     5234.TW                 120           57.89                157.42       -16.76                 6.65                  4.08             38        📈 持有
    5347.TWO                  60           35.56                156.92       -23.67                 3.06                  1.96             90        📈 持有
     1471.TW                  20           32.82                156.55       -40.52                 1.81                  1.46            131        ☁ 觀望
    3684.TWO                 120           47.14                156.41       -31.03                 3.84                  2.34             70        📈 持有
     3017.TW                  10           40.20                156.20       -57.02                 1.52                  1.33            204        📈 持有
     6472.TW                  20           34.81                156.13       -61.99                 1.96                  1.49            135        ☁ 觀望
    4946.TWO                 120           33.33                156.01       -35.56                 2.76                  2.30             45        📈 持有
     1528.TW                  20           34.25                155.10       -45.82                 2.11                  1.64            146        ☁ 觀望
    5864.TWO                   5           34.91                154.93       -80.38                 1.46                  1.43            338        ☁ 觀望
    5381.TWO                  10           34.55                154.00       -81.32                 1.06                  1.26            246        📈 持有
     2338.TW                  10           34.15                153.98       -88.84                 1.56                  1.39            205        📈 持有
    3207.TWO                   5           32.47                153.46      -101.73                 0.95                  1.22            348        📈 持有
     3005.TW                 240           42.50                153.20       -15.17                 6.45                  4.45             40        📈 持有
    3163.TWO                 120           39.71                153.16       -58.39                 3.30                  1.86             68        📈 持有
    6620.TWO                   5           31.90                152.91       -95.43                 1.43                  1.35            210        ☁ 觀望
     5292.TW                  20           44.07                152.01       -20.51                 4.40                  2.62             59        ☁ 觀望
     9906.TW                  10           36.53                151.43       -50.75                 1.39                  1.35            219        ☁ 觀望
    00757.TW                  20           51.61                151.16       -24.79                 4.83                  2.62             62        ☁ 觀望
     2031.TW                  20           33.10                150.34       -33.71                 2.19                  1.63            142        📈 持有
