正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   9103.TW          120      12.96        2308.75      54   📈 持有
   2609.TW           60      22.86        1353.76      70   📈 持有
   2492.TW          240      28.00        1149.58      25   📈 持有
  6469.TWO          240      26.67        1085.03      15   ☁ 觀望
   2543.TW          120      25.86        1041.63      58   📈 持有
  2230.TWO          120      20.24         986.35      84   ☁ 觀望
  3218.TWO          240      33.33         928.39      33   ☁ 觀望
   8045.TW          120      20.93         913.65      43   ☁ 觀望
   4763.TW          120      29.69         851.17      64   ☁ 觀望
  5299.TWO          240      26.92         830.92      26   ☁ 觀望
  8436.TWO          240      28.57         803.43      35   ☁ 觀望
  3293.TWO          120      19.61         803.12      51   ☁ 觀望
   4961.TW           60      26.87         761.79      67   📈 持有
   6415.TW          120      32.50         742.59      40   ☁ 觀望
   9958.TW          240      24.32         734.08      37   ☁ 觀望
   2359.TW          240      22.22         706.59      36   ☁ 觀望
  6548.TWO          120      29.41         698.98      34   📈 持有
   8478.TW          240       9.52         695.19      21   ☁ 觀望
  3680.TWO          240      30.30         685.63      33   📈 持有
  6720.TWO          120      34.62         667.99      26   📈 持有
   2327.TW          120      39.02         659.04      41   📈 持有
   3138.TW          240      24.39         646.77      41   📈 持有
  8069.TWO          240      38.46         645.84      26   ☁ 觀望
   2486.TW           60      26.58         641.05      79   📈 持有
   5258.TW          240      44.44         579.16      18   ☁ 觀望
   2009.TW           60      16.67         576.78      66   📈 持有
  3465.TWO          240      28.57         563.13      14   ☁ 觀望
  3141.TWO           60      27.42         561.41      62   📈 持有
   2337.TW          120      25.00         557.24      52   📈 持有
  4979.TWO          120      24.62         551.21      65   📈 持有
  6231.TWO          120      30.95         545.31      42   ☁ 觀望
   1514.TW          240      37.50         544.85      24   📈 持有
  3207.TWO          240      19.44         539.30      36   ☁ 觀望
   5225.TW          120      27.66         535.03      47   ☁ 觀望
   5608.TW           60      18.07         532.45      83   ☁ 觀望
   6443.TW           20      17.42         526.07     132   📈 持有
   2615.TW           20      26.90         515.62     145   📈 持有
   8110.TW          120      38.18         509.57      55   📈 持有
  3324.TWO           10      33.33         501.25     207   ☁ 觀望
  6187.TWO          120      21.43         498.76      42   📈 持有
  5432.TWO          120      16.46         495.57      79   📈 持有
  5381.TWO          240      35.29         491.88      34   📈 持有
   4967.TW          120      37.14         488.43      35   📈 持有
  3693.TWO          120      22.95         486.23      61   📈 持有
   3443.TW          120      31.25         481.71      48   📈 持有
  6546.TWO          240      26.67         479.66      15   ☁ 觀望
   6446.TW          120      22.22         476.00      63   📈 持有
   6442.TW            5      27.56         468.01     283   ☁ 觀望
  4909.TWO          120      16.67         466.02      66   📈 持有
   6550.TW          240      25.00         457.78      12   ☁ 觀望
   2344.TW           10      35.03         454.54     197   📈 持有
  6640.TWO          240      28.57         453.81      28   📈 持有
  4171.TWO          240      14.29         447.14      21   ☁ 觀望
  5321.TWO           60      23.29         447.06      73   ☁ 觀望
  3086.TWO          120      30.00         445.66      60   📈 持有
   1235.TW          240      25.00         445.01      20   ☁ 觀望
  5474.TWO           20      28.57         437.69     133   ☁ 觀望
  6173.TWO          240      21.21         437.62      33   📈 持有
 00632R.TW           20      17.95         435.80     117   ☁ 觀望
   3406.TW          120      27.14         433.01      70   ☁ 觀望
  6485.TWO           20      34.75         431.23     141   ☁ 觀望
  6223.TWO           10      37.11         428.16     194   📈 持有
   6235.TW          240      22.86         426.69      35   ☁ 觀望
  3205.TWO           20      26.72         425.81     131   📈 持有
   4943.TW          240      18.18         423.84      22   ☁ 觀望
   8210.TW           10      35.20         421.19     196   ☁ 觀望
  3675.TWO          120      24.19         419.56      62   📈 持有
