正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%        Sharpe  Trades Status Action
   4739.TW          120      33.33         282.14  -67.91  3.310000e+00      42   📈 持有 觀察/可賣出
  5508.TWO          240      38.46         280.55   -3.92  7.570000e+00      13   ☁ 觀望     持有
   2480.TW          240      25.93         279.79  -29.31  4.840000e+00      27   📈 持有 觀察/可賣出
   3019.TW          240      32.35         278.99  -55.50  3.110000e+00      34   ☁ 觀望 觀察/可賣出
  8299.TWO          120      31.58         278.46  -43.86  2.240000e+00      57   📈 持有     持有
   2059.TW          240      22.50         277.74  -54.35  3.010000e+00      40   📈 持有 觀察/可賣出
   2379.TW          120      43.18         277.72  -35.09  3.730000e+00      44   ☁ 觀望     持有
   3032.TW          240      37.50         277.28  -23.65  4.360000e+00      32   ☁ 觀望     持有
  6104.TWO           60      31.65         277.20  -55.05  2.090000e+00      79   📈 持有 觀察/可賣出
  4946.TWO           60      18.75         275.70 -179.65  1.480000e+00      80   📈 持有 觀察/可賣出
  3526.TWO          120      28.89         275.41  -40.83  2.820000e+00      45   📈 持有 觀察/可賣出
   1597.TW          120      28.07         274.63  -64.74  1.870000e+00      57   ☁ 觀望 觀察/可賣出
  3105.TWO          240      42.86         274.23  -38.41  2.500000e+00      35   📈 持有     持有
   1503.TW          240      31.82         274.03  -16.89  3.470000e+00      22   📈 持有     持有
   3545.TW          240      37.04         273.48  -30.48  2.720000e+00      27   ☁ 觀望     持有
  3078.TWO           60      32.81         270.07  -40.55  2.530000e+00      64   ☁ 觀望     持有
   1477.TW          120      34.38         269.47  -25.49  4.670000e+00      32   📈 持有     持有
  6125.TWO          240      29.55         269.41  -46.77  2.650000e+00      44   ☁ 觀望 觀察/可賣出
   2457.TW          240      28.12         267.29  -44.64  2.250000e+00      32   ☁ 觀望 觀察/可賣出
  6620.TWO           20      35.80         265.16  -47.08  2.430000e+00      81   ☁ 觀望     持有
   3090.TW          240      32.14         265.00  -34.96  3.630000e+00      28   📈 持有     持有
   2014.TW           20      32.46         264.07  -53.91  1.880000e+00     114   📈 持有 觀察/可賣出
  5498.TWO          120      34.00         263.30  -80.19  2.490000e+00      50   📈 持有 觀察/可賣出
   1229.TW          240      46.67         263.20   -5.45  6.490000e+00      15   ☁ 觀望     持有
  3713.TWO           20      25.00         262.93 -104.01  1.400000e+00      72   ☁ 觀望 觀察/可賣出
   1802.TW          120      23.81         262.23  -63.78  3.200000e+00      42   📈 持有 觀察/可賣出
   2454.TW          240      21.74         262.13  -20.44  3.770000e+00      23   📈 持有 觀察/可賣出
  8444.TWO          240      30.00         260.89  -48.33  4.390000e+00      10   ☁ 觀望 觀察/可賣出
   1560.TW          120      32.43         260.14  -42.67  3.740000e+00      37   📈 持有     持有
   5607.TW          240      28.95         259.87  -12.02  2.690000e+00      38   📈 持有 觀察/可賣出
   2493.TW          240      22.22         259.26  -19.61  3.490000e+00      18   📈 持有 觀察/可賣出
   5222.TW          240      27.03         257.85  -28.53  2.620000e+00      37   📈 持有 觀察/可賣出
   1612.TW          240      33.33         256.63  -26.98  3.850000e+00      21   📈 持有     持有
   3701.TW           20      28.85         256.22 -158.29  6.800000e-01     208   📈 持有 觀察/可賣出
  3430.TWO          120      26.19         256.04  -62.15  2.480000e+00      42   📈 持有 觀察/可賣出
  1294.TWO           60      36.84         255.45  -21.72  4.760000e+00      19   📈 持有     持有
   6213.TW          240      43.75         254.25  -44.29  3.360000e+00      32   📈 持有     持有
   2031.TW          240      33.33         254.16  -19.51  6.470000e+00      12   ☁ 觀望     持有
  6643.TWO          120      48.65         253.40  -41.94  2.690000e+00      37   ☁ 觀望     持有
   4540.TW           60      31.58         253.36  -75.78  1.660000e+00      57   📈 持有 觀察/可賣出
 00631L.TW           10      41.57         251.74  -44.95  2.950000e+00     178   📈 持有     持有
  4744.TWO           20      35.21         250.91  -68.78  1.290000e+00     142   📈 持有 觀察/可賣出
   6655.TW          240      50.00         249.95   -6.01  5.600000e+00       8   📈 持有     持有
   2382.TW          240      35.14         249.16  -17.05  2.950000e+00      37   📈 持有     持有
   3023.TW          240      38.46         248.61  -42.30  3.870000e+00      26   ☁ 觀望     持有
  6568.TWO           20      43.27         246.42  -28.29  2.200000e+00     104   📈 持有     持有
   2313.TW          120      29.23         245.88  -34.30  2.480000e+00      65   📈 持有 觀察/可賣出
   4562.TW          120      19.05         244.99  -34.02  2.010000e+00      42   ☁ 觀望 觀察/可賣出
   1513.TW          120      30.00         244.11  -50.30  2.310000e+00      70   ☁ 觀望 觀察/可賣出
   4755.TW           60      25.71         243.91  -37.06  2.330000e+00      70   📈 持有 觀察/可賣出
   6491.TW          120      29.55         243.85  -66.04  2.570000e+00      44   ☁ 觀望 觀察/可賣出
  7781.TWO          120      50.00         243.33    0.00  1.457000e+01       2   📈 持有     持有
   2337.TW          240      25.81         242.94  -40.55  2.860000e+00      31   📈 持有 觀察/可賣出
  6130.TWO           20      36.54         242.59  -58.00  1.200000e+00     156   ☁ 觀望 觀察/可賣出
   3583.TW           60      35.82         241.70  -34.21  2.490000e+00      67   📈 持有     持有
