📊 全量策略掃描報告 - 日期: 20260307
==============================================================================================================
Stock           Price    Return%    Win%  Trades  T/Year   F_Sum5D Advice
9907.TW         18.95      88.09    43.6     309    26.5      3806 🔥 強力進場 
00752.TW        24.28      66.39    51.7     204    28.8      3550 🔍 底部進貨 
8422.TW         32.00     148.63    39.1     366    31.4      3414 🔍 底部進貨 
4904.TW         93.00     -17.48    45.8     418    35.9      3158 🔥 強力進場 
00877.TWO       27.83     201.80    49.6     123    22.6      3103 🔥 強力進場 
6789.TW        346.00      93.34    43.5     139    29.3      3092 🔥 強力進場 
6152.TW         20.25     501.36    45.0     295    25.3      2932 🔥 強力進場 
1708.TW         36.35     211.99    43.6     309    26.6      2910 🔥 強力進場 
2897.TW          9.83      21.07    42.4     365    31.3      2866 🔥 強力進場 
3665.TW       1770.00     130.79    46.3     365    31.3      2858 🔥 強力進場 
3615.TWO        32.80     210.35    43.7     279    24.0      2857 🔥 強力進場 
00724B.TWO      34.66      59.48    51.6     195    24.6      2846 🔥 強力進場 
2014.TW         18.05    1289.59    44.5     284    24.3      2804 💤 觀望 
2458.TW        131.50     119.18    45.9     311    26.6      2804 🔥 強力進場 
6274.TWO       504.00     706.34    47.7     322    27.6      2800 💤 觀望 
00722B.TWO      37.14      45.15    51.2     223    28.1      2690 🔥 強力進場 
3189.TW        291.50     249.65    43.9     333    28.5      2638 🔥 強力進場 
6994.TW         84.90      57.99    45.8      73    34.6      2488 💤 觀望 [⚡爆量]
6187.TWO       590.00    3020.49    47.9     317    27.2      2394 🔥 強力進場 
3028.TW         54.40     376.69    44.7     335    28.7      2359 🔥 強力進場 
8046.TW        469.50    1732.98    46.9     333    28.5      2318 🔥 強力進場 
2601.TW          6.79      61.63    39.7     319    27.5      2311 🔥 強力進場 [⚡爆量]
2548.TW        114.50     178.63    46.7     333    28.6      2299 🔥 強力進場 
2486.TW        135.50    1157.35    44.9     304    26.1      2285 💤 觀望 
3498.TWO        61.50     165.38    44.4     297    25.4      2271 🔥 強力進場 
3017.TW       1845.00    1637.91    48.8     337    28.9      2202 🔥 強力進場 
1711.TW         27.45      11.16    40.7     339    29.0      2169 🔥 強力進場 
00941.TW        21.80      33.75    52.8      39    20.6      2147 🔥 強力進場 
009801.TW       10.68      20.04    49.7      20    19.4      2134 💤 觀望 
2436.TW         55.40     214.52    46.0     315    27.0      2123 💤 觀望 
00740B.TWO      39.53      56.57    51.3     213    28.4      2112 🔥 強力進場 [⚡爆量]
4533.TWO        34.80     126.86    38.7     357    30.7      2041 💤 觀望 
2385.TW        125.50      41.58    46.4     355    30.4      2000 ✅ 續抱 
3374.TWO       177.00    1053.64    46.6     295    25.3      1997 ✅ 續抱 
8028.TW        176.00     416.47    45.1     271    23.2      1972 ✅ 續抱 
00646.TW        68.20     106.73    51.9     272    27.5      1945 💤 觀望 
4967.TW        186.00    1195.47    43.2     320    27.4      1904 💤 觀望 
4960.TW         17.80     155.09    43.2     315    27.1      1894 ✅ 續抱 [⚡爆量]
00970B.TWO       9.56       6.80    48.6      29    25.0      1752 ✅ 續抱 
2344.TW        106.50    2408.55    46.3     328    28.1      1705 💤 觀望 
1714.TW         10.20      25.70    44.0     333    28.5      1705 ✅ 續抱 [⚡爆量]
3563.TW        620.00    3924.82    46.9     285    24.4      1695 ✅ 續抱 
2404.TW       1100.00    4109.82    49.4     287    24.6      1675 ✅ 續抱 
8299.TWO      1770.00     951.20    47.9     328    28.2      1650 💤 觀望 
2515.TW         16.70     433.88    45.3     293    25.1      1589 ✅ 續抱 
2645.TW        164.00      41.69    43.6     123    31.6      1581 💤 觀望 
4979.TWO       379.00    1228.57    46.5     327    28.0      1571 ✅ 續抱 
1560.TW        486.50     617.75    45.9     299    25.6      1568 ✅ 續抱 
6265.TWO        36.40     856.62    43.7     294    25.3      1553 💤 觀望 
3715.TW        153.50     415.92    51.9      95    28.1      1501 ✅ 續抱 
2426.TW         22.80     233.52    44.8     321    27.7      1477 ✅ 續抱 [⚡爆量]
00909.TW        39.94     129.61    51.8     101    28.6      1409 ✅ 續抱 
1514.TW        117.50    1365.15    46.3     308    26.4      1376 💤 觀望 
3013.TW        101.00      56.46    41.1     362    31.0      1369 💤 觀望 
3380.TW         34.90      45.55    46.0     337    28.9      1351 ✅ 續抱 [⚡爆量]
00959B.TWO       9.61       2.35    50.0      37    25.0      1332 ✅ 續抱 
4908.TWO        97.50     711.57    45.5     291    24.9      1318 ✅ 續抱 
6831.TW        296.50      25.36    46.9       3     3.0      1317 ✅ 續抱 [⚡爆量]
5443.TWO        95.10     894.33    46.5     319    27.3      1316 ✅ 續抱 
4909.TWO        65.50     195.73    42.3     331    28.4      1315 ✅ 續抱 
3708.TW        117.50     121.48    43.6     355    30.4      1293 ✅ 續抱 
3030.TW        245.00     448.06    46.5     319    27.3      1236 ✅ 續抱 [⚡爆量]
4576.TW        118.00      32.90    41.5     223    31.5      1233 ✅ 續抱 
2010.TW         22.85     316.54    39.1     383    32.8      1197 ✅ 續抱 
2331.TW         24.20      64.90    44.8     376    32.3      1193 💤 觀望 
6415.TW        252.50      31.64    44.4     368    31.5      1185 💤 觀望 
3293.TWO       716.00    5047.04    48.1     304    26.2      1177 ✅ 續抱 
2838.TW         19.75     123.72    42.5     351    30.2      1162 ✅ 續抱 
8926.TW         45.70     178.97    43.8     331    28.4      1158 ✅ 續抱 
2495.TW         30.60      12.97    42.2     338    29.0      1109 💤 觀望 
5009.TWO        35.50     107.15    44.4     333    28.6      1098 ✅ 續抱 
2355.TW         43.45      37.39    46.7     327    28.0      1098 ✅ 續抱 
00983A.TW       11.08       1.41    51.2      14    14.0      1098 💤 觀望 
4142.TW         18.20     -48.17    40.4     350    30.0      1097 💤 觀望 
8034.TWO        26.25     384.30    44.0     343    29.6      1084 ✅ 續抱 
2441.TW         87.80     315.14    45.4     346    29.6      1065 💤 觀望 
00665L.TW        9.80     -72.55    47.4     308    33.2      1041 💤 觀望 
3236.TWO        29.55     593.30    43.8     344    29.6      1031 💤 觀望 
6488.TWO       467.00    2173.03    48.6     279    25.5      1022 ✅ 續抱 
1773.TW        149.00     433.08    44.2     325    27.8      1013 ✅ 續抱 
6134.TWO        31.95     288.00    42.8     311    26.7      1007 ✅ 續抱 
3138.TW        180.50    2616.14    42.8     326    27.9       995 💤 觀望 
5234.TW        392.00    1457.46    46.0     333    28.6       946 ✅ 續抱 
4540.TW         46.95     542.54    44.1     264    24.2       943 💤 觀望 
2484.TW         27.50      91.60    45.3     312    26.7       940 💤 觀望 
4956.TW         24.25     -19.93    41.0     355    30.5       917 💤 觀望 
6120.TW         13.30     174.09    43.9     354    30.5       866 ✅ 續抱 
2442.TW         19.35     245.95    43.5     328    28.2       851 💤 觀望 
6438.TW        149.50     234.72    45.4     361    30.9       844 ✅ 續抱 
3624.TWO        54.80     481.97    44.5     332    28.5       843 💤 觀望 
3701.TW         58.30     -49.11    35.4     469    40.2       842 ✅ 續抱 
7795.TW        410.00      97.36    39.1      26    21.6       840 ✅ 續抱 
4991.TWO       343.00     357.91    44.6     353    30.3       816 ✅ 續抱 
7780.TW         22.15     177.75    47.9      20    15.4       808 💤 觀望 
1528.TW         22.40     269.79    40.2     338    29.0       795 💤 觀望 
3023.TW        228.00      63.46    45.8     394    33.8       784 💤 觀望 
2363.TW         50.70     338.88    44.1     340    29.1       773 💤 觀望 
3711.TW        342.00     165.33    45.6     343    29.4       767 ✅ 續抱 
3535.TW        148.50    1409.62    44.2     339    29.0       761 ✅ 續抱 
5291.TWO        56.00    1000.48    45.9     271    23.2       761 ✅ 續抱 
6715.TW        212.50     493.88    41.7     181    25.8       757 ✅ 續抱 
8112.TW         69.20     471.72    48.1     316    27.2       753 💤 觀望 
5328.TWO        26.60     196.60    42.3     307    26.3       740 💤 觀望 
3092.TW         34.05     514.04    43.6     309    26.5       722 ✅ 續抱 
4737.TW         61.70      20.26    43.1     375    32.3       705 ✅ 續抱 [⚡爆量]
4939.TWO        33.10     269.34    44.3     318    27.3       705 💤 觀望 
2206.TW         60.00      26.58    40.9     382    32.7       696 💤 觀望 
3455.TWO       118.00     173.17    46.4     337    28.9       696 ✅ 續抱 
2368.TW        792.00    2810.16    48.1     306    26.2       687 ✅ 續抱 
4749.TWO      1015.00     597.08    49.2     101    25.9       674 ✅ 續抱 [⚡爆量]
3163.TWO       723.00    1450.98    47.3     297    25.4       665 ✅ 續抱 
3466.TWO        36.35     -12.24    38.7     372    32.0       658 💤 觀望 
3533.TW       1565.00     162.33    45.8     356    30.5       645 💤 觀望 
2419.TW         29.65       9.05    44.6     379    32.5       644 💤 觀望 
8088.TWO        47.50     381.98    44.1     306    26.2       637 💤 觀望 
2630.TW         51.80     192.76    41.8     277    31.8       632 ✅ 續抱 
8048.TWO        63.20     133.36    43.0     327    28.1       631 ✅ 續抱 
4755.TW        149.50     631.71    43.0     329    28.2       587 ✅ 續抱 
00635U.TW       54.30      73.54    49.3     317    30.0       581 💤 觀望 
1587.TW         39.40     108.64    41.4     366    31.5       577 💤 觀望 
4973.TWO        41.90     276.31    43.8     324    27.8       573 💤 觀望 
2349.TW         13.30      53.21    40.3     324    27.9       573 💤 觀望 
3691.TWO       117.00      39.90    45.0     297    25.5       533 ✅ 續抱 
2204.TW         55.90     154.80    43.5     366    31.4       529 💤 觀望 
4542.TWO       156.00       3.43    38.2     375    32.2       526 ✅ 續抱 
9103.TW          5.25     590.45    37.4     362    31.1       521 💤 觀望 
3049.TW         14.70     219.92    41.9     325    28.0       519 ✅ 續抱 [⚡爆量]
2460.TW         26.00     327.05    42.0     293    25.1       497 ✅ 續抱 
1455.TW          8.85     425.67    43.8     296    25.5       497 ✅ 續抱 
00761B.TWO      35.23      25.67    50.9     193    27.6       494 ✅ 續抱 
3714.TW         39.15     -46.71    43.8     159    32.1       488 ✅ 續抱 [⚡爆量]
6485.TWO        82.70     857.25    45.9     280    25.5       485 💤 觀望 
4958.TW        175.00     392.80    46.5     314    26.9       461 💤 觀望 
2641.TWO        19.40     297.31    43.2     276    23.8       454 💤 觀望 
00655L.TW       31.59     -12.99    46.5     288    29.9       445 💤 觀望 
7769.TW       4215.00      17.50    51.1       5     5.0       439 ✅ 續抱 
4577.TWO        93.50       0.41    39.0     183    35.5       429 ✅ 續抱 
6209.TW         56.60     758.33    45.9     290    24.8       418 💤 觀望 
6782.TW        186.50     177.81    46.9     135    25.2       417 ✅ 續抱 
6530.TWO        78.00     -47.32    41.7     317    30.6       411 ✅ 續抱 
3135.TW        118.50     116.34    43.1     110    26.8       410 ✅ 續抱 
5340.TWO       114.00    3319.76    43.6     279    23.9       409 ✅ 續抱 
3360.TWO        16.40     282.73    40.5     313    26.8       406 ✅ 續抱 
00757.TW       112.50     651.23    55.2     137    19.6       403 ✅ 續抱 
6727.TWO       203.00     372.72    44.3     173    26.6       401 ✅ 續抱 
2547.TW         11.45     -19.47    40.3     353    30.2       399 ✅ 續抱 [⚡爆量]
5284.TW        278.50     182.63    42.7     374    34.0       397 ✅ 續抱 [⚡爆量]
5608.TW         17.40     322.05    40.1     320    27.6       391 💤 觀望 
6469.TWO        84.00    1401.50    45.4     266    24.7       382 💤 觀望 
6510.TWO      3695.00    6532.29    47.7     258    24.1       381 ✅ 續抱 
3207.TWO        81.70     -26.04    39.4     413    35.5       369 ✅ 續抱 
8043.TWO        69.40    1164.25    43.0     268    23.0       350 💤 觀望 
6854.TW        135.00      20.34    40.6      95    28.0       349 ✅ 續抱 
4764.TW        144.00      -8.10    40.0     303    33.5       347 ✅ 續抱 [⚡爆量]
4583.TW        657.00     142.58    41.4     130    25.7       345 💤 觀望 
4768.TWO       446.00     382.34    43.3     167    27.7       337 ✅ 續抱 
9941.TW         75.90     321.86    44.4     302    26.0       334 💤 觀望 
4130.TWO        34.60     138.10    42.2     317    27.2       333 ✅ 續抱 
2543.TW         78.40     297.28    42.7     423    36.2       329 ✅ 續抱 [⚡爆量]
3016.TW         57.10     486.82    44.8     326    27.9       328 💤 觀望 
2009.TW         43.00     259.98    40.5     376    32.2       324 💤 觀望 
3221.TWO        30.15      68.04    42.4     315    27.1       323 ✅ 續抱 
2612.TW         62.10     123.62    43.6     317    27.3       322 💤 觀望 
1784.TWO        94.00      11.03    41.9     358    30.7       294 💤 觀望 
2461.TW         15.80     -25.13    42.8     370    31.7       293 💤 觀望 
6186.TWO        42.05     477.06    46.0     294    25.3       292 💤 觀望 
6282.TW         46.40      63.31    45.1     360    30.8       290 💤 觀望 
1721.TW         17.20     116.53    38.4     396    34.0       286 💤 觀望 
1609.TW         37.90     294.90    42.4     362    31.0       284 💤 觀望 
3594.TWO        41.15     155.98    43.4     283    24.2       274 ✅ 續抱 
3305.TW        105.50     416.62    43.2     308    26.4       270 💤 觀望 
6877.TWO       110.00      72.89    41.1     115    29.8       267 ✅ 續抱 
3550.TW         16.50      27.18    39.2     344    29.5       264 💤 觀望 
1590.TW       1040.00      31.35    46.3     370    31.7       263 💤 觀望 
6456.TW         62.70     192.92    46.2     261    25.2       260 ✅ 續抱 [⚡爆量]
3419.TW         15.80      12.64    42.1     331    28.4       258 ✅ 續抱 
3363.TWO       592.00    1569.22    44.2     287    24.7       258 ✅ 續抱 
00650L.TW       17.32      -7.49    50.9     304    31.1       256 💤 觀望 
1809.TW         25.40      -4.70    37.4     355    30.4       255 ✅ 續抱 
8996.TW        777.00    3504.10    46.3     276    23.7       254 💤 觀望 
2395.TW        375.00     -16.95    46.6     401    34.4       252 ✅ 續抱 [⚡爆量]
3529.TWO      2390.00     830.41    47.1     343    29.4       248 ✅ 續抱 
6584.TWO       376.50     592.92    35.6     217    23.4       243 ✅ 續抱 
6937.TW        247.50      43.88    42.8      91    32.3       242 ✅ 續抱 
2230.TWO        33.40      34.61    40.8     444    38.0       240 💤 觀望 
3338.TW         58.90     182.66    45.3     329    28.3       240 ✅ 續抱 
5471.TW         44.10      75.40    45.6     331    28.4       237 ✅ 續抱 
5228.TWO        22.85     -74.54    26.8     288    27.3       233 💤 觀望 
6667.TWO       266.00     480.10    44.3     241    30.2       232 ✅ 續抱 
3372.TWO        21.85     230.21    40.3     327    28.0       228 💤 觀望 
5478.TWO       107.00      68.37    45.0     343    29.6       224 ✅ 續抱 
6643.TWO       453.00     324.66    47.5     217    26.6       223 💤 觀望 
7751.TWO      1200.00     392.22    50.0      31    18.7       216 ✅ 續抱 
3709.TWO        70.50      60.92    41.9     253    30.9       215 ✅ 續抱 
3526.TWO       280.50    2058.62    48.1     273    23.4       212 ✅ 續抱 
1589.TW          7.38     -49.83    42.1     352    30.2       212 💤 觀望 
6552.TW         27.30     180.22    43.6     248    24.5       211 💤 觀望 
1337.TW          5.77     -25.82    40.4     330    28.4       211 ✅ 續抱 
5508.TWO        53.70     447.16    45.4     304    26.1       208 💤 觀望 
9908.TW         31.95       2.20    35.7     431    37.1       206 ✅ 續抱 [⚡爆量]
8210.TW        939.00    3178.86    48.7     284    24.3       206 ✅ 續抱 
2431.TW         12.85      -3.32    42.5     338    29.1       206 💤 觀望 
8240.TWO        41.50     411.55    44.0     304    26.2       205 ✅ 續抱 [⚡爆量]
1460.TW          6.65      -4.89    38.8     326    28.1       205 💤 觀望 
7777.TWO        28.60      55.33    34.5      36    27.0       203 💤 觀望 
6461.TWO        20.75     -38.15    41.2     307    27.3       193 💤 觀望 
6526.TW        505.00      -3.37    41.4      67    29.1       192 ✅ 續抱 
8476.TW         19.10    -100.00    38.8     472    46.5       190 ✅ 續抱 
4534.TWO        29.00     237.45    39.6     333    28.5       188 ✅ 續抱 
6533.TW        200.50     183.42    45.6     284    27.8       186 💤 觀望 
6291.TWO       265.50     -99.82    34.0     469    40.2       182 ✅ 續抱 
2022.TW          9.06     648.65    42.3     280    24.0       182 ✅ 續抱 
9906.TW         42.55    2098.05    45.3     314    27.0       181 💤 觀望 
2468.TW         33.95      57.75    38.1     400    34.3       176 💤 觀望 
5536.TWO       668.00     327.53    43.6     347    29.7       173 ✅ 續抱 
6233.TWO        26.80     162.32    42.6     337    28.9       172 ✅ 續抱 
1569.TWO        52.30     494.59    46.2     312    26.8       170 💤 觀望 
7799.TW        471.00     204.26    50.7      19    15.6       170 💤 觀望 
8489.TWO        25.10      -0.62    40.7     250    25.6       169 💤 觀望 [⚡爆量]
6698.TW         32.00     168.78    43.1     190    26.7       164 💤 觀望 
4561.TWO        35.85      35.88    42.3     246    27.6       162 💤 觀望 
3587.TWO       214.00     351.39    45.4     305    26.1       161 ✅ 續抱 
5426.TWO        20.10      21.99    38.4     353    30.2       161 ✅ 續抱 
8086.TWO       126.00     666.15    46.7     335    28.7       161 ✅ 續抱 
6426.TW        149.00    1213.81    42.3     327    28.0       158 ✅ 續抱 
6996.TWO       180.00     -26.12    44.0      69    32.7       157 ✅ 續抱 [⚡爆量]
1529.TW         27.05     -62.36    38.5     357    30.6       154 ✅ 續抱 [⚡爆量]
2423.TW         48.40      55.60    47.5     383    32.8       154 💤 觀望 
3131.TWO      1910.00    2595.93    47.3     257    22.0       151 ✅ 續抱 
5351.TWO        51.40     180.37    43.8     324    27.8       150 💤 觀望 
7750.TW       1295.00      31.57    44.6      13    13.0       149 ✅ 續抱 
6568.TWO       179.50     725.58    43.8     257    26.4       149 ✅ 續抱 
6757.TW         51.70     120.33    51.0      50    20.1       148 💤 觀望 [⚡爆量]
00910.TW        56.00     148.51    51.8      91    25.9       148 ✅ 續抱 
6761.TWO       168.50     258.75    42.9     171    28.8       146 ✅ 續抱 [⚡爆量]
6742.TW         41.15       2.24    42.2      90    21.7       144 💤 觀望 
6944.TW        752.00      37.52    51.4      17    17.0       144 ✅ 續抱 [⚡爆量]
6657.TW         47.10      -9.48    38.9      70    26.4       141 💤 觀望 
3546.TWO        67.30     137.09    45.3     328    28.1       141 💤 觀望 
3625.TWO        17.00     107.80    40.8     344    29.5       140 💤 觀望 
7810.TWO       187.50      73.78    40.7      42    37.8       135 💤 觀望 
2478.TW         69.70     528.58    45.6     311    26.7       134 ✅ 續抱 
6869.TW        107.50      99.16    47.7      90    22.8       131 💤 觀望 
2723.TW         69.30      40.95    44.7     296    25.4       125 💤 觀望 
6573.TW         14.20      -3.18    40.3     228    28.1       124 💤 觀望 
9921.TW         77.90     -44.95    43.5     382    32.8       123 💤 觀望 
8930.TWO        33.10     246.34    40.0     343    29.6       122 ✅ 續抱 [⚡爆量]
8935.TWO        20.00      14.71    39.3     362    31.0       121 💤 觀望 
2535.TW         72.10     562.11    46.6     269    23.0       118 ✅ 續抱 
6722.TW         40.20      -9.31    41.6      70    26.2       118 💤 觀望 
7734.TWO      1685.00      49.04    45.6      43    22.6       117 ✅ 續抱 
6903.TWO       314.00     155.68    40.9      83    23.8       117 ✅ 續抱 [⚡爆量]
6691.TW        635.00     892.35    45.5     209    28.7       116 ✅ 續抱 
8234.TWO        64.90     549.93    45.3     308    26.4       111 💤 觀望 
8038.TWO        41.00       2.19    40.4     340    29.1       109 💤 觀望 
00780B.TWO      37.99      26.83    49.2     173    25.6       109 ✅ 續抱 
9917.TW        106.00     -34.76    41.3     452    38.7       108 ✅ 續抱 
5227.TWO        25.00     -61.81    39.0     286    24.5       106 💤 觀望 
6785.TWO       192.00     374.58    42.8     124    23.8       105 💤 觀望 
3663.TWO        56.70      58.40    43.0     346    29.6       104 💤 觀望 
5475.TWO       204.50   21682.09    42.1     271    23.2       104 ✅ 續抱 
1568.TW         21.55      -7.59    40.3     346    29.6       103 💤 觀望 
8089.TWO        25.15     229.73    40.7     190    26.3       100 💤 觀望 
3029.TW        120.50     531.13    45.6     321    27.5       100 ✅ 續抱 
8045.TW         79.50     832.42    38.4     220    26.0        99 💤 觀望 
3379.TWO        39.55     175.10    40.4     368    31.5        99 💤 觀望 
3230.TWO        43.35     135.62    41.1     357    30.6        99 ✅ 續抱 
6525.TW         80.30     308.51    46.7     231    24.2        97 ✅ 續抱 
1563.TW         43.00     -16.44    47.0      38    21.5        96 💤 觀望 
8131.TW         63.40     592.32    46.8     326    27.9        96 💤 觀望 
3071.TWO        24.20     456.83    45.7     291    25.0        95 ✅ 續抱 
6419.TWO        69.50     -80.55    37.6     422    36.3        94 💤 觀望 
6509.TWO        40.25      26.52    41.8     345    29.6        94 ✅ 續抱 
7728.TWO       757.00      16.86    42.6      82    43.3        91 💤 觀望 
3693.TWO       428.50    3247.57    46.8     261    22.4        89 ✅ 續抱 
7788.TW        166.50      18.61    50.0      10    10.0        88 💤 觀望 
6603.TWO        23.60     -21.74    40.5     366    31.5        87 💤 觀望 
6275.TWO        50.50     402.26    42.6     326    27.9        85 💤 觀望 
3532.TW        122.50    1981.37    46.6     294    25.2        84 💤 觀望 
5302.TWO        11.70     175.05    41.5     325    27.9        82 💤 觀望 
3680.TWO       396.00     368.51    45.3     346    29.6        81 💤 觀望 
3033.TW         30.20      53.66    42.4     332    28.4        80 💤 觀望 
6231.TWO       196.50     319.90    44.5     342    29.3        80 💤 觀望 
6140.TWO        21.65     -69.73    36.4     450    38.7        79 💤 觀望 
7792.TWO       351.50      25.05    41.7      35    30.4        78 ✅ 續抱 
