prev_eps_yoy,date,eps,expansion,prev_eps,rev_yoy,advice,prev_rev_yoy,name,om,status,eps_yoy,est_price,symbol,gm,price,pe,prev_year
250.0,2026-03,0.17,1157.6399999999999,0.09,142.36,⚠️ 追價風險,-0.24,中纖,18.72%,🚀 利潤擴張,1300.0,6.15,1718.TW,41.46%,10.1999998093,24.878048315365852,2025
406.67,2026-03,0.48,1154.09,1.52,120.91,✅ 穩健價值,49.68,倚強科,-15.39%,🏰 高護城河,1275.0,67.5,3219.TWO,69.49%,71.5,15.88888888888889,2025
-17.95,2026-03,0.17,1063.6100000000001,0.31,536.39,⚠️ 追價風險,9.81,邑昇,N/A,🚀 利潤擴張,1600.0,11.1,5291.TWO,N/A,51.0,68.91891891891892,2025
-6.25,2026-03,0.6,982.33,3.45,117.67,💎 強力關注,4.27,星通,43.45%,🏰 高護城河,1100.0,78.44999999999999,3025.TW,68.55%,56.0,10.707456978967496,2025
110.31,2026-03,27.0,807.1099999999999,13.06,1792.89,💎 強力關注,2.46,十銓,N/A,🚀 利潤擴張,2600.0,669.75,4967.TW,N/A,280.0,6.270996640537514,2025
46.43,2026-03,0.78,733.74,1.23,280.55,⚠️ 追價風險,21.27,所羅門,2.82%,🚀 利潤擴張,1014.29,17.699999999999996,2359.TW,24.10%,144.5,122.4576271186441,2025
-566.18,2026-03,1.64,714.3499999999999,-4.39,496.76,⚪ 數據不足,-40.26,中化生,-143.69%,🔄 轉虧為盈,1211.11,-85.05,1762.TW,-78.82%,32.5,0.0,2025
-51.41,2026-03,7.22,648.6500000000001,0.87,2018.02,⚠️ 追價風險,8.08,晶豪科,20.25%,🚀 利潤擴張,2666.67,36.29999999999999,3006.TW,32.33%,258.0,106.61157024793391,2025
-266.0,2026-03,0.24,589.77,-0.84,510.23,⚪ 數據不足,-10.95,盟立,-3.37%,🔄 轉虧為盈,1100.0,-26.55,2464.TW,17.62%,178.0,0.0,2025
140.33,2026-03,18.93,583.2200000000003,12.98,1484.6,💎 強力關注,69.84,創見,55.59%,🏰 高護城河,2067.82,586.95,2451.TW,61.62%,293.0,7.487860976233069,2025
89.09,2026-03,2.12,582.14,-0.07,224.53,💎 強力關注,58.31,台鋼建設,-147.39%,🔄 轉虧為盈,806.67,29.400000000000006,3521.TWO,-40.24%,12.1499996185,6.1989793971938765,2025
-68.84,2026-03,1.86,579.1500000000001,1.01,1184.49,⚪ 中性觀察,-44.61,南港,4.39%,🚀 利潤擴張,1763.64,30.6,2101.TW,20.96%,34.5999984741,16.960783565735294,2025
-197.14,2026-03,0.2,556.87,-1.02,543.13,⚪ 數據不足,-2.21,高鋒,-1.97%,🔄 轉虧為盈,1100.0,-36.6,4510.TWO,14.87%,38.8499984741,0.0,2025
-40.68,2026-03,0.26,511.73,0.7,688.27,⚠️ 追價風險,-19.66,微端,8.69%,🚀 利潤擴張,1200.0,15.75,3285.TWO,28.61%,38.9000015259,37.04762050085714,2025
222.58,2026-03,1.64,487.52,1.58,43.25,⚠️ 追價風險,20.92,GOGOLOOK,N/A,🚀 利潤擴張,530.77,52.05,6902.TW,N/A,123.5,35.590778097982714,2025
74.6,2026-03,0.46,484.25,-0.16,335.75,⚪ 數據不足,5.06,鑫永洋,N/A,🔄 轉虧為盈,820.0,-7.499999999999999,6241.TWO,N/A,15.3999996185,0.0,2025
-42.59,2026-03,0.22,472.41999999999996,0.31,727.58,⚠️ 追價風險,-6.1,綠電,N/A,🚀 利潤擴張,1200.0,8.850000000000001,8440.TWO,N/A,19.6000003815,33.22033962966101,2025
-1.45,2026-03,1.21,444.74,2.72,-25.82,⚪ 數據不足,-41.11,富田-創,-0.34%,🧐 疑業外收益,418.92,0.0,4590.TW,30.54%,81.1999969482,0.0,2025
-34.67,2026-03,0.25,412.3,0.49,187.7,⚠️ 追價風險,11.66,麗正,11.05%,🚀 利潤擴張,600.0,17.400000000000002,2302.TW,36.04%,43.0499992371,37.11206830784482,2025
