股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,56.80,180,64.28,36.61,---,3.53%,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (56.80 > 1.5σ)，動能強勁,貼軌運行
7806,精華生醫,57.90,3,80.50,57.60,---,---,均線糾擺,無,無,MA 乖離率僅 1.24%,均線糾擺
6831,邁科,656.00,1440,956.00,153.36,---,0.74%,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.76,6323,30.21,26.50,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
6153,嘉聯益,16.30,3207,24.45,13.50,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,186.50,6280,346.94,79.40,---,4.05%,趨勢運行,隔一漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,59.90,519,98.20,37.00,📅 預告 (20260812),3.47%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.20,0,13.60,6.09,---,---,均線糾擺,無,無,MA 乖離率僅 0.50%,均線糾擺
3479,安勤,141.00,1540,156.50,83.70,📅 預告 (20260819),5.22%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1789,神隆,18.65,1655,28.25,16.65,---,2.02%,均線糾擺,無,無,MA 乖離率僅 1.28%,均線糾擺
3171,炎洲流通,66.00,9,79.40,38.90,---,7.01%,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (66.00 > 1.5σ)，動能強勁,貼軌運行
4721,美琪瑪,72.00,363,101.00,61.20,---,3.35%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.60,13,3.51,2.59,---,1.89%,均線糾擺,無,連1日大跌,MA 乖離率僅 0.53%,均線糾擺
6924,榮惠-KY創,114.00,53,193.50,47.80,---,7.45%,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,397.50,2465,573.00,268.50,---,4.08%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,11.55,332,17.15,11.30,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,88.00,164,107.70,37.15,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,5.73,8050,11.43,5.32,---,---,均線糾擺,無,無,MA 乖離率僅 1.09%,均線糾擺
4961,天鈺,167.50,851,188.00,135.00,📅 預告 (20260807),5.89%,趨勢運行 -> 均線糾擺,連1日大漲,無,MA 乖離率僅 1.22%,均線糾擺
2012,春雨,15.15,107,18.23,14.15,---,5.31%,離開盤整 (向下),無,無,跌破布林下軌 (15.16),離開盤整 (向下)
8114,振樺電,225.50,986,283.50,164.00,---,2.62%,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,52.40,19,66.90,24.50,---,---,進入盤整,無,無,ADX 為 14.17 (低於 20),進入盤整
8028,昇陽半導體,274.50,5676,356.50,128.00,---,1.49%,進入盤整,無,無,ADX 為 17.19 (低於 20),進入盤整
6972,博瑞達應材,24.15,5,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.39%,均線糾擺
6443,元晶,26.70,6971,52.30,11.95,---,1.64%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00990,主動元大AI新經濟,10.09,1033,10.11,9.99,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.18%,均線糾擺
2748,雲品,37.95,92,49.24,37.76,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
6525,捷敏-KY,139.00,1676,221.00,67.50,---,5.85%,進入盤整 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
006205,富邦上証,41.25,254,42.30,32.40,---,---,均線糾擺,無,無,MA 乖離率僅 0.16%,均線糾擺
6877,鏵友益,125.00,58,186.00,75.82,---,0.1%,進入盤整,無,無,ADX 為 13.47 (低於 20),進入盤整
4582,聚恆-創,28.40,107,43.20,17.05,---,---,資料不足 -> 均線糾擺,無,無,MA 乖離率僅 0.26%,均線糾擺
2758,路易莎咖啡,71.00,0,104.34,64.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.36%,均線糾擺
1802,台玻,54.60,32187,76.60,20.75,---,---,進入盤整,無,無,ADX 為 16.52 (低於 20),進入盤整
7642,昶瑞機電,77.20,12,129.00,63.20,---,4.08%,均線糾擺,無,無,MA 乖離率僅 1.21%,均線糾擺
9938,百和,42.25,1431,60.40,42.10,---,5.67%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4442,竣邦-KY,52.80,372,72.60,45.50,---,5.25%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00635,期元大S&P黃金,44.27,7215,60.55,35.95,---,---,貼軌運行 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (43.57)，進入噴發段,強勢突破 (軌外)
2408,南亞科,459.00,106478,505.00,42.20,---,0.32%,進入盤整,隔一漲,無,ADX 為 10.52 (低於 20),進入盤整
2539,櫻花建,43.10,1177,57.09,33.20,---,0.83%,貼軌運行,無,無,股價於高位貼軌 (43.10 > 1.5σ)，動能強勁,貼軌運行
2504,國產,30.40,2129,39.65,30.30,---,6.39%,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
5546,永固-KY,13.70,59,28.45,13.50,---,6.57%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3086,華義*,27.60,88,43.50,13.35,---,0.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2395,研華,622.00,10826,633.00,273.50,---,2.49%,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (622.00 > 1.5σ)，動能強勁,貼軌運行
3050,鈺德,11.20,341,15.30,10.65,---,3.5%,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
00984,大華優利美A債15,16.19,326,16.82,14.83,---,0.48%,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
6591,動力-KY,45.00,103,98.76,42.30,---,3.5%,均線糾擺,無,無,MA 乖離率僅 0.59%,均線糾擺
6176,瑞儀,84.30,3854,139.27,82.30,---,7.07%,均線糾擺,無,無,MA 乖離率僅 0.68%,均線糾擺
6811,宏�硌穈T,231.50,396,263.00,182.50,---,3.86%,貼軌運行 -> 均線糾擺,無,連1日大跌,MA 乖離率僅 0.48%,均線糾擺
4544,春日,13.40,1,17.95,13.10,---,---,均線糾擺 -> 離開盤整 (向下),無,無,跌破布林下軌 (13.49),離開盤整 (向下)
9949,琉園,23.30,32,36.70,15.58,---,8.09%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4510,高鋒,38.85,419,55.20,33.00,---,4.14%,進入盤整,無,無,ADX 為 18.37 (低於 20),進入盤整
6194,育富,29.65,51,39.65,29.20,---,5.78%,均線糾擺,無,無,MA 乖離率僅 0.40%,均線糾擺
6124,業強,26.80,16,37.95,23.30,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.33%,均線糾擺
00757,統一FANG+,140.15,1855,141.95,101.15,---,---,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (140.15 > 1.5σ)，動能強勁,貼軌運行
2101,南港,34.60,1511,45.45,29.75,---,1.99%,均線糾擺,無,無,MA 乖離率僅 0.71%,均線糾擺
00945,凱基美國非投等債,14.70,4539,14.72,13.07,---,0.6%,均線糾擺,無,無,MA 乖離率僅 0.14%,均線糾擺
4556,旭然,83.10,136,132.50,22.45,---,1.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
