日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-06,2317,鴻海,258.5,241.21,2000,34580,7.17%
2026-08-06,4142,國光生,17.15,25.32,1000,-8170,-32.27%
2026-08-06,0050,元大台灣50,100.65,46.6,16000,864800,115.99%
2026-08-06,0056,元大高股息,50.6,36.43,4000,56680,38.90%
2026-08-06,00635U,期元大S&P黃金,42.2,55.25,3000,-39150,-23.62%
2026-08-06,00738U,期元大道瓊白銀,47.4,66.26,1000,-18860,-28.46%
2026-08-06,00929,復華台灣科技優息,28.15,19.73,8000,67360,42.68%
2026-08-06,009816,凱基台灣TOP50,14.56,11.01,63000,223650,32.24%
2026-08-06,00990A,主動元大AI新經濟,15.49,11.48,5000,20050,34.93%
2026-08-06,2009,第一銅,38.45,50.56,4000,-48440,-23.95%
2026-08-06,2337,旺宏,117.5,95.28,2000,44440,23.32%
2026-08-06,2409,友達,24.45,16.21,2000,16480,50.83%
2026-08-06,3481,群創,47.8,25.1,4000,90800,90.44%
2026-08-06,3105,穩懋,376.0,556.47,300,-54141,-32.43%
2026-08-06,4966,譜瑞-KY,618.0,1921.64,1000,-1303640,-67.84%
2026-08-06,2327,國巨*,578.0,1030.0,1,-452,-43.88%
2026-08-06,00403A,主動統一升級50,9.54,10.68,26000,-29640,-10.67%
2026-08-06,00981A,主動統一台股增長,27.58,27.48,2000,200,0.36%
2026-08-06,2330,台積電,2405.0,225.55,10,21794,966.28%
2026-08-06,6789,采鈺,453.5,593.5,400,-56000,-23.59%
2026-08-06,6849,奇鼎科技,143.5,266.4,280,-34412,-46.13%
2026-08-06,7853,政美應用,315.5,409.29,280,-26261,-22.92%
2026-08-06,3576,聯合再生,18.25,18.15,5000,500,0.55%
2026-08-06,1721,三晃,20.4,27.88,3000,-22450,-26.84%
2026-08-06,8215,明基材,23.85,31.6,200,-1550,-24.53%
2026-08-06,00405A,主動富邦台灣龍耀,7.9,9.34,11000,-15840,-15.42%
2026-08-06,5498,凱崴,47.65,69.61,188,-4128,-31.55%
2026-08-06,1301,台塑,56.0,50.5,100,550,10.89%
2026-08-06,6498,久禾光,76.2,67.3,12,107,13.22%
2026-08-06,009821,野村稀土關鍵資源,13.19,17.3,12000,-49320,-23.76%
