日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-04-30,1540,喬福,20.95,44.99,2000,-48080,-53.43%
2026-04-30,2399,映泰,42.45,41.99,3000,1380,1.10%
2026-04-30,2609,陽明,49.15,77.27,1000,-28120,-36.39%
2026-04-30,2618,長榮航,33.5,46.14,2000,-25280,-27.39%
2026-04-30,00738U,期元大道瓊白銀,58.3,68.36,1000,-10060,-14.72%
2026-04-30,00635U,期元大S&P黃金,47.82,53.65,2000,-11660,-10.87%
2026-04-30,009816,凱基台灣TOP50,13.05,11.32,35000,60550,15.28%
