股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
6922.TWO,宸曜,🔥 訊號出現,176.5,64.56,🔴 空頭陷阱,33.33%,33.33%,-0.41%,-4.37%,3,168.79,0.3333,-0.0041
4563.TWO,百德,🔥 訊號出現,50.5999984741,70.59,🔴 空頭陷阱,42.86%,28.57%,-1.83%,-7.08%,7,47.02,0.2857,-0.0183
3550.TW,聯穎,🔥 訊號出現,21.2999992371,61.41,🔴 空頭陷阱,50.00%,25.00%,-3.01%,-4.54%,4,20.33,0.25,-0.0301
4583.TW,台灣精銳,🔥 訊號出現,764.0,73.53,🔴 空頭陷阱,50.00%,25.00%,-4.06%,-3.35%,4,738.4,0.25,-0.0406
2233.TW,宇隆,🔥 訊號出現,300.0,83.46,🔴 空頭陷阱,37.50%,25.00%,-6.46%,-6.81%,8,279.58,0.25,-0.0646
6207.TWO,雷科,🔥 訊號出現,64.5,71.6,🔴 空頭陷阱,20.00%,20.00%,-5.39%,-9.59%,5,58.31,0.2,-0.0539
6204.TWO,艾華,🔥 訊號出現,71.5,73.0,🔴 空頭陷阱,20.00%,20.00%,-3.73%,-3.89%,5,68.72,0.2,-0.0373
00902.TW,中信電池及儲能,🔥 訊號出現,16.9400005341,84.31,🔴 空頭陷阱,40.00%,20.00%,-0.38%,-0.43%,5,16.87,0.2,-0.0038
2465.TW,麗臺,🔥 訊號出現,74.0,75.91,🔴 空頭陷阱,42.86%,14.29%,-3.85%,-7.21%,7,68.66,0.1429,-0.0385
2467.TW,志聖,🔥 訊號出現,609.0,59.1,🔴 空頭陷阱,28.57%,14.29%,-0.26%,-6.15%,7,571.57,0.1429,-0.0026
8032.TWO,光菱,🔥 訊號出現,41.5,79.67,🔴 空頭陷阱,33.33%,0.00%,-1.59%,-4.37%,3,39.69,0.0,-0.0159
1418.TW,東華,🔥 訊號出現,19.2000007629,57.63,🔴 空頭陷阱,33.33%,0.00%,-0.62%,-1.37%,3,18.94,0.0,-0.0062
4807.TW,日成-KY,🔥 訊號出現,20.75,87.79,🔴 空頭陷阱,60.00%,0.00%,-3.00%,-3.21%,5,20.08,0.0,-0.03
6538.TWO,倉和,🔥 訊號出現,75.4000015259,60.65,🔴 空頭陷阱,33.33%,0.00%,-3.50%,-3.58%,3,72.7,0.0,-0.035
6101.TWO,寬魚國際,🔥 訊號出現,40.4500007629,56.99,🔴 空頭陷阱,0.00%,0.00%,-1.96%,-3.68%,5,38.96,0.0,-0.0196
2342.TW,茂矽,🔥 訊號出現,33.5999984741,75.29,🔴 空頭陷阱,66.67%,0.00%,-3.83%,-7.15%,6,31.2,0.0,-0.0383
6412.TW,群電,🔥 訊號出現,81.0,53.26,🔴 空頭陷阱,25.00%,0.00%,-7.21%,-8.54%,4,74.08,0.0,-0.0721
4950.TWO,金耘國際,🔥 訊號出現,17.9500007629,61.82,🔴 空頭陷阱,50.00%,0.00%,-1.26%,-6.82%,2,16.73,0.0,-0.0126
1789.TW,神隆,無,20.2999992371,39.24,🟢 黃金標的,100.00%,100.00%,15.78%,-1.98%,2,0.0,1.0,0.1578
6446.TW,藥華藥,無,661.0,55.24,🟢 黃金標的,50.00%,100.00%,9.52%,-1.87%,4,0.0,1.0,0.0952
2248.TW,華勝-KY,無,56.5,71.98,🟢 黃金標的,0.00%,100.00%,3.90%,-1.42%,1,0.0,1.0,0.039
3055.TW,蔚華科,無,78.3000030518,72.73,🟢 黃金標的,66.67%,100.00%,12.39%,1.84%,3,0.0,1.0,0.1239
4119.TW,旭富,無,47.7999992371,30.71,🟢 黃金標的,0.00%,100.00%,4.49%,-2.34%,1,0.0,1.0,0.0449
1717.TW,長興,無,78.9000015259,48.24,🟢 黃金標的,80.00%,100.00%,16.85%,-3.23%,5,0.0,1.0,0.1685
6129.TWO,普誠,無,16.8500003815,65.67,🟢 黃金標的,100.00%,100.00%,3.03%,0.61%,1,0.0,1.0,0.0303
00927.TW,群益半導體收益,無,29.8299999237,81.48,🟢 黃金標的,66.67%,100.00%,4.29%,-1.08%,3,0.0,1.0,0.0429
4529.TWO,淳紳,無,5.1999998093,75.96,🟢 黃金標的,100.00%,100.00%,14.79%,9.93%,1,0.0,1.0,0.1479
3054.TW,立萬利,無,66.0,40.38,🟢 黃金標的,100.00%,100.00%,60.48%,9.93%,1,0.0,1.0,0.6048
4905.TWO,台聯電,無,78.0999984741,45.79,🟢 黃金標的,50.00%,100.00%,16.18%,4.66%,2,0.0,1.0,0.1618
