pe,eps,om,rev_yoy,prev_year,date,status,prev_eps,advice,symbol,gm,prev_eps_yoy,est_price,eps_yoy,price,name,prev_rev_yoy,expansion
2.4526314986421056,5.29,N/A,-17.0,2025,2025-12,🧐 疑業外收益,5.5,💎 強力關注,9949.TWO,N/A,1270.21,142.49999999999997,544.54,23.2999992371,琉園,-19.03,561.54
0.0,0.18,N/A,0.1,2025,2025-12,🔄 轉虧為盈,-0.38,⚪ 數據不足,6282.TW,N/A,-90.0,-13.950000000000003,550.0,63.7999992371,康舒,-4.33,549.9
204.1176515464704,1.43,-66.51%,-10.43,2025,2025-12,🧐 疑業外收益,0.49,⚠️ 追價風險,2491.TW,43.42%,179.03,2.5500000000000025,457.5,34.7000007629,吉祥全,-12.66,467.93
27.438017159421484,0.47,-18.51%,20.59,2025,2025-12,🚀 利潤擴張,0.54,⚠️ 追價風險,3297.TWO,30.70%,2600.0,18.15,461.54,33.2000007629,杭特,18.74,440.95000000000005
0.0,1.28,4.44%,334.57,2025,2025-12,🔄 轉虧為盈,-0.58,⚪ 數據不足,3555.TWO,18.45%,7.84,-9.599999999999998,752.94,226.0,博士旺,310.97,418.37000000000006
31.87499913306819,1.22,15.14%,-9.02,2025,2025-12,🔄 轉虧為盈,-0.11,⚠️ 追價風險,2243.TW,22.27%,38.89,13.199999999999998,408.33,28.0499992371,宏旭-KY,-10.45,417.34999999999997
53.94662123793298,8.13,18.24%,95.35,2025,2025-12,🚀 利潤擴張,5.45,⚠️ 追價風險,3167.TW,42.12%,790.16,264.15000000000003,474.47,950.0,大量,119.15,379.12
8.636363636363637,0.45,0.23%,-9.55,2025,2025-12,🧐 疑業外收益,0.43,💎 強力關注,1413.TW,2.52%,326.32,16.499999999999996,364.71,9.5,宏洲,-6.34,374.26
108.88030888030889,1.22,7.74%,5.46,2025,2025-12,🚀 利潤擴張,0.62,⚠️ 追價風險,4764.TW,23.49%,187.32,38.849999999999994,377.27,282.0,雙鍵,6.23,371.81
6.392543775986842,1.69,N/A,12.01,2025,2025-12,🚀 利潤擴張,1.26,💎 強力關注,5490.TWO,N/A,916.67,68.4,382.35,29.1499996185,同亨,13.03,370.34000000000003
6.017857279107143,0.55,N/A,-6.42,2025,2025-12,🧐 疑業外收益,0.02,💎 強力關注,8940.TW,N/A,103.23,42.0,358.33,16.8500003815,新天地,-10.3,364.75
19.120602631683422,1.52,-15.39%,49.68,2025,2025-12,🏰 高護城河,1.65,⚪ 中性觀察,3219.TWO,69.49%,179.66,59.699999999999996,406.67,76.0999984741,倚強科,43.11,356.99
10.669291488779526,0.9,-2.70%,0.41,2025,2025-12,🚀 利潤擴張,0.52,💎 強力關注,2409.TW,10.73%,185.25,38.1,327.5,27.1000003815,友達,-0.15,327.09
4.193849021435228,7.73,0.97%,29.26,2025,2025-12,🚀 利潤擴張,7.71,💎 強力關注,4439.TW,15.60%,114.76,321.90000000000003,346.24,90.0,冠星-KY,30.37,316.98
0.0,0.15,-12.67%,-14.09,2025,2025-12,🔄 轉虧為盈,-0.11,⚪ 數據不足,2399.TW,8.40%,-222.22,-2.7000000000000006,275.0,48.75,映泰,-14.04,289.09
1.9164927568225472,7.21,-79.17%,-5.85,2025,2025-12,🧐 疑業外收益,7.88,💎 強力關注,2498.TW,34.44%,352.24,359.25,275.85,45.9000015259,宏達電,-0.73,281.70000000000005
5.340030793979907,4.01,N/A,-9.71,2025,2025-12,🧐 疑業外收益,4.81,💎 強力關注,9914.TW,N/A,-18.34,194.10000000000002,271.37,69.0999984741,美利達,-8.55,281.08
4.828766973982387,4.02,N/A,12.97,2025,2025-12,🚀 利潤擴張,3.02,💎 強力關注,6165.TW,N/A,410.34,153.3,288.24,49.3499984741,浪凡,12.63,275.27
50.45766590389016,2.01,13.23%,20.44,2025,2025-12,🚀 利潤擴張,1.26,⚠️ 追價風險,4576.TW,38.42%,447.83,65.55,294.12,220.5,大銀微系統,19.84,273.68
0.0,0.25,-53.06%,-14.27,2025,2025-12,🧐 疑業外收益,0.98,⚪ 數據不足,2466.TW,-4.21%,230.67,-8.100000000000001,241.18,44.5999984741,冠西電,-6.66,255.45000000000002
3.104041141367154,5.5,6.96%,0.02,2025,2025-12,🚀 利潤擴張,4.75,💎 強力關注,1608.TW,9.17%,241.94,174.45,254.81,36.0999984741,華榮,-0.36,254.79
37.88461685192307,0.09,18.72%,-0.24,2025,2025-12,🧐 疑業外收益,0.19,⚠️ 追價風險,1718.TW,41.46%,-11.76,3.9000000000000004,250.0,9.8500003815,中纖,4.96,250.24
20.637362972725274,1.91,N/A,-0.48,2025,2025-12,🧐 疑業外收益,1.48,⚪ 中性觀察,4949.TW,N/A,180.87,68.25,240.74,93.9000015259,有成精密,-1.75,241.22
