日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-07,2317,鴻海,264.5,241.21,2000,46580,9.66%
2026-08-07,4142,國光生,17.15,25.32,1000,-8170,-32.27%
2026-08-07,0050,元大台灣50,103.04,46.6,16000,903040,121.12%
2026-08-07,0056,元大高股息,51.48,36.43,4000,60200,41.31%
2026-08-07,00635U,期元大S&P黃金,43.03,55.25,3000,-36660,-22.12%
2026-08-07,00738U,期元大道瓊白銀,48.92,66.26,1000,-17340,-26.17%
2026-08-07,00929,復華台灣科技優息,28.78,19.73,8000,72400,45.87%
2026-08-07,009816,凱基台灣TOP50,15.0,11.01,63000,251370,36.24%
2026-08-07,00990A,主動元大AI新經濟,16.2,11.48,5000,23600,41.11%
2026-08-07,2009,第一銅,39.15,50.56,4000,-45640,-22.57%
2026-08-07,2337,旺宏,129.0,95.28,2000,67440,35.39%
2026-08-07,2409,友達,24.55,16.21,2000,16680,51.45%
2026-08-07,3481,群創,50.0,25.1,4000,99600,99.20%
2026-08-07,3105,穩懋,382.0,556.47,300,-52341,-31.35%
2026-08-07,4966,譜瑞-KY,605.0,1921.64,1000,-1316640,-68.52%
2026-08-07,2327,國巨*,570.0,1030.0,1,-460,-44.66%
2026-08-07,00403A,主動統一升級50,9.81,10.68,26000,-22620,-8.15%
2026-08-07,00981A,主動統一台股增長,28.46,27.48,2000,1960,3.57%
2026-08-07,2330,台積電,2365.0,225.55,10,21394,948.55%
2026-08-07,6789,采鈺,456.5,593.5,400,-54800,-23.08%
2026-08-07,6849,奇鼎科技,134.5,266.4,280,-36932,-49.51%
2026-08-07,7853,政美應用,320.0,409.29,280,-25001,-21.82%
2026-08-07,3576,聯合再生,17.4,18.15,5000,-3750,-4.13%
2026-08-07,1721,三晃,20.15,27.88,3000,-23200,-27.73%
2026-08-07,8215,明基材,24.2,31.6,200,-1480,-23.42%
2026-08-07,00405A,主動富邦台灣龍耀,8.05,9.34,11000,-14190,-13.81%
2026-08-07,5498,凱崴,50.1,69.61,188,-3668,-28.03%
2026-08-07,1301,台塑,55.1,50.5,100,460,9.11%
2026-08-07,6498,久禾光,75.1,67.3,12,94,11.59%
2026-08-07,009821,野村稀土關鍵資源,13.71,17.3,12000,-43080,-20.75%
