prev_eps,symbol,prev_year,eps_yoy,rev_yoy,est_price,expansion,om,name,eps,status,pe,date,gm,advice,prev_eps_yoy,prev_rev_yoy,price
2.11,4973.TWO,2025,24500.0,869.35,130.95000000000002,23630.65,N/A,廣穎,7.46,🚀 利潤擴張,17.869415807560138,2026-03,N/A,⚪ 中性觀察,16.48,-3.19,156.0
1.13,3669.TW,2025,6900.0,98.33,25.199999999999996,6801.67,7.42%,圓展,0.7,🏰 高護城河,22.827380044107144,2026-03,56.66%,⚠️ 追價風險,-44.61,-3.05,38.3499984741
0.92,6209.TW,2025,7900.0,1231.2,34.8,6668.8,N/A,今國光,0.81,🚀 利潤擴張,32.02586338439656,2026-03,N/A,⚠️ 追價風險,222.67,50.65,74.3000030518
1.96,3054.TW,2025,7150.0,2528.26,60.45,4621.74,-188.65%,立萬利,1.41,🏰 高護城河,12.456575871687344,2026-03,62.07%,✅ 穩健價值,590.0,26.61,50.2000007629
0.05,1810.TW,2025,4133.33,273.9,55.95,3859.43,N/A,和成,3.64,🚀 利潤擴張,6.5951743650134045,2026-03,N/A,💎 強力關注,-73.68,-6.18,24.6000003815
-1.58,1301.TW,2025,5000.0,1606.45,-48.45,3393.55,-5.76%,台塑,0.51,🔄 轉虧為盈,0.0,2026-03,2.38%,⚪ 數據不足,-731.58,-12.31,55.7999992371
0.38,4924.TWO,2025,3400.0,474.41,12.3,2925.59,0.43%,欣厚-KY,0.35,🚀 利潤擴張,12.317073635975607,2026-03,27.32%,✅ 穩健價值,660.0,3.99,10.1000003815
0.89,8042.TWO,2025,3200.0,564.36,48.599999999999994,2635.64,N/A,金山電,2.17,🚀 利潤擴張,35.95679012345679,2026-03,N/A,⚠️ 追價風險,48.33,9.79,116.5
3.0,2855.TW,2025,2960.0,405.72,96.44999999999999,2554.2799999999997,34.40%,統一證,1.43,🏰 高護城河,6.920684292379471,2026-03,82.96%,💎 強力關注,0.0,3.92,44.5
4.0,3105.TWO,2025,3050.0,667.05,88.05,2382.95,13.87%,穩懋,1.26,🚀 利潤擴張,62.35093696763202,2026-03,31.80%,⚠️ 追價風險,120.99,-4.69,366.0
4.11,1419.TW,2025,2733.33,395.99,274.05000000000007,2337.34,10.89%,新紡,9.37,🚀 利潤擴張,3.503010399562123,2026-03,27.15%,💎 強力關注,41.38,12.31,64.0
0.22,2486.TW,2025,2900.0,726.37,9.150000000000002,2173.63,1.35%,一詮,0.29,🚀 利潤擴張,378.68852459016387,2026-03,15.86%,⚠️ 追價風險,175.0,10.09,231.0
0.72,2380.TW,2025,1900.0,205.99,34.800000000000004,1694.01,0.24%,虹光,0.4,🚀 利潤擴張,8.189655172413792,2026-03,24.41%,💎 強力關注,110.31,13.61,19.0
0.07,3016.TW,2025,3400.0,1769.87,2.849999999999999,1630.13,4.89%,嘉晶,0.35,🚀 利潤擴張,515.7894736842106,2026-03,11.81%,⚠️ 追價風險,-92.39,-5.25,98.0
0.57,1303.TW,2025,2900.0,1383.79,27.900000000000006,1516.21,2.06%,南亞,1.8,🚀 利潤擴張,101.07526881720429,2026-03,9.25%,⚠️ 追價風險,35.71,0.12,188.0
0.15,2399.TW,2025,2366.67,1031.36,18.599999999999998,1335.3100000000002,-12.67%,映泰,1.48,🚀 利潤擴張,34.31451551379033,2026-03,8.40%,⚠️ 追價風險,275.0,-14.09,42.5499992371
