
📅 投資日報表: 2026-08-07
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 258.50   | 265.00   | 257.50   | 264.50   | 79,995,760   | 241.21      | 2000     | ▲46,580   |   +9.66%
4142     | 國光生        | 17.20    | 17.75    | 17.15    | 17.15    | 1,393,001    | 25.32       | 1000     | ▼8,170    |  -32.27%
0050     | 元大台灣50     | 0.00     | 0.00     | 0.00     | 103.04   | 0            | 46.60       | 16000    | ▲903,040  | +121.12%
0056     | 元大高股息      | 0.00     | 0.00     | 0.00     | 51.48    | 0            | 36.43       | 4000     | ▲60,200   |  +41.31%
00635U   | 期元大S&P黃金   | 42.38    | 43.03    | 42.38    | 43.03    | 2,488,867    | 55.25       | 3000     | ▼36,660   |  -22.12%
00738U   | 期元大道瓊白銀    | 48.00    | 48.92    | 47.85    | 48.92    | 4,099,792    | 66.26       | 1000     | ▼17,340   |  -26.17%
00929    | 復華台灣科技優息   | 28.94    | 29.11    | 28.75    | 28.78    | 30,117,506   | 19.73       | 8000     | ▲72,400   |  +45.87%
009816   | 凱基台灣TOP50  | 15.05    | 15.16    | 14.92    | 15.00    | 182,614,148  | 11.01       | 63000    | ▲251,370  |  +36.24%
00990A   | 主動元大AI新經濟  | 16.23    | 16.26    | 16.14    | 16.20    | 19,105,062   | 11.48       | 5000     | ▲23,600   |  +41.11%
2009     | 第一銅        | 39.30    | 41.75    | 39.05    | 39.15    | 6,110,498    | 50.56       | 4000     | ▼45,640   |  -22.57%
2337     | 旺宏         | 117.50   | 129.00   | 116.00   | 129.00   | 121,491,985  | 95.28       | 2000     | ▲67,440   |  +35.39%
2409     | 友達         | 24.30    | 24.65    | 23.65    | 24.55    | 144,678,700  | 16.21       | 2000     | ▲16,680   |  +51.45%
3481     | 群創         | 47.90    | 50.00    | 46.70    | 50.00    | 297,686,632  | 25.10       | 4000     | ▲99,600   |  +99.20%
3105     | 穩懋         | 378.00   | 394.00   | 365.50   | 382.00   | 40,586,112   | 556.47      | 300      | ▼52,341   |  -31.35%
4966     | 譜瑞-KY      | 610.00   | 612.00   | 594.00   | 605.00   | 1,434,760    | 1921.64     | 1000     | ▼1,316,640 |  -68.52%
2327     | 國巨*        | 563.00   | 578.00   | 536.00   | 570.00   | 51,720,458   | 1030.00     | 1        | ▼460      |  -44.66%
00403A   | 主動統一升級50   | 9.87     | 9.95     | 9.77     | 9.81     | 336,755,397  | 10.68       | 26000    | ▼22,620   |   -8.15%
00981A   | 主動統一台股增長   | 28.86    | 29.00    | 28.40    | 28.46    | 239,101,627  | 27.48       | 2000     | ▲1,960    |   +3.57%
2330     | 台積電        | 2395.00  | 2395.00  | 2360.00  | 2365.00  | 22,943,128   | 225.55      | 10       | ▲21,394   | +948.55%
6789     | 采鈺         | 449.00   | 457.50   | 437.00   | 456.50   | 1,040,382    | 593.50      | 400      | ▼54,800   |  -23.08%
6849     | 奇鼎科技       | 144.00   | 146.00   | 133.50   | 134.50   | 153,115      | 266.40      | 280      | ▼36,932   |  -49.51%
7853     | 政美應用       | 307.00   | 321.50   | 307.00   | 320.00   | 199,474      | 409.29      | 280      | ▼25,001   |  -21.82%
3576     | 聯合再生       | 17.85    | 17.90    | 17.20    | 17.40    | 20,466,296   | 18.15       | 5000     | ▼3,750    |   -4.13%
1721     | 三晃         | 20.65    | 20.65    | 19.85    | 20.15    | 498,276      | 27.88       | 3000     | ▼23,200   |  -27.73%
8215     | 明基材        | 23.70    | 24.20    | 23.35    | 24.20    | 588,025      | 31.60       | 200      | ▼1,480    |  -23.42%
00405A   | 主動富邦台灣龍耀   | 8.21     | 8.28     | 8.05     | 8.05     | 107,394,512  | 9.34        | 11000    | ▼14,190   |  -13.81%
5498     | 凱崴         | 47.90    | 50.90    | 46.10    | 50.10    | 2,277,236    | 69.61       | 188      | ▼3,668    |  -28.03%
1301     | 台塑         | 55.60    | 55.90    | 54.70    | 55.10    | 12,688,900   | 50.50       | 100      | ▲460      |   +9.11%
6498     | 久禾光        | 76.20    | 76.20    | 74.00    | 75.10    | 151,000      | 67.30       | 12       | ▲94       |  +11.59%
009821   | 野村稀土關鍵資源   | 13.63    | 13.76    | 13.56    | 13.71    | 9,327,858    | 17.30       | 12000    | ▼43,080   |  -20.75%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -141,154 (  -2.20%)
