股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-0.41%,-0.41%,+1.66%,+2.04%,-1.20%,-1.20%,+1.21%,-1.20%,+0.00%,-0.81%
8261.TW,+1.90%,-1.00%,+1.13%,-1.87%,+1.01%,+1.01%,+1.00%,+1.61%,-1.22%,-0.87%
6205.TW,+1.73%,-1.51%,-0.19%,+0.38%,+0.96%,+0.96%,-0.76%,-0.38%,+0.00%,+0.00%
1789.TW,+0.00%,-2.36%,+0.27%,+0.53%,-0.80%,-0.80%,-0.27%,-2.42%,-1.65%,-0.28%
911608.TW,+2.29%,+0.96%,+0.63%,-3.46%,-0.40%,-0.40%,-3.00%,-0.34%,+0.34%,+0.34%
6924.TW,,,,,,,+4.93%,,,+0.68%
3044.TW,+0.99%,-0.98%,-1.48%,-1.00%,-0.25%,-0.25%,+3.80%,+0.49%,-1.70%,-0.49%
3011.TW,-0.72%,+0.00%,+0.72%,-1.80%,-1.47%,-1.47%,+1.12%,-2.57%,-1.51%,-0.38%
00876.TW,+1.59%,-0.06%,-0.57%,-1.23%,+0.00%,+0.00%,+0.55%,-1.06%,-0.55%,-0.03%
00676R.TW,-1.87%,+0.32%,-0.63%,+1.44%,-0.16%,-0.16%,-1.26%,+1.04%,+0.24%,+0.24%
4961.TW,+2.03%,+1.77%,-5.43%,-1.61%,+0.70%,+0.70%,+0.70%,-0.46%,-0.23%,-0.70%
2012.TW,+1.21%,-0.48%,+0.48%,-0.48%,+0.48%,+0.48%,+1.91%,-1.64%,+0.00%,+0.95%
8114.TW,+0.86%,+0.00%,+3.93%,-1.97%,+4.87%,+4.87%,+3.36%,+0.00%,-2.01%,-2.37%
8028.TW,+0.36%,-0.71%,-1.79%,-0.36%,+1.82%,+1.82%,+1.79%,+1.06%,-1.74%,-0.35%
6443.TW,+2.63%,-2.56%,+3.29%,+3.50%,-0.92%,-0.92%,+9.94%,-3.67%,-2.35%,-3.30%
2748.TW,-0.38%,+0.39%,+1.54%,-0.95%,-1.34%,-1.34%,+0.00%,-0.58%,+1.95%,-1.72%
