股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+0.40%,+0.00%,-1.61%,-0.41%,-2.06%,+0.00%,+0.42%,+0.63%,+0.83%,+0.00%
8261.TW,+0.00%,+0.89%,+0.44%,-0.44%,-1.76%,-0.45%,+0.00%,-0.45%,+4.07%,-0.43%
6205.TW,-0.23%,-0.81%,+0.59%,-0.82%,-0.59%,-2.48%,-0.48%,+1.22%,+0.96%,+1.91%
1789.TW,+0.75%,+0.37%,-0.37%,-0.19%,-3.18%,-0.19%,+0.78%,-0.96%,+0.19%,-0.19%
911608.TW,+0.00%,-0.84%,+1.70%,+0.00%,-0.84%,+0.00%,+0.00%,+0.42%,+0.42%,-0.42%
3044.TW,-0.49%,+0.49%,-0.49%,-0.49%,-0.98%,+0.99%,-0.98%,+0.99%,+0.98%,-0.97%
3011.TW,-2.76%,+3.41%,-0.27%,+0.83%,+1.09%,-2.16%,+0.55%,-0.82%,-0.28%,+0.28%
00876.TW,-0.80%,-0.59%,+2.00%,-0.58%,-0.66%,-1.07%,+1.23%,+0.07%,+1.50%,-1.81%
00676R.TW,+1.20%,+0.30%,-1.19%,-0.30%,+0.00%,+0.60%,-0.90%,+1.51%,-1.19%,+0.90%
4961.TW,+0.00%,+3.90%,+0.68%,-2.71%,-1.05%,-1.06%,+3.20%,-0.34%,+9.69%,+4.42%
2012.TW,-1.21%,-1.02%,+0.00%,-1.03%,+0.42%,+0.00%,+0.62%,+0.21%,+0.21%,+0.21%
8114.TW,-0.84%,+1.69%,-0.42%,-2.09%,-0.85%,+0.86%,+0.00%,+0.85%,+0.85%,+1.26%
8028.TW,-1.51%,+2.05%,+0.50%,-1.16%,-1.68%,+0.17%,-0.34%,-2.06%,+1.23%,-1.04%
6443.TW,+1.47%,+0.00%,-0.92%,-1.20%,-0.67%,+0.68%,-1.21%,+0.41%,+2.31%,+0.13%
2748.TW,+9.96%,+1.08%,+2.54%,+3.13%,-4.17%,-3.30%,+9.82%,+2.98%,+2.53%,+10.00%
6525.TW,-0.84%,+0.00%,+0.56%,+0.70%,-0.83%,+0.84%,-0.14%,-0.28%,+0.28%,+0.14%
1802.TW,-1.50%,+0.22%,-0.43%,-0.22%,-1.53%,+1.33%,+1.31%,+0.43%,+0.43%,-0.21%
9938.TW,+1.75%,+2.41%,+2.35%,-1.15%,+6.47%,-1.87%,+0.16%,-0.63%,-3.67%,+0.50%
00635U.TW,-2.00%,-0.21%,+0.17%,+0.17%,-1.37%,+0.30%,-0.08%,-0.67%,-0.42%,-0.68%
2408.TW,-3.01%,+0.17%,+0.34%,-0.68%,+0.52%,-1.20%,+1.39%,+0.17%,+2.05%,+0.00%
2504.TW,+0.58%,+2.51%,-0.19%,-0.19%,+0.38%,+0.38%,+0.94%,-0.19%,+0.00%,-0.56%
5546.TW,+0.00%,-0.44%,-0.67%,+0.11%,-1.46%,-0.80%,-1.38%,+0.23%,+0.23%,-1.16%
2395.TW,-0.14%,+0.83%,+0.55%,-1.37%,-0.42%,+1.82%,+1.23%,-3.12%,+1.26%,-1.66%
3050.TW,+0.00%,+0.00%,-1.14%,+0.29%,-0.29%,+0.00%,+0.00%,+0.87%,+0.00%,-0.29%
6591.TW,+0.11%,+0.22%,+0.89%,+0.00%,-3.10%,+0.34%,+0.46%,-1.02%,+1.95%,+0.22%
6176.TW,+0.49%,+0.48%,+0.00%,-0.48%,-1.45%,+1.47%,+0.00%,-0.48%,+0.97%,+0.48%
00757.TW,+0.19%,+0.07%,+2.67%,-1.09%,-1.43%,-1.87%,+1.75%,+1.80%,+1.91%,-3.53%
2101.TW,+0.43%,+0.14%,+0.00%,+0.43%,+7.60%,-7.07%,+0.43%,+0.57%,+0.00%,+0.14%
1612.TW,-1.54%,+0.78%,+0.26%,-0.78%,-1.56%,-0.79%,+0.53%,+1.06%,+0.00%,+0.79%
00685L.TW,-2.24%,+0.10%,+2.27%,+0.07%,-0.47%,-0.50%,+1.66%,-3.26%,+2.35%,-1.42%
6446.TW,-3.88%,+1.21%,+1.79%,-0.78%,-0.99%,-1.10%,+0.91%,-0.20%,+0.60%,-1.09%
2374.TW,-0.95%,-0.24%,+0.48%,-1.19%,-0.48%,-1.21%,+0.25%,+0.00%,+0.74%,+0.00%
1443.TW,-3.00%,+1.46%,-4.49%,-2.68%,-3.62%,+5.19%,-0.51%,-0.85%,+0.34%,+1.37%
2025.TW,+0.40%,+3.97%,-0.57%,+0.38%,+0.00%,-0.38%,+0.00%,+0.58%,+0.19%,+5.71%
6141.TW,-0.52%,+0.26%,+0.26%,+0.52%,-1.03%,+0.00%,+0.52%,+0.00%,+0.52%,+0.00%
5243.TW,+1.48%,-0.32%,-0.33%,+0.33%,-0.81%,-0.98%,+0.17%,+0.50%,+1.97%,-0.81%
2303.TW,-2.10%,+0.20%,+2.75%,+0.00%,+0.59%,-2.07%,+1.31%,-0.99%,+0.40%,-0.20%
