股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.25%,+0.99%,+0.73%,+0.49%,+1.93%,+1.93%,+5.69%,-2.24%,-2.06%,+0.23%
8261.TW,+0.73%,-0.72%,+0.73%,-0.84%,-0.36%,-0.36%,+0.12%,+1.09%,-1.80%,+0.00%
6205.TW,-0.79%,+0.40%,+0.00%,-1.32%,+1.07%,+1.07%,+1.19%,-0.52%,+1.31%,-0.78%
1789.TW,-0.36%,+1.27%,+0.90%,+1.78%,+2.62%,+2.62%,+0.00%,-2.39%,-1.05%,-0.71%
911608.TW,+0.00%,-2.26%,+2.02%,+1.27%,-0.86%,-0.86%,-0.58%,+0.00%,-2.03%,+9.79%
3044.TW,+1.38%,-0.91%,+0.23%,+3.20%,+0.22%,+0.22%,-2.65%,-0.45%,+0.68%,+1.59%
3011.TW,+1.32%,-0.65%,-0.16%,+0.49%,-0.16%,-0.16%,+1.15%,+0.65%,-1.61%,+3.28%
00876.TW,-0.18%,+0.76%,+1.91%,-0.31%,+0.13%,+0.13%,+0.82%,+0.05%,+1.05%,-0.68%
00676R.TW,-0.84%,-1.27%,-0.43%,+0.00%,+0.43%,+0.43%,-0.43%,-1.29%,+0.00%,+0.00%
4961.TW,+6.97%,+0.00%,+1.53%,+1.32%,+0.74%,+0.74%,-2.40%,-3.03%,-0.98%,+0.59%
2012.TW,-0.21%,+0.83%,+0.41%,-0.20%,+1.84%,+1.84%,-1.21%,-1.02%,-3.29%,+0.00%
8114.TW,-0.82%,+0.41%,+3.72%,-0.40%,+0.80%,+0.80%,+0.40%,+0.79%,-0.39%,-1.57%
8028.TW,+1.34%,-0.76%,+1.90%,+9.91%,-0.68%,-0.68%,+1.20%,+4.57%,-1.13%,+9.66%
6443.TW,-0.54%,+1.63%,-0.71%,+3.05%,-1.91%,-1.91%,-1.42%,+0.72%,-1.61%,-0.91%
2748.TW,+0.82%,-0.27%,+4.37%,-2.75%,-2.02%,-2.02%,-1.37%,-0.28%,-2.37%,+0.86%
6525.TW,+0.43%,-0.57%,+1.15%,-1.98%,+0.72%,+0.72%,-0.43%,+1.15%,+0.85%,+1.27%
1802.TW,+0.00%,+0.29%,+0.58%,-0.29%,+0.29%,+0.29%,-1.16%,+0.29%,+3.22%,-2.55%
9938.TW,-1.03%,-0.59%,+0.90%,+0.30%,-0.88%,-0.88%,-1.79%,-0.30%,-0.15%,-1.22%
00635U.TW,-0.32%,+0.43%,+1.47%,-0.53%,+2.44%,+2.44%,-0.80%,-0.17%,-1.85%,-1.53%
2408.TW,+0.62%,-0.31%,-0.93%,-1.88%,+0.80%,+0.80%,+0.32%,+1.73%,-0.62%,+0.31%
2504.TW,-2.04%,+0.00%,+6.59%,+3.40%,-0.80%,-0.80%,-4.62%,-4.32%,-1.43%,+4.91%
5546.TW,+0.62%,+2.63%,+0.15%,-0.15%,+2.26%,+2.26%,-2.21%,-0.45%,-1.21%,-0.31%
2395.TW,-0.71%,+1.57%,+0.70%,-1.82%,+0.43%,+0.43%,-0.71%,+2.29%,+0.98%,-1.52%
3050.TW,-2.47%,-3.68%,+8.83%,-1.32%,-4.89%,-4.89%,-0.93%,+1.89%,-2.31%,-1.18%
6591.TW,+1.07%,-0.18%,+3.18%,+4.11%,-0.99%,-0.99%,+0.33%,-0.83%,+0.67%,+1.00%
6176.TW,+0.25%,-1.26%,+2.04%,+1.00%,-1.73%,-1.73%,+0.76%,+1.00%,-2.23%,-0.25%
00757.TW,+0.63%,+0.69%,+1.00%,-0.43%,+0.37%,+0.37%,+0.99%,+0.67%,+0.61%,-2.18%
2101.TW,-0.90%,+0.91%,+4.14%,+1.04%,-0.85%,-0.85%,+0.00%,+1.21%,-5.28%,+1.26%
00945B.TW,-0.13%,-0.33%,-0.13%,+0.27%,+0.07%,+0.07%,+0.13%,+0.00%,-0.13%,-0.13%
1612.TW,+0.39%,+1.18%,+1.04%,+0.51%,+1.02%,+1.02%,+1.89%,-3.47%,-3.21%,+1.99%
00685L.TW,+1.30%,+1.75%,+1.39%,-0.26%,-0.07%,-0.07%,-0.20%,+2.69%,+0.32%,-0.26%
6446.TW,+8.45%,+1.88%,+9.92%,+5.28%,+2.33%,+2.33%,+2.87%,-5.47%,+2.58%,+1.68%
2374.TW,+0.11%,+9.99%,+9.96%,+2.31%,+2.95%,+2.95%,+3.71%,+0.33%,-6.65%,+3.47%
1443.TW,-1.54%,+0.31%,+1.25%,-2.01%,-0.16%,-0.16%,+0.63%,-0.78%,-2.53%,+1.78%
2025.TW,+0.00%,+1.35%,+0.89%,-1.76%,+6.73%,+6.73%,-2.10%,-1.72%,+0.00%,+1.31%
6141.TW,-0.58%,-3.24%,+1.22%,+0.00%,-0.90%,-0.90%,+0.61%,+1.81%,-1.48%,+1.20%
5243.TW,-0.35%,+0.18%,-0.35%,-0.18%,+0.35%,+0.35%,+1.23%,+0.35%,-1.21%,+0.00%
2303.TW,-0.57%,-0.58%,+0.58%,+1.34%,+0.57%,+0.57%,+1.51%,+2.04%,+1.82%,-2.50%
4968.TW,+2.82%,-0.82%,+9.14%,-3.30%,-0.79%,-0.79%,-1.59%,+1.34%,-0.27%,+2.93%
