股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-1.22%,+0.00%,-6.85%,+1.89%,+0.37%,+0.37%,-1.11%,+0.75%,-0.56%,-1.30%
8261.TW,-0.71%,+0.36%,-6.43%,+3.05%,+1.48%,+1.48%,-2.19%,+1.49%,+1.84%,-1.99%
6205.TW,+0.00%,+0.00%,-1.15%,+1.00%,+0.00%,+0.00%,+0.00%,-0.33%,+0.00%,-1.16%
1789.TW,-3.74%,+3.16%,+2.59%,+3.21%,-2.22%,-2.22%,+0.68%,+1.47%,+1.11%,-2.97%
911608.TW,-0.53%,+1.25%,-0.18%,-0.18%,+1.06%,+1.06%,+0.00%,-3.14%,+1.26%,+5.57%
3044.TW,-2.60%,+0.36%,-0.89%,-1.79%,+1.64%,+1.64%,+0.18%,+0.00%,+0.54%,+1.78%
3011.TW,-1.84%,-1.17%,-4.39%,+1.37%,-0.37%,-0.37%,+0.12%,+0.25%,+0.00%,+0.12%
4961.TW,-0.04%,+1.37%,-1.11%,+0.69%,-0.78%,-0.78%,+0.40%,+1.56%,-0.40%,+0.29%
2012.TW,-0.94%,-0.63%,+0.32%,+0.00%,-1.58%,-1.58%,+0.96%,+0.32%,+0.32%,-0.95%
8114.TW,-1.25%,-0.63%,-0.32%,+2.88%,+3.74%,+3.74%,+2.70%,+1.46%,-0.58%,+1.45%
8028.TW,+1.70%,+0.89%,-5.10%,+3.05%,+0.40%,+0.40%,-0.70%,-0.33%,+0.33%,+0.07%
6443.TW,-1.20%,+1.04%,-0.98%,+0.00%,+1.87%,+1.87%,+0.32%,+0.11%,+0.00%,+0.11%
1802.TW,+0.50%,-0.50%,-1.50%,+1.27%,-1.25%,-1.25%,-3.80%,+1.58%,-1.55%,+2.11%
9938.TW,-0.88%,-2.53%,+6.89%,+5.11%,-1.16%,-1.16%,+0.23%,+1.75%,-0.69%,-2.31%
00635U.TW,+1.57%,+0.45%,+0.45%,-0.10%,-1.09%,-1.09%,+0.25%,-0.30%,-0.35%,+0.10%
2408.TW,-0.32%,-0.96%,-4.55%,+4.93%,+4.05%,+4.05%,+1.56%,+4.75%,-2.49%,+1.65%
2504.TW,-0.49%,+0.00%,-0.98%,-0.50%,+0.00%,+0.00%,-0.50%,+0.00%,-0.20%,+0.10%
2395.TW,-0.20%,+0.41%,-0.61%,+0.20%,+0.61%,+0.61%,-0.61%,-1.22%,-0.21%,+0.21%
3050.TW,+1.76%,+2.89%,+1.26%,-0.97%,+0.14%,+0.14%,-0.70%,+0.00%,+0.70%,-0.28%
6176.TW,-2.25%,-1.84%,+1.88%,+1.84%,+0.45%,+0.45%,-0.45%,+0.00%,+1.81%,+2.22%
2101.TW,+0.00%,-0.81%,-0.82%,+0.00%,-0.33%,-0.33%,-0.83%,+0.17%,-1.50%,+0.51%
1612.TW,-1.42%,-0.48%,+0.48%,+0.00%,+0.48%,+0.48%,-1.44%,+0.00%,+0.49%,-0.97%
6446.TW,-0.72%,-1.96%,-2.46%,+0.87%,-0.23%,-0.23%,-0.02%,+6.03%,-0.70%,-0.90%
2374.TW,+0.53%,+0.00%,-1.84%,-0.80%,+0.54%,+0.54%,-1.61%,+0.55%,+0.54%,+0.00%
1443.TW,-1.52%,+0.00%,+0.00%,+0.15%,-2.30%,-2.30%,-0.63%,-0.95%,-0.64%,-1.45%
2025.TW,-0.23%,-2.06%,-1.40%,+1.42%,-0.47%,-0.47%,+0.23%,+0.23%,+0.00%,+0.23%
6141.TW,+3.91%,-0.42%,+0.42%,+0.42%,-2.08%,-2.08%,-2.13%,-1.74%,+0.00%,+6.64%
5243.TW,+0.00%,-0.72%,-0.15%,+3.07%,-2.13%,-2.13%,-1.30%,-0.59%,-0.44%,+0.89%
2303.TW,-1.43%,+0.00%,-1.09%,+2.57%,-0.36%,-0.36%,-0.72%,+0.72%,-0.72%,+0.72%
4968.TW,-0.92%,-1.35%,+0.00%,+0.37%,+0.06%,+0.06%,-0.23%,+1.34%,-0.08%,+0.80%
8454.TW,-1.20%,-1.56%,-1.58%,+0.89%,+0.00%,+0.00%,-0.35%,-3.73%,-0.37%,+3.15%
2417.TW,+1.20%,-4.76%,-6.67%,-0.45%,-0.45%,-0.45%,-4.50%,+0.47%,+1.88%,-0.46%
2402.TW,-1.35%,-0.59%,-6.69%,+1.27%,-1.25%,-1.25%,+0.00%,-1.27%,+0.64%,+2.76%
2351.TW,-0.50%,-0.13%,-1.90%,+0.39%,+2.44%,+2.44%,-1.51%,+0.13%,-0.89%,+0.64%
2420.TW,-0.54%,+0.22%,+1.30%,-0.21%,+0.21%,+0.21%,+1.28%,+1.27%,+3.65%,-0.40%
911622.TW,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
8222.TW,-0.79%,+0.00%,+0.80%,+0.00%,+0.00%,+0.00%,-1.32%,-1.34%,+2.72%,-1.06%
