股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+2.34%,+0.16%,-2.61%,-3.69%,-5.04%,-5.04%,+2.01%,-0.36%,-5.41%,+0.57%
8261.TW,+0.20%,+1.56%,-3.26%,+0.99%,-2.16%,-2.16%,+1.41%,+0.00%,-4.36%,+0.62%
6205.TW,+0.00%,+0.37%,-0.56%,+0.56%,+0.00%,+0.00%,+0.37%,+0.74%,-1.10%,+0.74%
1789.TW,+1.48%,+0.00%,-1.46%,-0.84%,+2.13%,+2.13%,+2.50%,-0.41%,+0.20%,+2.24%
911608.TW,+0.00%,+1.90%,+0.00%,-0.93%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
3044.TW,+0.00%,+2.35%,+0.10%,-3.23%,+0.11%,+0.11%,+1.40%,+0.53%,-1.90%,-0.22%
3011.TW,+1.13%,-0.42%,-0.98%,-0.56%,+0.00%,+0.00%,+0.43%,+0.42%,-1.41%,+0.71%
00676R.TW,+0.41%,-0.40%,+0.95%,+0.54%,-0.13%,-0.13%,-0.40%,+0.13%,+1.34%,-0.26%
4961.TW,-1.01%,+1.15%,-0.76%,-2.29%,-0.78%,-0.78%,-1.45%,+0.00%,-2.27%,-1.23%
2012.TW,+0.21%,-1.27%,+0.21%,-0.21%,+0.21%,+0.21%,+1.71%,+0.84%,-0.42%,-1.89%
8114.TW,+0.98%,+0.97%,-0.48%,-1.92%,+0.49%,+0.49%,+0.49%,-0.97%,-0.98%,+1.49%
8028.TW,+3.77%,-0.45%,-1.37%,-3.24%,-2.99%,-2.99%,+3.08%,+1.56%,-2.71%,+2.30%
6443.TW,+1.56%,+3.08%,-1.49%,+3.03%,-2.21%,-2.21%,-0.60%,-0.15%,-2.12%,-1.39%
2748.TW,-0.49%,-0.49%,+0.16%,-0.16%,-0.49%,-0.49%,+0.00%,-0.33%,-0.33%,+0.50%
6525.TW,+0.74%,+1.77%,-0.58%,-2.33%,-1.34%,-1.34%,+2.27%,-0.89%,-1.94%,-0.46%
1802.TW,+0.00%,+3.42%,-1.24%,-1.26%,+0.85%,+0.85%,+2.52%,-0.82%,-0.41%,+0.00%
9938.TW,-3.89%,+4.75%,+0.13%,+1.20%,+0.39%,+0.39%,+4.06%,-1.01%,-2.67%,-0.26%
00635U.TW,+1.00%,-0.26%,+0.10%,-0.47%,-0.94%,-0.94%,-0.16%,-0.11%,+0.00%,+0.53%
2408.TW,+0.65%,+0.81%,-1.61%,-0.66%,+0.50%,+0.50%,+0.99%,-1.14%,-0.99%,-0.66%
2504.TW,+2.40%,+0.00%,+1.99%,+1.72%,-2.14%,-2.14%,+0.58%,-0.69%,-1.50%,-1.05%
2395.TW,-1.21%,+0.82%,+0.00%,+0.61%,-0.60%,-0.60%,-1.21%,-0.41%,+0.82%,+3.27%
3050.TW,+3.20%,+5.48%,+3.92%,-5.66%,-0.60%,-0.60%,+1.11%,+0.00%,-0.50%,+0.50%
6591.TW,+2.15%,+0.00%,-4.20%,-0.44%,-3.52%,-3.52%,+0.46%,-1.36%,-3.46%,-2.15%
6176.TW,-1.30%,+3.55%,-1.96%,-0.80%,+1.81%,+1.81%,+2.97%,+0.48%,-1.44%,-3.88%
00757.TW,-1.56%,+0.60%,+0.30%,+0.49%,-1.61%,-1.61%,-1.54%,+0.35%,-1.61%,-0.82%
2101.TW,+2.75%,+2.08%,-1.90%,+2.53%,+0.14%,+0.14%,+0.00%,+1.30%,-0.14%,+0.43%
1612.TW,+1.74%,+5.13%,-2.39%,-1.96%,+0.00%,+0.00%,+1.00%,+0.50%,-0.99%,+0.50%
00685L.TW,-0.76%,+0.77%,-1.53%,-1.01%,-0.39%,-0.39%,+1.49%,-0.70%,-2.50%,+0.56%
6446.TW,+1.54%,-4.17%,-9.49%,-9.61%,+9.66%,+9.66%,+7.05%,-3.29%,+2.13%,+0.00%
2374.TW,+0.75%,-0.37%,-0.37%,-1.88%,+0.38%,+0.38%,+0.76%,+9.85%,+1.38%,-1.36%
1443.TW,-0.28%,+8.51%,+1.70%,-2.57%,+3.43%,+3.43%,+1.15%,-0.63%,-0.38%,-2.80%
2025.TW,+0.57%,+1.69%,-1.11%,+2.25%,-3.30%,-3.30%,+0.57%,-1.69%,-2.87%,+0.00%
6141.TW,+2.56%,+1.11%,+5.77%,-0.52%,-1.31%,-1.31%,+3.97%,-1.27%,-5.15%,-2.72%
5243.TW,+1.43%,+3.52%,-1.90%,-2.22%,-0.28%,-0.28%,+2.84%,-0.83%,-2.09%,-0.14%
2303.TW,+0.39%,-0.77%,+0.39%,+0.39%,-1.92%,-1.92%,+1.57%,+0.39%,-1.15%,+0.78%
4968.TW,+1.00%,+0.83%,-3.60%,-7.47%,+3.49%,+3.49%,+3.19%,+7.56%,-0.48%,+9.95%
8454.TW,+0.19%,-0.77%,-1.17%,+0.59%,+2.74%,+2.74%,+0.38%,-0.19%,+0.76%,-0.75%
2417.TW,-1.18%,-6.75%,-3.40%,-3.08%,-1.82%,-1.82%,+1.39%,+0.91%,-1.81%,+0.46%
2402.TW,+0.00%,+1.34%,-2.31%,-2.03%,-2.07%,-2.07%,+3.17%,-1.02%,-0.69%,+0.69%
2351.TW,+1.07%,+1.66%,-1.93%,-2.88%,-2.65%,-2.65%,-0.80%,+0.00%,-3.07%,+0.33%
2420.TW,-0.28%,+1.39%,+1.10%,-0.81%,+0.14%,+0.14%,+0.55%,+0.00%,-1.09%,-0.41%
911622.TW,-3.77%,+0.00%,-1.96%,+2.00%,+0.00%,+0.00%,+0.00%,+0.00%,+1.96%,+9.62%
8222.TW,+0.00%,+0.00%,+1.75%,+0.98%,+0.73%,+0.73%,-0.48%,+0.73%,-0.48%,+1.21%
2497.TW,+2.27%,+1.48%,+5.34%,-2.30%,+2.83%,+2.83%,+5.96%,-0.65%,+0.65%,+2.16%
2059.TW,-0.17%,+1.49%,+0.16%,-2.11%,+0.50%,+0.50%,+1.49%,+0.49%,-0.81%,+0.00%
3030.TW,+0.58%,+1.72%,-0.56%,-0.57%,-1.14%,-1.14%,+1.92%,+0.00%,+0.00%,+0.94%
1786.TW,+0.65%,+1.93%,-1.26%,-2.39%,-0.16%,-0.16%,+2.13%,+0.48%,-1.91%,+0.33%
9802.TW,-0.94%,+3.17%,-0.92%,-0.78%,-1.10%,-1.10%,+3.32%,+1.07%,+1.67%,+2.68%
3022.TW,+0.95%,+2.52%,+0.31%,-0.15%,+0.61%,+0.61%,+0.15%,+0.15%,-1.37%,+1.38%
5906.TW,-2.70%,+0.00%,+1.59%,-0.78%,+1.18%,+1.18%,+0.78%,+2.70%,-1.13%,+1.14%
00641R.TW,+0.71%,-0.64%,+0.45%,-1.22%,-0.13%,-0.13%,+0.13%,+0.13%,+0.71%,+0.06%
2412.TW,+1.36%,-0.90%,+0.00%,+0.45%,+0.45%,+0.45%,+0.90%,-0.44%,+0.00%,+0.00%
2428.TW,+2.09%,-0.60%,-1.70%,-1.23%,-0.75%,-0.75%,+2.64%,-0.12%,-1.84%,+0.63%
4536.TW,+0.70%,+2.77%,-3.37%,-2.44%,+0.71%,+0.71%,+3.90%,+0.34%,+1.02%,-0.34%
