股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.65%,-0.81%,+0.82%,-0.27%,+2.98%,-1.32%,+2.67%,+0.78%,-1.80%,+1.05%
8261.TW,-1.15%,+0.00%,+1.64%,-1.84%,-1.17%,+1.18%,-1.64%,-0.48%,-0.24%,-0.24%
6205.TW,+1.01%,+0.67%,-0.66%,-0.67%,+0.50%,-0.33%,+0.17%,+8.36%,-3.09%,-0.48%
1789.TW,+0.77%,+0.00%,+1.92%,+0.63%,+0.25%,+1.49%,-1.59%,+0.75%,+3.46%,+0.00%
911608.TW,+1.12%,-1.84%,-0.75%,+1.51%,+0.00%,+0.00%,-4.09%,+4.65%,-0.37%,-4.83%
3044.TW,+1.07%,+2.77%,+0.51%,-0.26%,+1.28%,+1.01%,-1.00%,+0.76%,-0.88%,+3.16%
3011.TW,+1.35%,+1.47%,+2.63%,+0.38%,-1.66%,+0.39%,+9.31%,+4.26%,-0.23%,+0.11%
00676R.TW,-0.93%,-0.10%,+0.10%,-0.73%,-0.84%,-0.32%,-0.11%,-1.06%,+0.22%,+0.11%
4961.TW,+0.85%,-0.36%,-0.23%,+2.78%,-1.11%,+0.90%,-0.61%,+0.00%,-0.32%,+0.29%
2012.TW,+0.00%,+1.11%,-0.37%,-0.37%,+0.37%,+0.37%,+0.73%,+0.36%,+0.36%,+0.72%
8114.TW,+1.69%,-1.66%,-0.28%,+0.28%,-1.97%,-4.01%,+0.90%,+0.00%,+0.59%,+0.00%
8028.TW,+0.44%,-0.40%,+0.80%,+0.64%,+10.46%,+1.43%,-1.03%,+0.32%,-5.66%,+0.42%
6443.TW,+0.00%,+9.91%,-0.43%,-2.59%,+0.44%,-0.44%,-1.33%,+0.00%,+0.90%,+1.78%
2748.TW,+0.56%,+0.19%,+0.00%,-0.74%,+0.75%,-0.37%,-0.56%,-0.19%,+1.31%,-0.19%
