股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-0.49%,+2.15%,-0.65%,+3.90%,+0.16%,+0.16%,+1.25%,+1.08%,+1.53%,-0.15%
8261.TW,+1.20%,+2.95%,-2.49%,-1.96%,+0.80%,+0.80%,+2.18%,-0.19%,+2.14%,-0.76%
6205.TW,-1.40%,+1.22%,-1.40%,-1.63%,-0.41%,-0.41%,+0.00%,-0.21%,+1.46%,-0.61%
1789.TW,+9.92%,-1.42%,+1.44%,-2.48%,+0.73%,+0.73%,+0.72%,-0.36%,+0.18%,+0.90%
911608.TW,-3.28%,+0.00%,-1.69%,+9.48%,+0.00%,+0.00%,+19.69%,+9.87%,-0.60%,-7.83%
3044.TW,+2.67%,+1.73%,-2.98%,-2.19%,+0.90%,+0.90%,+7.11%,-1.24%,-0.84%,+0.42%
3011.TW,+0.48%,-0.47%,+0.00%,+0.79%,+0.94%,+0.94%,-2.50%,+0.64%,-1.27%,+0.16%
00676R.TW,-0.31%,-1.42%,+1.28%,+0.31%,-1.10%,-1.10%,-0.95%,+0.00%,-0.32%,+0.48%
4961.TW,-0.45%,+2.86%,-2.64%,-0.90%,+1.37%,+1.37%,+1.50%,-0.59%,+0.59%,-0.15%
2012.TW,-0.50%,+0.25%,-0.50%,-1.01%,-0.51%,-0.51%,+0.51%,+0.25%,-1.27%,+0.00%
8114.TW,+0.20%,+0.50%,+1.00%,-1.48%,+0.00%,+0.00%,+2.00%,+0.49%,+0.00%,-1.46%
8028.TW,+0.32%,+1.77%,+0.16%,-0.16%,+2.84%,+2.84%,+0.61%,-1.53%,+3.72%,-1.35%
6443.TW,-0.55%,+0.69%,+0.41%,+2.20%,-0.94%,-0.94%,+0.41%,+0.54%,+1.34%,+3.45%
2748.TW,-0.45%,+0.67%,-0.89%,-0.56%,+0.57%,+0.57%,+1.80%,+0.66%,+0.55%,-1.53%
6525.TW,+0.17%,+2.70%,-2.47%,-1.69%,+1.89%,+1.89%,+1.18%,-1.16%,+1.18%,-0.67%
1802.TW,-0.49%,+1.98%,-1.46%,-0.99%,+1.99%,+1.99%,+0.49%,+0.00%,-0.49%,-0.98%
9938.TW,+1.00%,+1.11%,-2.56%,+0.37%,+0.37%,+0.37%,-0.62%,-1.12%,+0.38%,-2.77%
00635U.TW,-1.11%,-0.22%,+0.72%,+0.40%,-0.31%,-0.31%,-0.18%,+0.49%,+0.04%,+0.53%
2408.TW,+5.63%,+0.83%,-0.94%,-0.95%,+1.92%,+1.92%,-0.47%,+2.13%,+0.35%,+1.38%
2504.TW,+2.49%,+1.39%,-3.08%,-1.06%,+0.71%,+0.71%,+0.35%,-0.71%,+0.36%,-1.06%
2395.TW,+0.33%,+0.66%,-0.33%,-0.66%,-0.17%,-0.17%,+2.15%,+0.65%,-0.64%,+0.97%
3050.TW,+0.00%,+2.43%,-1.90%,+0.00%,+1.45%,+1.45%,+0.48%,+0.95%,+0.47%,-0.93%
6591.TW,-1.62%,+3.91%,-3.76%,+0.21%,+1.33%,+1.33%,+1.72%,+0.20%,+0.80%,-0.99%
6176.TW,-2.39%,+2.94%,-0.48%,-0.96%,+0.97%,+0.97%,+0.00%,+0.96%,-0.47%,+0.48%
00757.TW,+3.10%,-2.64%,+1.09%,+0.22%,+1.30%,+1.30%,-0.15%,+0.77%,+1.49%,+0.36%
2101.TW,-1.92%,+1.85%,-3.74%,-3.78%,+1.62%,+1.62%,+2.84%,+0.33%,+0.11%,-0.88%
1612.TW,+0.00%,+0.97%,-0.96%,-0.48%,+1.46%,+1.46%,+0.96%,-1.42%,-0.48%,+0.48%
00685L.TW,-0.06%,+3.31%,-3.09%,-0.06%,+1.48%,+1.48%,+2.27%,+0.00%,+0.74%,-1.02%
6446.TW,+0.96%,-0.47%,-1.90%,-2.43%,+1.49%,+1.49%,+0.98%,+0.00%,+4.85%,-2.78%
2374.TW,-0.35%,+1.41%,-2.09%,-2.14%,+1.09%,+1.09%,+1.44%,+0.00%,+0.00%,-0.35%
1443.TW,-3.40%,-0.11%,+0.00%,+0.21%,-1.17%,-1.17%,+0.00%,+3.88%,-2.60%,+0.00%
2025.TW,+1.52%,+5.00%,+0.00%,-3.33%,+0.99%,+0.99%,+0.00%,+2.93%,-0.47%,+0.00%
6141.TW,+0.81%,+2.41%,-4.70%,-0.55%,-0.28%,-0.28%,+1.93%,-1.36%,+0.82%,-1.91%
5243.TW,-0.90%,+3.16%,-1.90%,-0.45%,+1.49%,+1.49%,+1.91%,-1.30%,+1.32%,-1.88%
2303.TW,+1.97%,+4.84%,+0.62%,+0.31%,+1.83%,+1.83%,+1.20%,-0.30%,-2.08%,-0.61%
4968.TW,-3.53%,+4.65%,-1.59%,+0.00%,+2.26%,+2.26%,+3.15%,+0.92%,+1.52%,-1.19%
2417.TW,+0.96%,-0.11%,-0.63%,+9.76%,+0.00%,+0.00%,+2.42%,+1.42%,-0.93%,+5.16%
2402.TW,-0.65%,+0.32%,-2.27%,-1.99%,+1.35%,+1.35%,+2.00%,-0.98%,+0.33%,-0.66%
2351.TW,+0.81%,+4.82%,-3.83%,+0.64%,-0.32%,-0.32%,+0.63%,+0.32%,+0.31%,-0.47%
2420.TW,+0.28%,+0.98%,-0.69%,+0.42%,+0.55%,+0.55%,+0.28%,+0.14%,+0.14%,-0.96%
911622.TW,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+10.00%,+2.15%
8222.TW,+0.86%,+0.85%,-2.82%,-0.58%,+0.58%,+0.58%,+1.16%,+0.00%,-0.86%,-0.58%
2497.TW,+0.53%,+0.79%,-1.31%,-0.26%,-0.27%,-0.27%,+0.00%,-0.53%,-0.27%,+1.61%
2059.TW,-0.42%,+2.92%,-0.14%,-2.44%,+0.14%,+0.14%,+0.00%,+0.28%,+0.14%,+0.00%
3030.TW,-0.57%,+1.14%,-1.69%,-1.72%,+0.78%,+0.78%,+0.77%,-0.77%,+0.39%,-0.58%
1786.TW,+1.89%,+0.46%,-0.15%,-2.92%,+0.00%,+0.00%,+0.63%,-0.94%,+0.32%,-1.27%
9802.TW,-3.32%,-0.38%,-4.98%,+0.00%,+0.81%,+0.81%,+2.80%,-1.17%,-1.18%,-5.18%
3022.TW,-0.41%,+2.60%,-3.35%,+0.52%,-0.42%,-0.42%,+1.68%,-0.31%,+0.21%,-1.55%
5906.TW,+2.48%,+1.34%,-3.98%,-1.93%,+1.41%,+1.41%,+0.83%,+9.92%,+9.77%,+9.82%
00641R.TW,-1.16%,-1.69%,+0.52%,+0.45%,-0.59%,-0.59%,+0.59%,+0.37%,+0.88%,+1.17%
2412.TW,+0.00%,+0.46%,+0.46%,+0.00%,-0.46%,-0.46%,+0.00%,+0.92%,-0.46%,+0.92%
2428.TW,-0.22%,+0.67%,-2.56%,-1.94%,+0.81%,+0.81%,+3.00%,+0.11%,+0.56%,-1.11%
4536.TW,+0.00%,+1.16%,-1.53%,-0.78%,+1.57%,+1.57%,+1.16%,-1.15%,+0.39%,-1.54%
2901.TW,+0.21%,+1.05%,-0.42%,-0.42%,+0.21%,+0.21%,+0.00%,+0.00%,+0.00%,-0.84%
3231.TW,-0.71%,+1.62%,+0.00%,-1.06%,+0.18%,+0.18%,+0.89%,+0.18%,+0.00%,-2.47%
2464.TW,-0.55%,+0.83%,-1.92%,-2.37%,+0.29%,+0.29%,+1.00%,+0.71%,+0.56%,-0.70%
2884.TW,+0.70%,+0.87%,-1.37%,+0.00%,+0.17%,+0.17%,+0.00%,+0.87%,-0.34%,+0.35%
2007.TW,+0.51%,+1.02%,-2.78%,+0.78%,+0.52%,+0.52%,+0.51%,-0.26%,-0.51%,-0.77%
6116.TW,-0.65%,+1.32%,-2.34%,-0.13%,-0.27%,-0.27%,+0.00%,-2.27%,-1.50%,-2.08%
2453.TW,+0.31%,+0.61%,-2.74%,+0.00%,+0.31%,+0.31%,+1.56%,-1.23%,+0.31%,+2.48%
9958.TW,+0.44%,+1.17%,-2.18%,+0.59%,+1.03%,+1.03%,+0.29%,+0.00%,+1.16%,+4.03%
006208.TW,+0.29%,+1.73%,-1.32%,-0.48%,+0.96%,+0.96%,+1.14%,+0.09%,+0.09%,-0.66%
3055.TW,-4.94%,+1.01%,-0.43%,-6.46%,+0.92%,+0.92%,-1.98%,-2.79%,+1.59%,-1.73%
2722.TW,-3.47%,+2.40%,-2.34%,+1.80%,+0.59%,+0.59%,-1.56%,+0.00%,-1.19%,-0.60%
2885.TW,+0.75%,+0.25%,+0.25%,+0.49%,-0.49%,-0.49%,-1.23%,+0.50%,+0.00%,+0.00%
4119.TW,+2.15%,+1.41%,+2.48%,+9.18%,+0.88%,+0.88%,+1.75%,+1.72%,-0.42%,-0.43%
2929.TW,-0.75%,+2.03%,-1.99%,-2.03%,+1.16%,+1.16%,+2.05%,-1.50%,-0.64%,-0.38%
6645.TW,-0.50%,+0.50%,+0.00%,+1.99%,+0.49%,+0.49%,+0.49%,+0.00%,-0.48%,-2.43%
1717.TW,+0.37%,+0.74%,-0.92%,-0.37%,+0.74%,+0.74%,-0.37%,+0.00%,-0.56%,-0.74%
4763.TW,-3.89%,+4.86%,-2.70%,+0.79%,-0.39%,-0.39%,+2.37%,-0.39%,+3.10%,-0.75%
2535.TW,+0.24%,+0.70%,-0.23%,-0.47%,+0.23%,+0.23%,+0.00%,+0.23%,+0.47%,+0.70%
2013.TW,+0.64%,+0.21%,-0.84%,-0.85%,+0.43%,+0.43%,-0.43%,+0.85%,+0.00%,+0.85%
1714.TW,+0.00%,-0.13%,+4.93%,+2.92%,-2.59%,-2.59%,-1.65%,-1.29%,+0.13%,+0.91%
2352.TW,+0.00%,+0.75%,-0.74%,-0.25%,-0.25%,-0.25%,+0.75%,+0.00%,-0.25%,-0.50%
1568.TW,+0.00%,+0.00%,-0.84%,-1.41%,+0.86%,+0.86%,+1.42%,-0.84%,+0.00%,-0.28%
2020.TW,-0.64%,+0.65%,-0.32%,-0.32%,+0.65%,+0.65%,+0.00%,-0.32%,+0.96%,-0.64%
3029.TW,+0.00%,+2.51%,-2.10%,-0.54%,+2.51%,+2.51%,+0.88%,-0.17%,+1.22%,+0.00%
4958.TW,-3.21%,+1.66%,-1.22%,+0.83%,+2.05%,+2.05%,+2.01%,+0.00%,+1.18%,-4.28%
3583.TW,-0.36%,+5.06%,-3.61%,-1.61%,+2.90%,+2.90%,+1.23%,-0.70%,+0.53%,-1.40%
3706.TW,+0.00%,+1.05%,-0.69%,+0.17%,+0.17%,+0.17%,+2.61%,-0.34%,+1.19%,+2.69%
3054.TW,+0.59%,+0.59%,-0.59%,-0.59%,-1.58%,-1.58%,+0.00%,+3.61%,-2.13%,-0.99%
2031.TW,-1.46%,+0.16%,-3.11%,-2.54%,+1.74%,+1.74%,+0.00%,-0.34%,+1.03%,-0.51%
6285.TW,+1.00%,+1.41%,-1.25%,-0.28%,+1.27%,+1.27%,+0.56%,+0.28%,+0.14%,-0.55%
00642U.TW,-1.01%,+3.60%,-1.77%,-1.47%,-0.20%,-0.20%,+0.81%,+1.21%,+0.53%,+1.06%
3576.TW,+0.70%,+0.83%,-2.06%,+3.36%,-0.81%,-0.81%,-0.41%,+0.82%,-0.41%,+1.09%
