股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-1.44%,+0.00%,+1.46%,+0.24%,-1.68%,+5.37%,+4.40%,-0.67%,-0.89%,-1.13%
8261.TW,-1.11%,-0.45%,-0.45%,-0.57%,-0.57%,+2.29%,+1.57%,+0.22%,-1.54%,+0.22%
6205.TW,-1.76%,+0.00%,-0.12%,-0.72%,-1.93%,-0.25%,-0.62%,-1.74%,-0.63%,+7.24%
1789.TW,-0.59%,-0.20%,+0.40%,+0.79%,-0.20%,-0.39%,+0.99%,+0.00%,-0.59%,-0.20%
911608.TW,-0.36%,+1.79%,+0.70%,+0.70%,-2.08%,-1.06%,+3.57%,+0.00%,-1.03%,+1.39%
3044.TW,+2.18%,+0.00%,+3.47%,+2.32%,+2.27%,+9.85%,+0.90%,-0.89%,+1.12%,-2.88%
3011.TW,+1.09%,+0.00%,+2.00%,+6.33%,+0.00%,-1.42%,-0.43%,-1.15%,+0.00%,-0.44%
00876.TW,+0.92%,-1.42%,-0.24%,+0.21%,+0.27%,+5.50%,+1.56%,-1.00%,-0.14%,-1.02%
00676R.TW,+0.73%,+0.36%,+0.00%,-0.72%,+0.00%,-2.90%,+0.00%,+0.00%,-0.37%,+0.37%
4961.TW,-0.63%,-0.42%,-1.06%,+0.22%,-1.72%,+1.75%,+1.07%,+1.49%,+9.83%,-3.05%
2012.TW,+1.31%,-0.43%,+0.22%,+0.22%,-1.08%,+1.52%,+0.64%,-1.06%,-0.43%,+1.08%
8114.TW,+0.00%,-0.42%,-0.42%,+0.85%,-0.42%,-2.97%,+0.44%,-0.87%,+1.32%,+1.30%
8028.TW,-0.58%,+0.00%,-0.59%,-0.98%,-0.89%,+2.50%,+1.95%,+1.34%,-2.08%,+0.00%
6443.TW,+1.06%,-0.53%,-0.18%,-0.35%,-0.88%,-2.32%,+1.28%,+1.62%,-0.89%,+0.72%
2748.TW,+1.23%,-0.36%,+1.46%,-1.44%,-0.37%,-7.10%,-0.79%,+1.59%,-1.57%,+0.27%
6525.TW,+0.00%,-0.30%,-0.15%,+0.15%,-0.61%,+1.37%,+2.71%,+0.59%,-0.58%,-0.73%
1802.TW,-1.63%,-0.83%,+1.11%,-0.82%,-1.39%,+1.69%,+1.66%,+2.17%,-0.80%,+0.54%
9938.TW,-1.30%,+0.38%,+0.75%,-0.93%,-0.19%,+3.94%,+1.44%,+2.14%,+0.35%,-0.69%
00635U.TW,+0.29%,+0.12%,+0.57%,+0.33%,-1.13%,-1.93%,+0.42%,+0.83%,-0.12%,+0.54%
2408.TW,-2.12%,-0.87%,+0.73%,-2.31%,+0.89%,-4.11%,+0.76%,+1.06%,+1.80%,-0.74%
2504.TW,+0.85%,+0.68%,+1.01%,-2.33%,+0.00%,+0.00%,+2.05%,+7.02%,+0.16%,+1.09%
5546.TW,+2.01%,-2.30%,+0.17%,-1.18%,-0.34%,-2.22%,+3.14%,+1.18%,+1.34%,+2.81%
2395.TW,-0.15%,+0.00%,+3.85%,+4.14%,+1.51%,+3.51%,-0.78%,+2.50%,+0.26%,+0.26%
3050.TW,-1.70%,+2.02%,+7.65%,-5.79%,-4.47%,+1.17%,+4.91%,+1.93%,+1.89%,-0.80%
6591.TW,-0.41%,-1.43%,+0.93%,+0.82%,-1.63%,+1.96%,+1.62%,+0.40%,+0.20%,+0.60%
6176.TW,-1.07%,+0.00%,-1.08%,+1.09%,+0.72%,+0.36%,-0.71%,+1.44%,-0.35%,+1.78%
00757.TW,+1.65%,-2.41%,-1.02%,+3.37%,+2.48%,+3.60%,-0.07%,-0.73%,-0.13%,-1.68%
2101.TW,-0.35%,-1.30%,+0.12%,-0.60%,+0.00%,+0.96%,+0.72%,+0.95%,-1.17%,-0.36%
1612.TW,-1.47%,+0.74%,+1.11%,-0.91%,-0.92%,-2.79%,+1.72%,+1.13%,-2.05%,+0.95%
00685L.TW,-0.45%,-2.06%,+0.64%,+1.46%,+0.00%,+6.37%,-0.17%,+0.17%,+0.84%,-0.84%
6446.TW,-1.41%,+0.16%,-0.32%,+0.32%,-1.75%,+0.65%,+1.12%,+1.43%,+2.66%,+0.46%
2374.TW,-0.61%,+1.02%,+0.00%,-1.41%,-2.24%,+0.63%,+7.47%,+0.00%,-1.16%,+0.98%
1443.TW,+0.52%,-1.21%,+0.53%,+0.00%,+0.35%,-0.52%,-0.52%,+0.53%,-0.35%,+0.00%
2025.TW,+1.06%,+0.53%,+2.61%,+1.27%,+9.18%,+4.95%,-1.21%,+9.44%,+2.03%,-3.98%
6141.TW,-0.60%,-0.30%,+0.61%,-0.60%,+0.30%,-0.61%,+2.44%,+9.82%,-3.25%,+0.56%
5243.TW,+0.00%,-0.53%,-1.43%,-1.09%,-1.28%,-0.56%,+3.17%,+0.90%,-0.90%,+0.54%
2303.TW,+0.30%,-1.21%,+0.10%,-1.02%,-0.93%,+2.29%,-0.71%,+0.61%,+0.20%,-1.52%
4968.TW,-2.56%,+4.68%,-1.68%,+6.82%,-3.99%,+9.97%,+9.82%,+1.83%,+0.00%,+3.60%
2417.TW,-0.58%,-1.03%,-1.04%,+1.20%,-2.08%,+0.76%,+4.36%,+1.73%,-0.57%,-0.14%
2402.TW,-0.87%,-0.87%,-0.74%,+1.93%,-1.16%,+1.47%,+3.77%,-0.42%,-0.98%,-0.57%
2351.TW,-1.43%,-0.97%,-0.49%,+0.49%,-0.98%,+0.00%,+2.46%,+1.92%,-2.36%,+1.45%
2420.TW,-0.63%,+0.11%,+0.21%,-0.10%,+0.31%,+1.46%,+1.34%,+0.20%,+0.61%,+1.92%
911622.TW,+0.00%,+0.79%,+0.00%,+0.00%,-0.78%,+0.00%,+0.79%,+0.78%,-0.19%,-0.78%
8222.TW,+2.98%,+0.97%,+0.53%,+0.95%,-0.42%,-1.05%,+3.08%,-0.93%,-2.08%,-0.85%
6658.TW,-0.79%,+3.77%,-1.32%,-0.45%,-1.46%,-1.02%,+0.00%,-1.26%,-0.47%,+0.93%
2497.TW,-0.67%,-0.84%,-1.53%,-0.52%,-1.38%,+0.70%,+1.39%,+1.03%,-1.87%,+0.69%
2059.TW,+4.41%,-2.35%,+1.44%,+2.84%,-6.91%,+9.90%,+6.31%,+1.27%,+2.09%,+5.33%
