股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-0.73%,-1.03%,-0.60%,+1.65%,-1.33%,-1.33%,-0.45%,+1.95%,+2.51%,+0.29%
8261.TW,+0.44%,-0.66%,+0.00%,+0.44%,+2.42%,+2.42%,+2.37%,+0.21%,+0.21%,+0.00%
6205.TW,+0.27%,-0.55%,+1.65%,-1.36%,+0.14%,+0.14%,+0.14%,-0.55%,+1.24%,-0.14%
1789.TW,-5.95%,-3.37%,-0.63%,+2.02%,+0.21%,+0.21%,-0.31%,+1.77%,+0.20%,-1.02%
911608.TW,+0.00%,-1.31%,+6.30%,-1.72%,-2.86%,-2.86%,-1.63%,+1.33%,-2.62%,+1.52%
3044.TW,+1.33%,-1.60%,+0.44%,-0.15%,+1.03%,+1.03%,-2.04%,+1.04%,+2.80%,-0.72%
3011.TW,-0.91%,-0.46%,-0.46%,-0.93%,-0.47%,-0.47%,-0.94%,-4.29%,+5.47%,+0.94%
4961.TW,-0.55%,+0.34%,-0.86%,-2.13%,-2.11%,-2.11%,+0.38%,+0.06%,+0.32%,-0.73%
2012.TW,+0.35%,+0.00%,+0.00%,+0.34%,+0.34%,+0.34%,+0.00%,+0.68%,-0.34%,+0.34%
8114.TW,-0.34%,-0.69%,-0.69%,+1.75%,+0.00%,+0.00%,+0.34%,-1.03%,+1.04%,+4.45%
8028.TW,+2.59%,+0.05%,-1.40%,-0.44%,-3.04%,-3.04%,-0.29%,+2.10%,-1.34%,+0.08%
6443.TW,-3.03%,-6.88%,+6.71%,+2.08%,+13.86%,+13.86%,-5.84%,-2.76%,+4.96%,+1.41%
1802.TW,+0.00%,-0.21%,-0.64%,+0.43%,-0.64%,-0.64%,+0.22%,+0.65%,+0.64%,-0.21%
9938.TW,+0.88%,-0.18%,-1.41%,-1.07%,+4.50%,+4.50%,+0.34%,-2.06%,+6.84%,+0.99%
2408.TW,+2.85%,-0.63%,+0.00%,-0.76%,-0.89%,-0.89%,+0.39%,-0.26%,-0.13%,+1.93%
2504.TW,-1.41%,-0.48%,-0.48%,+0.00%,+0.48%,+0.48%,-0.96%,+0.48%,+0.00%,+0.00%
2395.TW,+1.44%,-1.42%,+1.23%,-1.42%,-0.82%,-0.82%,+0.21%,-0.21%,+2.29%,-0.41%
3050.TW,-0.28%,-0.14%,+0.00%,+0.00%,+0.14%,+0.14%,-0.71%,+0.00%,+0.29%,-0.57%
6176.TW,-1.44%,-2.44%,-0.10%,-0.40%,+0.00%,+0.00%,-1.01%,+1.52%,+2.00%,+0.00%
