股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+0.92%,+1.53%,-1.35%,-0.46%,+0.15%,+4.28%,+1.76%,+1.87%,+1.70%,-0.42%
8261.TW,-1.51%,+1.97%,-0.32%,-1.72%,-1.10%,+8.08%,+0.72%,+3.76%,+1.57%,-1.35%
6205.TW,-1.75%,+2.41%,+2.73%,-0.24%,+0.36%,+4.58%,+0.69%,+1.37%,+0.34%,+0.00%
1789.TW,+2.69%,+0.00%,-0.81%,+1.02%,+0.60%,+0.00%,+2.40%,+0.78%,+2.52%,-1.32%
911608.TW,-0.27%,-2.20%,+1.12%,-0.28%,-2.23%,+5.98%,+9.95%,-0.73%,+0.25%,+0.00%
3044.TW,+0.39%,+0.00%,-2.71%,+1.20%,+1.97%,+1.93%,+1.52%,+0.00%,+1.49%,-2.21%
3011.TW,+0.94%,+0.77%,-1.38%,-0.47%,-0.78%,+1.57%,+2.33%,+0.00%,+1.06%,+2.55%
00876.TW,-0.15%,+2.47%,+0.64%,-1.41%,+0.21%,+5.89%,-1.21%,-0.72%,+1.48%,-1.05%
00676R.TW,-1.68%,-2.44%,+0.00%,+0.75%,-0.99%,-3.76%,-0.78%,+0.79%,-0.52%,-0.52%
4961.TW,+2.76%,+1.92%,+9.77%,+7.53%,+9.87%,+9.86%,+9.76%,-0.72%,-4.12%,+4.04%
2012.TW,+1.43%,+0.56%,-0.28%,+0.00%,+0.85%,+1.12%,+2.21%,+1.62%,-1.06%,+4.57%
8114.TW,-0.52%,-0.26%,+1.44%,+0.00%,+0.13%,-0.26%,+0.26%,-0.77%,+1.04%,-0.13%
8028.TW,-2.07%,+0.70%,-1.40%,-0.51%,-0.20%,+6.01%,+0.58%,+1.72%,+3.01%,+0.36%
6443.TW,+1.31%,+1.13%,+9.92%,-2.33%,-0.15%,+5.07%,+0.14%,+4.68%,+2.71%,-2.24%
2748.TW,+0.38%,+0.00%,+0.51%,-0.76%,+1.40%,+1.64%,+1.11%,-0.12%,+5.02%,+1.17%
6525.TW,+0.00%,+1.04%,+0.44%,-1.91%,+1.49%,+5.89%,+9.87%,+4.18%,-0.36%,-2.80%
1802.TW,+1.57%,+3.40%,+0.90%,+0.30%,+0.00%,+5.01%,+2.25%,+0.82%,+2.18%,+3.73%
9938.TW,-0.77%,+4.81%,+0.62%,+0.99%,-1.22%,+3.46%,+2.15%,+2.34%,-2.17%,+1.28%
00635U.TW,+0.96%,-0.36%,-0.80%,-1.05%,-1.22%,-0.49%,-0.45%,-0.79%,+0.92%,+1.37%
2408.TW,+8.01%,+0.70%,-0.69%,+0.35%,+0.12%,+3.69%,+0.00%,+3.45%,+4.41%,+1.34%
2504.TW,+1.20%,+4.73%,-1.13%,-0.68%,+3.22%,+0.45%,+3.33%,-0.21%,+4.09%,+2.07%
5546.TW,+1.10%,-0.12%,-0.24%,-2.06%,+0.99%,+1.96%,+1.20%,-0.12%,-0.47%,-0.24%
2395.TW,+0.00%,+1.73%,+0.57%,+0.14%,-1.41%,+6.15%,-0.27%,-0.41%,+0.41%,+0.54%
3050.TW,-3.04%,+2.82%,+3.96%,-3.23%,-1.21%,+3.99%,+2.36%,+4.90%,+4.95%,-3.14%
6591.TW,-1.54%,+2.43%,-0.85%,-1.88%,-1.92%,+8.53%,+0.65%,+1.79%,+2.40%,-0.62%
6176.TW,-0.87%,+1.32%,+0.87%,+0.86%,-0.85%,+0.86%,+0.00%,+1.70%,-0.42%,-0.84%
00757.TW,-0.46%,+3.11%,+1.60%,-0.53%,+2.01%,+6.38%,-1.17%,-1.64%,+1.56%,-1.83%
2101.TW,+0.66%,+1.18%,+0.13%,-1.17%,-0.13%,+9.99%,+1.91%,+1.06%,-0.81%,+0.82%
1612.TW,-0.31%,+1.54%,-0.30%,+0.30%,+1.82%,+5.95%,+0.84%,+3.62%,+4.03%,+1.29%
00685L.TW,+3.32%,+5.41%,-0.03%,-1.88%,+2.15%,+7.11%,+1.22%,-1.97%,+2.01%,+0.52%
6446.TW,-0.99%,+0.00%,+4.33%,+1.17%,+2.63%,+0.92%,+4.67%,+8.74%,+4.02%,-2.15%
2374.TW,-1.04%,-0.35%,+0.00%,+0.35%,+0.00%,-0.35%,+2.46%,+3.44%,+1.00%,-0.33%
1443.TW,-0.90%,+0.46%,+0.91%,-0.45%,+0.45%,+1.80%,+2.21%,-0.43%,+1.30%,+0.00%
2025.TW,-1.98%,+3.64%,-7.03%,-2.94%,-2.60%,+9.78%,+9.72%,+6.27%,+0.69%,-2.76%
6141.TW,+0.18%,+1.26%,-1.42%,+0.18%,-0.72%,+6.72%,+6.12%,+0.64%,+3.18%,+7.41%
5243.TW,-3.13%,+5.65%,-1.83%,-1.09%,-0.94%,+0.32%,+1.27%,+3.60%,+1.96%,-0.59%
2303.TW,+1.60%,+3.54%,-1.14%,-0.19%,+1.93%,+8.88%,+1.04%,-1.72%,-0.70%,-1.76%
4968.TW,-2.66%,+5.29%,-0.69%,-1.40%,+3.89%,+2.73%,+0.33%,-2.31%,+0.17%,-2.70%
2417.TW,+1.77%,+2.06%,-2.13%,-0.33%,-1.63%,-3.65%,+2.87%,+0.89%,+2.44%,+1.73%
2402.TW,-2.47%,+2.53%,+0.31%,+1.54%,+0.30%,+2.11%,+1.78%,+2.03%,+1.42%,+0.56%
2351.TW,-1.44%,+0.61%,-1.58%,+0.00%,-1.60%,+7.88%,+4.41%,+0.22%,+3.99%,-4.05%
2420.TW,+0.31%,+0.77%,+0.15%,-0.61%,+0.93%,+0.76%,+1.52%,+0.45%,+0.60%,+0.89%
911622.TW,-0.25%,+0.00%,+0.00%,+0.00%,+0.00%,+0.25%,+7.36%,-3.55%,+0.98%,+2.18%
8222.TW,-1.22%,+2.88%,-1.20%,-0.40%,+0.00%,+0.81%,+0.40%,+1.20%,+0.79%,+2.36%
2497.TW,-3.97%,+5.90%,-1.11%,-1.13%,+2.85%,-5.26%,+1.90%,+1.72%,+6.06%,+1.99%
2059.TW,+0.17%,+1.17%,+0.33%,+0.33%,-0.66%,+3.96%,+1.59%,+0.94%,-1.08%,+0.78%
3030.TW,-0.18%,+2.53%,+0.35%,+0.88%,+0.00%,+1.22%,-0.17%,+0.17%,+0.86%,+0.68%
1786.TW,-0.38%,+1.52%,+5.60%,+0.35%,-1.06%,-2.31%,+0.55%,+2.54%,+2.83%,-1.20%
9802.TW,+0.00%,+3.65%,-1.76%,-2.24%,+0.46%,+3.65%,+1.76%,+0.43%,+0.86%,+0.85%
3022.TW,-0.79%,+1.40%,+0.59%,-0.78%,+0.20%,+0.98%,+0.78%,+1.74%,+0.76%,+0.00%
5906.TW,-0.31%,+1.46%,+0.00%,-2.98%,+0.85%,+0.10%,+0.94%,+0.42%,-1.55%,-0.32%
00641R.TW,-1.11%,-0.60%,-1.39%,+0.26%,-1.23%,-4.08%,+1.02%,+0.64%,-0.73%,+0.27%
2412.TW,+0.93%,+0.00%,+0.00%,-0.92%,+0.46%,+0.00%,+0.00%,+0.46%,-0.46%,+0.92%
2428.TW,+1.71%,+1.40%,-0.28%,+2.22%,+3.26%,+6.05%,-1.49%,+1.76%,+3.71%,-1.43%
4536.TW,-0.36%,+3.93%,-1.72%,-0.70%,+1.06%,+3.48%,-0.34%,+4.73%,-1.61%,+0.00%
2901.TW,-0.43%,+0.22%,+0.21%,-0.21%,+0.21%,+0.86%,-0.21%,+0.21%,+0.21%,+1.48%
3231.TW,-0.48%,+0.16%,-0.16%,-1.13%,+0.16%,+0.65%,-0.65%,+1.14%,+0.48%,+1.60%
2464.TW,-0.85%,+2.70%,-0.60%,+0.00%,+0.72%,+1.31%,+2.24%,+0.12%,+0.00%,+1.61%
2884.TW,+1.27%,+0.84%,-0.62%,+0.21%,+0.42%,+2.49%,+0.81%,+0.00%,-0.20%,+1.61%
2007.TW,+8.68%,+5.60%,-5.30%,-2.03%,+1.22%,+2.16%,+2.24%,-1.84%,+3.17%,+5.23%
6116.TW,+1.65%,+0.81%,+5.24%,-0.38%,-1.15%,-0.78%,+0.00%,+1.96%,+1.92%,+1.13%
2453.TW,-0.89%,-0.30%,+0.30%,+0.30%,-0.60%,+1.80%,+2.35%,+0.29%,+1.15%,-0.28%
9958.TW,+3.48%,-0.96%,-0.97%,+2.94%,-1.43%,+4.35%,+1.39%,+1.83%,+3.14%,+0.43%
006208.TW,+2.24%,+2.86%,+0.06%,-0.71%,+0.98%,+4.12%,-0.12%,-0.93%,-0.06%,-0.38%
3055.TW,+0.51%,+0.85%,+1.52%,-0.17%,+0.33%,+2.00%,+0.49%,+1.30%,+0.80%,+0.00%
2722.TW,-5.00%,-1.32%,+0.00%,-0.38%,-0.19%,+0.38%,+0.38%,-1.14%,+6.73%,+6.31%
2885.TW,+1.51%,+2.23%,+0.97%,-0.48%,+1.20%,+1.90%,+0.00%,-0.47%,+0.00%,+1.64%
4119.TW,+1.67%,-1.09%,-0.77%,+0.22%,+0.00%,+0.33%,+2.00%,+1.74%,+2.56%,-0.73%
2929.TW,-1.17%,+7.51%,-4.41%,-4.62%,+2.42%,-2.36%,+1.21%,+0.40%,+2.78%,+9.65%
6645.TW,-1.52%,-1.99%,-3.15%,+1.05%,+0.46%,-8.48%,+1.13%,+9.28%,+0.00%,-0.34%
00881.TW,+1.78%,+2.45%,+0.40%,-0.91%,+0.86%,+2.95%,+0.22%,-0.72%,+0.22%,-0.44%
1717.TW,+2.41%,-0.44%,-0.88%,+0.00%,+0.15%,+1.93%,+1.90%,+0.72%,+0.00%,+0.43%
4763.TW,-0.42%,+0.00%,+0.42%,-0.42%,+0.00%,+2.93%,+1.22%,-0.80%,+1.62%,+0.00%
2535.TW,+0.20%,+0.00%,+0.60%,-0.20%,+0.60%,+2.20%,+0.98%,-0.19%,+0.97%,+0.58%
