股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.84%,+0.60%,-0.60%,-0.60%,+0.00%,+0.00%,+5.76%,-1.72%,+1.75%,-0.86%
8261.TW,-0.72%,+1.21%,-0.96%,+0.00%,+0.97%,+0.97%,+3.11%,+0.00%,+0.00%,+0.00%
6205.TW,+5.00%,+0.37%,-0.73%,-0.74%,+0.00%,+0.00%,+0.00%,-0.56%,+1.12%,-0.55%
1789.TW,+2.42%,+3.43%,-1.71%,-1.05%,-0.59%,-0.59%,+3.43%,-0.91%,+0.46%,+0.00%
911608.TW,-4.76%,-1.56%,-1.59%,+0.00%,+0.00%,+0.00%,+7.10%,-9.94%,+4.35%,+0.00%
3044.TW,-0.71%,+0.36%,-0.18%,+1.61%,-0.53%,-0.53%,+1.06%,+0.18%,+0.35%,+0.87%
3011.TW,-0.37%,+0.00%,+0.00%,-3.09%,+0.25%,+0.25%,-0.38%,+0.13%,+0.00%,+1.27%
4961.TW,+0.31%,-0.03%,+0.18%,-0.77%,+0.00%,+0.00%,+0.03%,+3.99%,+0.03%,+0.24%
2012.TW,-0.37%,+0.74%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+1.48%,-1.09%
8114.TW,+0.00%,-0.32%,+0.95%,+0.31%,+0.31%,+0.31%,+1.25%,+0.62%,+0.00%,+0.61%
8028.TW,-0.95%,-1.42%,-1.30%,-0.52%,+0.52%,+0.52%,+0.94%,+0.65%,+0.28%,-0.14%
6443.TW,+2.16%,+2.82%,-1.37%,-1.39%,+0.70%,+0.70%,+2.10%,+4.79%,-0.33%,+1.64%
2748.TW,+0.00%,+3.00%,-4.94%,-0.02%,+0.00%,+0.00%,+0.60%,+0.00%,-0.60%,+0.00%
6525.TW,-0.83%,+3.52%,-1.78%,-1.65%,+3.36%,+3.36%,+2.27%,-0.16%,+0.64%,-3.00%
1802.TW,-0.75%,+0.00%,-0.76%,-0.76%,+0.00%,+0.00%,+2.69%,+0.00%,+0.00%,+1.50%
9938.TW,-0.11%,-0.33%,-0.55%,-0.67%,+0.00%,+0.00%,+3.59%,-1.95%,-0.55%,+0.67%
00635U.TW,+0.72%,+0.19%,-0.14%,-1.51%,-0.19%,-0.19%,-0.05%,-0.82%,-1.36%,+0.10%
2408.TW,+0.25%,-1.50%,-1.78%,-1.03%,+2.09%,+2.09%,+1.53%,-0.63%,-1.65%,+0.26%
2504.TW,+5.45%,+1.53%,-1.39%,-2.00%,+1.20%,+1.20%,+1.54%,-0.58%,+0.47%,+0.23%
2395.TW,+1.80%,+1.33%,+0.00%,-0.44%,-1.32%,-1.32%,+3.78%,-0.86%,+2.16%,+0.21%
3050.TW,+0.11%,+0.55%,+0.22%,-0.54%,+0.22%,+0.22%,+2.40%,+2.45%,+2.81%,+1.32%
6176.TW,+0.66%,+2.85%,-0.85%,+0.75%,-0.53%,-0.53%,+5.36%,+0.41%,-1.42%,+1.13%
2101.TW,+0.19%,-1.11%,+2.25%,-2.01%,-2.06%,-2.06%,+3.44%,+3.32%,-1.79%,-0.91%
1612.TW,-0.84%,-1.70%,-0.25%,+0.00%,-0.12%,-0.12%,+0.87%,-0.49%,+0.37%,-0.12%
6446.TW,+1.74%,+1.18%,-1.22%,-0.68%,+0.96%,+0.96%,+3.66%,+1.34%,+2.86%,-3.15%
2374.TW,-4.66%,+2.93%,+0.00%,-0.63%,+0.96%,+0.96%,+1.89%,-1.24%,+1.88%,+1.54%
1443.TW,+0.00%,+0.00%,+0.00%,+0.00%,-2.00%,-2.00%,+2.04%,-0.20%,-4.81%,+6.32%
2025.TW,-2.73%,-4.67%,-1.96%,-0.50%,-9.55%,+10.00%,+9.60%,+9.68%,-4.62%,+1.32%
6141.TW,-3.77%,+1.77%,-0.87%,+0.00%,+0.50%,+0.50%,+0.25%,-1.12%,-1.26%,+0.13%
5243.TW,+0.48%,+0.63%,-0.94%,+1.11%,+1.57%,+1.57%,+2.62%,-1.65%,+6.88%,-1.57%
2303.TW,+1.33%,+0.87%,+0.00%,-0.43%,+0.43%,+0.43%,+2.16%,+0.00%,+1.69%,+0.83%
4968.TW,-0.85%,+1.54%,+1.35%,-1.99%,+1.69%,+1.69%,+2.50%,-0.81%,-0.82%,+8.76%
2417.TW,-1.31%,+2.05%,+1.30%,-0.82%,-0.82%,-0.82%,+1.54%,+0.00%,+0.35%,+1.98%
2402.TW,+0.38%,+1.53%,-1.50%,-1.15%,+1.16%,+1.16%,+3.44%,+0.00%,+0.74%,-0.37%
2351.TW,+2.67%,-0.14%,-1.45%,-0.59%,+0.59%,+0.59%,+2.93%,+1.71%,+0.42%,+0.42%
2420.TW,-1.95%,+1.99%,-0.78%,-1.18%,+0.80%,+0.80%,+3.56%,-0.51%,+0.77%,-0.76%
911622.TW,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
8222.TW,+4.91%,+0.32%,+0.32%,+0.32%,-1.12%,-1.12%,+3.39%,-0.63%,-1.42%,+2.07%
2497.TW,+0.00%,+1.34%,+0.50%,-1.32%,-0.50%,-0.50%,+2.18%,-1.64%,+1.17%,+9.88%
2059.TW,+3.24%,-0.14%,+0.14%,-1.14%,-0.87%,-0.87%,+1.02%,-0.72%,-1.16%,+1.32%
3030.TW,+0.00%,-0.67%,-0.23%,+0.11%,-1.01%,-1.01%,+2.51%,+0.22%,+0.55%,+0.99%
1786.TW,+6.41%,-1.69%,+0.00%,-1.34%,+0.19%,+0.19%,+1.36%,-1.34%,+2.33%,-1.89%
9802.TW,+0.37%,+3.69%,+0.00%,-1.96%,+2.54%,+2.54%,+2.48%,+2.76%,-0.84%,+1.02%
3022.TW,+1.98%,+0.69%,+0.28%,-0.27%,+0.55%,+0.55%,+1.23%,+1.08%,+0.13%,+0.13%
5906.TW,+0.00%,+3.29%,-0.91%,-7.80%,+0.00%,+0.00%,+0.00%,+0.00%,-2.99%,+1.03%
00641R.TW,+0.52%,-0.94%,-0.24%,-0.29%,-0.24%,-0.24%,+0.24%,+0.81%,-1.28%,-0.14%
2412.TW,-1.34%,+0.00%,+0.45%,-1.35%,+0.46%,+0.46%,+0.00%,+0.45%,+0.00%,-0.45%
2428.TW,-2.05%,+0.00%,-0.42%,-1.05%,-0.64%,-0.64%,+2.78%,-0.83%,+0.84%,+0.31%
