股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.77%,+2.23%,-0.24%,-0.73%,+0.49%,+0.49%,+0.00%,-2.20%,+9.98%,+1.36%
8261.TW,+0.93%,+1.38%,-0.91%,+1.38%,+1.81%,+1.81%,+2.22%,+0.00%,+2.61%,+0.89%
6205.TW,-1.61%,+0.88%,-1.13%,-2.03%,-0.90%,-0.90%,-0.78%,-4.07%,+1.64%,-2.83%
1789.TW,+0.89%,+0.66%,+0.66%,-1.30%,+0.22%,+0.22%,+0.22%,-1.10%,+1.77%,-1.31%
911608.TW,-3.96%,+0.63%,+0.00%,-1.26%,-1.28%,-1.28%,-1.29%,+0.00%,-0.98%,-1.32%
3044.TW,+0.85%,-1.69%,-0.43%,+0.00%,+0.86%,+0.86%,+0.00%,-0.85%,+0.00%,+0.00%
3011.TW,+0.52%,-0.78%,-0.79%,+0.53%,-3.41%,-3.41%,-3.26%,-1.12%,+0.57%,-1.41%
00876.TW,+1.77%,+0.26%,+2.11%,-2.40%,+0.68%,+0.68%,+0.04%,-0.86%,-0.46%,-0.76%
00676R.TW,-0.28%,-1.13%,-1.14%,+2.02%,-1.13%,-1.13%,-0.29%,+1.15%,-1.13%,+1.15%
4961.TW,-2.22%,+3.40%,+3.56%,+0.26%,-1.32%,-1.32%,-3.48%,-3.32%,+1.72%,-2.25%
2012.TW,-0.36%,+2.73%,-0.88%,-1.43%,+1.45%,+1.45%,+0.00%,+0.00%,+0.36%,+1.25%
8114.TW,+0.87%,+1.73%,+0.43%,+1.27%,-0.84%,-0.84%,+4.22%,-4.45%,+4.24%,+0.41%
8028.TW,+0.75%,+4.47%,+2.85%,+4.16%,+0.67%,+0.67%,+0.33%,-0.82%,+9.97%,-1.36%
6443.TW,-4.50%,+5.57%,+0.81%,-1.88%,+0.96%,+0.96%,+1.63%,-4.93%,+0.70%,-1.53%
2748.TW,+0.51%,+0.38%,-0.13%,-0.38%,+0.13%,+0.13%,-0.25%,+0.00%,+0.25%,-0.13%
6525.TW,+0.50%,+1.87%,+0.98%,-0.36%,+0.97%,+0.97%,+0.72%,-2.27%,+1.22%,-0.48%
1802.TW,+0.49%,+0.73%,+2.16%,-0.94%,+0.24%,+0.24%,+0.47%,-1.18%,+0.95%,-1.18%
9938.TW,+0.61%,+1.21%,-0.15%,-1.05%,-0.45%,-0.45%,+0.76%,-0.90%,-0.46%,-1.83%
00635U.TW,-1.07%,+0.88%,-0.70%,+0.17%,+1.62%,+1.62%,+0.53%,+0.08%,+0.16%,-0.89%
2408.TW,+2.14%,+0.15%,+0.30%,-0.45%,-0.15%,-0.15%,-0.60%,-3.16%,+0.62%,-1.85%
2504.TW,+0.76%,+1.69%,+0.55%,-3.31%,+0.00%,+0.00%,+0.38%,-0.19%,-0.19%,+1.33%
5546.TW,+0.00%,+0.18%,-1.08%,-2.00%,+3.34%,+3.34%,+1.26%,-0.71%,+0.00%,+0.00%
2395.TW,+3.53%,-0.14%,+2.14%,+1.81%,-0.27%,-0.27%,-1.51%,-2.65%,+1.15%,-0.57%
