股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.21%,+3.35%,-0.46%,+1.16%,-2.30%,+0.71%,+2.80%,+1.36%,-0.67%,+0.68%
8261.TW,+0.95%,+4.95%,+2.25%,+0.00%,+0.22%,+0.22%,+2.84%,+2.13%,+1.46%,+1.85%
6205.TW,+0.19%,+0.19%,+8.37%,+1.40%,-2.42%,+4.26%,+1.53%,-2.35%,+1.03%,-1.36%
1789.TW,+1.13%,+1.73%,+0.60%,-0.89%,+0.90%,-2.49%,+6.42%,+1.92%,+5.45%,-1.43%
911608.TW,-2.86%,-3.48%,+0.00%,+6.93%,-6.74%,+8.33%,+0.00%,-2.82%,-5.01%,-8.06%
3044.TW,+0.00%,+1.87%,+1.47%,-0.18%,-0.54%,+1.82%,+2.86%,-1.74%,-0.88%,+1.60%
3011.TW,+0.42%,+0.56%,+0.56%,-0.14%,-1.26%,+2.40%,+1.10%,-0.55%,+0.27%,+0.82%
4961.TW,-1.09%,+0.00%,+1.00%,+1.35%,+0.28%,+1.23%,+2.98%,-1.50%,-0.05%,-0.60%
2012.TW,+0.00%,-1.07%,+0.72%,-0.36%,+0.72%,-0.36%,-0.36%,+0.36%,+0.36%,-1.43%
8114.TW,-3.82%,+3.97%,-0.96%,-0.32%,+0.00%,+0.00%,+0.00%,-1.29%,+1.31%,-0.32%
8028.TW,-0.98%,-0.15%,+0.94%,-0.34%,+0.99%,+0.54%,+0.05%,-0.44%,+1.41%,+6.20%
6443.TW,-0.36%,+0.36%,+0.36%,-1.77%,-0.72%,+2.55%,+9.93%,+10.00%,+3.23%,+3.69%
2748.TW,+0.74%,+0.00%,+0.00%,-0.44%,-0.28%,-0.01%,+1.48%,+2.01%,-0.83%,+0.00%
1802.TW,+0.00%,+0.42%,+0.42%,+0.00%,-0.42%,-0.84%,+2.54%,+1.24%,+0.82%,+0.40%
9938.TW,+2.69%,+2.87%,-2.31%,-2.24%,-0.13%,+2.54%,-2.61%,+0.64%,+1.27%,-0.38%
00635U.TW,+0.16%,-0.69%,+0.43%,+0.37%,+0.48%,+6.92%,-1.88%,+1.36%,+0.20%,+1.39%
2408.TW,-2.64%,+2.32%,-0.38%,-1.39%,-2.18%,-0.26%,+1.97%,+0.90%,+0.00%,+1.92%
2504.TW,+0.80%,+1.86%,-0.26%,+0.39%,-1.04%,-0.92%,+2.12%,+1.17%,+0.39%,+0.26%
2395.TW,-2.65%,-1.73%,+4.28%,+2.17%,-2.60%,+0.49%,-0.72%,+0.49%,+2.42%,+1.89%
3050.TW,+0.65%,+0.39%,+1.15%,-0.63%,-0.89%,-2.83%,+3.57%,+1.15%,-0.88%,+0.38%
6176.TW,+1.01%,+6.31%,+0.47%,-1.24%,-0.79%,-0.48%,+4.63%,-0.30%,-0.46%,+0.61%
