股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+5.48%,+7.11%,-2.27%,-2.81%,+3.92%,+6.72%,-1.23%,+5.44%,-1.77%,+1.65%
8261.TW,+0.00%,-0.37%,-1.48%,+1.12%,+0.93%,+1.28%,-1.09%,+7.33%,+9.90%,+5.59%
6205.TW,-0.18%,+0.18%,+0.00%,+0.55%,-0.54%,-0.73%,+0.73%,+3.64%,-1.75%,-0.36%
1789.TW,+1.58%,+0.62%,-0.31%,-1.39%,+0.78%,-0.16%,-0.47%,-0.31%,+5.97%,-1.93%
911608.TW,+0.00%,+0.00%,-5.62%,+0.66%,-1.32%,-2.67%,-9.59%,-6.82%,+0.00%,+0.00%
3044.TW,+0.00%,-1.98%,-1.30%,+0.24%,-1.08%,-0.24%,+3.65%,-2.23%,+1.68%,+0.71%
3011.TW,+0.00%,+9.98%,-3.14%,-3.93%,+0.36%,+0.72%,-0.12%,+0.12%,-1.19%,-1.45%
00676R.TW,-0.90%,+0.65%,-0.13%,+0.13%,+0.13%,-1.16%,+0.26%,+0.39%,-0.52%,-0.13%
4961.TW,+6.27%,-3.14%,-1.17%,-1.77%,+3.40%,+2.87%,+6.71%,-2.73%,-1.18%,+8.53%
2012.TW,-0.49%,-0.74%,+0.50%,+0.00%,-0.74%,+1.00%,-0.50%,-0.25%,+0.25%,+0.00%
8114.TW,+0.00%,-0.42%,+0.84%,+0.00%,-0.41%,+0.83%,+0.41%,-1.23%,+0.00%,-0.42%
8028.TW,+0.03%,-0.78%,+1.69%,+0.52%,-0.09%,-0.20%,-0.14%,-1.69%,-0.64%,+0.03%
6443.TW,+3.27%,-3.62%,-2.35%,-0.96%,+0.49%,-0.48%,+0.49%,+0.00%,+1.93%,-1.42%
2748.TW,-1.21%,-0.35%,-0.70%,-1.76%,+0.36%,+0.36%,+1.07%,-0.53%,+1.06%,-0.53%
6525.TW,-1.77%,+0.00%,+0.39%,-1.16%,-0.52%,+5.23%,-1.86%,-1.14%,+0.51%,+0.38%
1802.TW,+4.24%,-2.04%,-0.52%,-0.52%,+0.00%,-0.79%,-1.85%,-1.62%,+0.00%,-0.82%
9938.TW,-2.39%,+1.22%,-3.36%,+0.14%,-1.66%,+0.56%,+0.14%,+0.42%,-0.70%,-1.12%
00635U.TW,-0.05%,-0.59%,-1.34%,-0.15%,-0.30%,-0.10%,+0.15%,+0.20%,+0.30%,+0.35%
2408.TW,-0.31%,+0.21%,+7.33%,-0.98%,-2.56%,+0.10%,-1.82%,+2.16%,+2.72%,-1.47%
2504.TW,-0.51%,-0.62%,-1.34%,+0.00%,+0.31%,+0.42%,+0.00%,-0.10%,-0.73%,-0.10%
2395.TW,+0.00%,-1.44%,+1.95%,-1.43%,-0.24%,+1.46%,-0.24%,-0.48%,+0.24%,+0.00%
3050.TW,+4.33%,+4.98%,-5.93%,-1.26%,-3.40%,+9.69%,-2.01%,-3.28%,-0.42%,-1.28%
6591.TW,-0.74%,+2.10%,-0.73%,-1.46%,-1.24%,+0.88%,-0.62%,+0.00%,+0.38%,-0.50%
6176.TW,+0.97%,-2.71%,-0.16%,+0.99%,-0.81%,+1.48%,-0.16%,+0.32%,+0.16%,-0.48%
