股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-6.26%,-1.30%,-3.76%,+2.34%,+0.76%,+0.76%,+0.76%,-2.26%,+0.38%,+0.38%
8261.TW,-4.26%,-1.62%,-1.65%,+2.93%,+2.64%,+2.64%,+0.40%,-2.96%,+4.27%,-1.56%
6205.TW,-0.20%,+0.40%,+0.40%,+0.00%,-0.80%,-0.80%,+2.42%,+2.17%,+0.19%,+0.58%
1789.TW,-4.26%,-1.90%,+4.53%,-0.77%,-0.94%,-0.94%,-0.16%,-1.26%,+5.11%,-1.98%
911608.TW,-3.23%,+0.83%,-0.83%,+1.67%,+0.00%,+0.00%,-1.64%,+1.67%,+0.00%,+0.82%
3044.TW,-3.07%,-0.90%,+0.46%,+0.45%,-1.36%,-1.36%,+0.92%,-1.36%,+2.76%,+2.24%
3011.TW,-0.74%,-1.68%,-1.33%,-1.73%,+9.98%,+9.98%,-0.18%,-3.39%,-1.85%,+0.19%
00676R.TW,+1.58%,-0.47%,+0.31%,-1.09%,+0.00%,+0.00%,-1.11%,+1.76%,-0.78%,-1.27%
4961.TW,-2.71%,-2.41%,-0.38%,+2.48%,+2.98%,+2.98%,+1.27%,-3.21%,+0.18%,+0.74%
2012.TW,-0.85%,-0.29%,+0.57%,+0.57%,-0.28%,-0.28%,+0.85%,-1.41%,-0.29%,+1.44%
8114.TW,-0.99%,-2.00%,-3.63%,-0.35%,+0.35%,+0.35%,+0.47%,-0.12%,-0.35%,+0.35%
8028.TW,-3.27%,-2.25%,-3.46%,+2.06%,+2.34%,+2.34%,+2.60%,-2.83%,+3.44%,+2.92%
6443.TW,-4.55%,-1.59%,-0.32%,+0.00%,+0.16%,+0.16%,+0.16%,-0.16%,+0.16%,+0.00%
2748.TW,-0.92%,-0.58%,+1.06%,+1.16%,+0.00%,+0.00%,+0.11%,-1.26%,+9.98%,+9.92%
6525.TW,-1.00%,-0.84%,-1.02%,+0.86%,+1.71%,+1.71%,+0.67%,-2.50%,+1.03%,+1.18%
1802.TW,-0.68%,-1.72%,+1.17%,+2.89%,-1.46%,-1.46%,+1.48%,-2.92%,+0.46%,+1.27%
9938.TW,-2.23%,-1.47%,+2.48%,+6.13%,+0.30%,+0.30%,+3.03%,-2.94%,+0.91%,+2.25%
00635U.TW,+0.70%,+1.23%,+1.62%,-1.76%,+0.89%,+0.89%,-0.60%,-0.61%,+0.04%,+0.12%
2408.TW,-4.61%,+0.17%,-2.66%,+1.20%,+1.18%,+1.18%,+1.50%,-2.30%,+0.51%,+1.68%
2504.TW,-2.15%,+1.10%,+1.81%,+1.42%,-0.35%,-0.35%,-0.35%,-1.77%,+0.00%,+2.88%
2395.TW,-1.74%,-1.77%,+0.54%,+3.04%,-1.04%,-1.04%,+0.70%,-3.48%,+2.17%,+2.47%
3050.TW,-0.97%,-4.12%,-1.94%,+0.73%,-0.93%,-0.93%,+0.00%,-1.78%,+0.21%,-1.27%
6591.TW,-4.68%,+2.63%,+0.56%,+6.19%,-3.13%,-3.13%,-0.65%,-2.27%,+7.64%,-0.31%
6176.TW,-2.02%,+0.10%,+0.72%,-0.41%,+1.95%,+1.95%,+4.52%,-3.37%,+1.99%,+0.00%
00757.TW,-1.87%,+0.80%,+2.87%,+2.20%,+0.61%,+0.61%,+1.46%,-1.23%,+1.07%,+0.63%
2101.TW,-2.55%,-0.26%,+0.39%,+1.31%,+2.45%,+2.45%,+1.51%,-2.36%,+3.30%,+0.74%
1612.TW,-4.76%,+0.00%,+1.00%,+0.00%,-0.99%,-0.99%,+0.50%,-0.70%,+0.20%,+0.50%
