股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+0.76%,+1.33%,+0.56%,-0.74%,-3.56%,-3.56%,+0.58%,-0.97%,+2.73%,+9.89%
8261.TW,+1.64%,+0.16%,-1.94%,-0.66%,+3.15%,+3.15%,+4.17%,-1.08%,+2.65%,+0.30%
6205.TW,+0.00%,+0.91%,+0.00%,+0.00%,+0.23%,+0.23%,+0.45%,+0.45%,+2.68%,+1.53%
1789.TW,-0.74%,-0.56%,-0.75%,+0.56%,-0.37%,-0.37%,+1.88%,-0.55%,+1.30%,-0.18%
911608.TW,-9.72%,-8.46%,-4.20%,+9.65%,+9.60%,+9.60%,+9.49%,+8.67%,-4.91%,+0.00%
3044.TW,+0.72%,-0.12%,-1.79%,-0.36%,+0.12%,+0.12%,+1.22%,+0.84%,+0.48%,+0.95%
3011.TW,+0.27%,-3.05%,+1.23%,-0.41%,+1.09%,+1.09%,+4.43%,-0.51%,-0.26%,-2.20%
00676R.TW,-1.00%,-0.25%,+0.89%,-0.38%,-0.63%,-0.63%,-0.76%,-0.13%,+0.26%,+0.38%
4961.TW,-0.27%,+1.61%,-0.53%,-0.40%,+0.53%,+0.53%,+1.46%,+9.66%,-2.74%,-2.82%
2012.TW,-2.86%,+0.25%,+0.49%,+0.49%,+0.00%,+0.00%,+0.97%,+1.44%,+0.00%,+0.47%
8114.TW,+0.96%,+1.43%,+0.00%,-0.47%,-0.94%,-0.94%,+1.90%,+1.87%,+0.92%,-0.45%
8028.TW,+1.92%,-0.54%,-0.14%,+3.11%,+9.97%,+9.97%,+4.42%,+2.74%,-0.56%,+0.22%
6443.TW,-0.46%,+0.00%,-0.76%,-0.62%,-1.70%,-1.70%,+0.00%,-7.72%,+1.54%,-2.18%
2748.TW,-0.16%,-0.48%,+0.16%,+0.48%,+0.16%,+0.16%,+0.00%,+0.00%,+0.16%,+0.16%
6525.TW,+0.57%,-0.71%,-2.14%,-0.87%,+3.24%,+3.24%,+1.57%,+0.14%,+0.70%,-1.39%
1802.TW,+0.38%,+0.77%,+0.00%,-0.76%,+0.38%,+0.38%,+0.00%,+0.76%,-0.38%,+0.00%
9938.TW,-0.74%,+1.94%,+1.46%,-0.14%,-3.17%,-3.17%,+4.02%,-1.15%,-0.72%,-3.65%
00635U.TW,+0.05%,+1.52%,+0.00%,+0.83%,-0.15%,-0.15%,-0.26%,+0.36%,-0.41%,+0.26%
2408.TW,+0.67%,+1.33%,-3.29%,+2.21%,-1.83%,-1.83%,+1.69%,+0.83%,+2.64%,-3.38%
2504.TW,+0.00%,+0.12%,+0.23%,+0.70%,+0.00%,+0.00%,+0.46%,+2.41%,-1.23%,-0.45%
