股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+1.39%,+4.47%,-1.64%,-0.33%,+0.00%,+0.00%,+9.73%,+8.26%,-5.37%,-2.99%
8261.TW,+2.73%,+4.97%,+0.55%,+0.77%,+0.65%,+0.65%,-0.43%,+0.33%,-0.22%,+0.43%
6205.TW,+3.23%,+1.23%,+0.00%,-0.27%,+1.21%,+1.21%,-0.40%,-0.80%,-0.13%,+0.68%
1789.TW,+0.23%,+3.15%,-1.09%,-0.66%,-0.89%,-0.89%,+0.22%,+1.79%,+0.66%,-0.44%
911608.TW,-0.57%,+1.15%,-0.28%,-0.85%,-0.57%,-0.57%,+0.58%,+0.86%,-1.42%,+0.58%
6924.TW,+0.00%,+0.00%,-2.65%,+3.30%,-0.99%,-0.99%,+0.44%,,,+1.13%
3044.TW,+0.00%,+1.03%,+1.02%,-0.25%,+0.25%,+0.25%,-1.01%,+1.02%,+0.25%,-0.25%
3011.TW,+0.28%,-1.12%,+0.57%,-1.13%,-1.42%,-1.42%,+1.16%,+10.00%,+0.52%,-2.33%
00876.TW,+1.13%,+1.62%,+0.33%,-0.15%,+0.51%,+0.51%,-0.46%,+0.03%,+0.26%,+0.66%
00676R.TW,-1.90%,-0.97%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
4961.TW,+1.55%,+0.65%,+0.00%,+0.87%,-1.50%,-1.50%,-0.22%,+1.75%,+0.00%,+0.00%
2012.TW,+1.00%,+0.40%,-1.38%,+5.40%,-3.23%,-3.23%,-1.18%,+1.98%,+0.39%,+1.16%
8114.TW,+3.29%,-0.16%,+0.96%,-3.32%,-1.96%,-1.96%,+5.68%,+0.00%,-2.37%,+0.49%
8028.TW,+2.15%,+2.10%,+0.82%,-0.41%,-1.23%,-1.23%,+0.83%,+9.88%,+5.24%,+3.20%
6443.TW,+1.47%,+2.32%,-1.42%,+0.86%,-1.42%,-1.42%,+0.29%,+3.17%,+3.35%,+0.54%
2748.TW,+0.50%,-0.66%,+2.00%,-0.82%,+0.00%,+0.00%,+0.66%,+0.16%,-0.33%,+0.16%
6525.TW,+2.78%,+1.28%,+0.28%,-0.14%,+0.00%,+0.00%,-1.26%,+1.14%,+0.00%,+0.00%
