股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+3.32%,+3.10%,-1.04%,+0.82%,-1.50%,-1.50%,-0.12%,+2.82%,+0.23%,+0.57%
8261.TW,-0.18%,-0.37%,+0.37%,+1.29%,-0.18%,-0.18%,-2.55%,-0.94%,+0.57%,+1.88%
6205.TW,+2.08%,-0.58%,+2.05%,+5.16%,-0.14%,-0.14%,+2.32%,+6.40%,+0.25%,+0.00%
1789.TW,-2.03%,-0.97%,+1.67%,-1.23%,+0.42%,+0.42%,-2.90%,+1.42%,+0.56%,-0.14%
911608.TW,-1.02%,+0.00%,+1.03%,-0.68%,-0.17%,-0.17%,+4.29%,+0.00%,+1.64%,+1.46%
3044.TW,+0.00%,-0.88%,-1.06%,-0.36%,+1.62%,+1.62%,+0.35%,+1.06%,+0.52%,+0.52%
3011.TW,-1.43%,+0.48%,-0.96%,+3.40%,-1.41%,-1.41%,-0.95%,+6.73%,+1.80%,-0.88%
4961.TW,-0.39%,-0.96%,-2.81%,-1.57%,+1.58%,+1.58%,+0.02%,+2.37%,-0.58%,-0.49%
2012.TW,-1.17%,+1.18%,+2.72%,+3.03%,-1.47%,-1.47%,+0.00%,+0.75%,+0.37%,+1.85%
8114.TW,-0.99%,+0.67%,-0.33%,+2.00%,+2.29%,+2.29%,+1.92%,+0.31%,+1.25%,+6.79%
8028.TW,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
1802.TW,+1.09%,-1.62%,-2.01%,-2.23%,+0.76%,+0.76%,-0.38%,+0.57%,+0.00%,-0.38%
9938.TW,-2.93%,+1.44%,+0.26%,+2.45%,+2.77%,+2.77%,+1.71%,+1.44%,-0.71%,+6.93%
2408.TW,-1.50%,-6.95%,+4.19%,-0.35%,+0.18%,+0.18%,+0.70%,+2.61%,+1.86%,+5.49%
2504.TW,-0.47%,+0.47%,+0.00%,-0.47%,-0.94%,-0.94%,+0.48%,-0.47%,+0.00%,-0.48%
2395.TW,+2.54%,+0.25%,+0.00%,+1.98%,-0.24%,-0.24%,+0.24%,+0.97%,+0.96%,+0.24%
3050.TW,+0.15%,+2.79%,+0.29%,+0.85%,-0.85%,-0.85%,+0.14%,+0.28%,+0.43%,+0.28%
6176.TW,+0.86%,+2.56%,+1.67%,-0.41%,-1.23%,-1.23%,+0.00%,-0.42%,+0.00%,-0.42%
2101.TW,+0.39%,+0.00%,-3.78%,-1.36%,-1.10%,-1.10%,-0.42%,+0.42%,-0.42%,-0.14%
1612.TW,+1.40%,+1.38%,-0.45%,+2.28%,-0.45%,-0.45%,+0.00%,+0.00%,-0.90%,-0.45%
6446.TW,+0.06%,+15.34%,+1.28%,-4.12%,-0.89%,-0.89%,+2.58%,+0.98%,+0.83%,+6.96%
2374.TW,+0.00%,-0.96%,+0.72%,+0.72%,-1.43%,-1.43%,+0.97%,+0.96%,-0.71%,+0.00%
1443.TW,-1.57%,+1.59%,-0.91%,-1.45%,+0.53%,+0.53%,+1.46%,+0.00%,-0.39%,+0.00%
2025.TW,+0.47%,-2.56%,-0.95%,-0.24%,+0.48%,+0.48%,-1.20%,+0.24%,+0.24%,+0.73%
6141.TW,-0.82%,-2.89%,-1.28%,+2.59%,-0.84%,-0.84%,-0.42%,+0.85%,+0.84%,+0.84%
5243.TW,-0.51%,+1.02%,-1.51%,-1.74%,+0.62%,+0.62%,-0.62%,+3.96%,-1.00%,+0.00%
2303.TW,+1.91%,-0.75%,+0.00%,+0.38%,+0.00%,+0.00%,-0.75%,+1.14%,+0.00%,+0.37%
