股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-0.23%,-9.41%,+1.28%,-3.42%,+1.31%,+1.42%,-1.28%,-3.23%,+1.47%,-0.79%
8261.TW,-3.13%,-9.03%,+1.60%,+0.17%,-4.88%,+1.10%,+5.80%,+1.03%,+0.34%,+0.17%
6205.TW,+0.84%,-4.01%,+0.35%,-0.52%,-1.92%,+0.71%,+2.65%,+0.52%,+0.17%,-0.68%
1789.TW,-1.44%,-9.36%,+1.13%,+2.55%,-1.71%,-0.79%,+2.87%,+1.86%,+0.61%,-1.66%
911608.TW,-5.94%,-5.26%,+8.89%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+2.04%
3044.TW,+0.00%,-0.76%,-0.22%,-0.66%,-1.21%,+0.11%,+2.11%,+0.65%,+2.70%,+1.05%
3011.TW,-1.95%,-3.41%,+1.76%,+0.00%,-2.02%,+0.00%,+2.21%,+0.58%,+0.43%,+0.29%
00676R.TW,+1.68%,+4.83%,-1.09%,-0.25%,+1.85%,-0.72%,-2.68%,+0.37%,-1.00%,-0.38%
4961.TW,-2.91%,-5.81%,+1.63%,-0.20%,+0.00%,-2.54%,+2.02%,+1.17%,-0.32%,-0.08%
2012.TW,+0.33%,-0.66%,-0.33%,+0.00%,+5.63%,+0.31%,+1.88%,+0.00%,+0.00%,+1.84%
8114.TW,-1.43%,-4.73%,+0.76%,+1.14%,-1.12%,+1.14%,+0.37%,+0.75%,+0.74%,+0.00%
8028.TW,-4.61%,-3.11%,+1.34%,-1.04%,+0.00%,-0.72%,+5.63%,-0.24%,+2.45%,+0.45%
6443.TW,-2.04%,-9.16%,+1.95%,+0.00%,-1.69%,+1.37%,+5.41%,-0.43%,+0.00%,+0.00%
2748.TW,+0.00%,-4.11%,-0.16%,-2.64%,-8.31%,+1.11%,+2.19%,-2.15%,+1.46%,+0.90%
6525.TW,-3.71%,-9.32%,+2.88%,-2.26%,-1.91%,-0.83%,+2.38%,+4.24%,-0.52%,+2.90%
1802.TW,-3.65%,-10.00%,+3.90%,+0.87%,-1.43%,+0.87%,+3.75%,-3.33%,+2.30%,+2.25%
9938.TW,-0.40%,-6.71%,+7.84%,+0.00%,-4.14%,+2.32%,-2.37%,-1.48%,+0.64%,+1.49%
00635U.TW,-1.30%,+1.12%,-1.30%,-1.37%,+0.50%,+0.59%,+0.15%,-0.15%,+0.15%,+0.64%
2408.TW,-2.76%,-6.46%,+1.66%,-1.22%,+0.83%,+3.68%,+5.13%,-0.75%,+0.76%,+1.38%
2504.TW,-1.37%,-3.96%,+0.89%,+0.44%,-1.10%,+1.67%,+2.73%,-0.53%,+0.43%,-0.11%
2395.TW,+0.22%,-5.75%,-0.23%,+3.06%,-4.34%,-1.19%,+2.66%,+1.41%,+0.46%,-0.69%
