股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6831.TW,+4.95%,+2.75%,+0.00%,+2.87%,+6.88%,+6.88%,+3.13%,+0.17%,-0.84%,-1.36%
6153.TW,-2.98%,-4.29%,-1.92%,+2.94%,-0.32%,-0.32%,+5.73%,+2.11%,-5.90%,+3.45%
8261.TW,+3.67%,-3.44%,+0.78%,-0.44%,-0.67%,-0.67%,+5.92%,+0.42%,+0.21%,+3.04%
6205.TW,-3.28%,-2.20%,-0.92%,+1.03%,-0.92%,-0.92%,+2.67%,+2.81%,-3.41%,+1.92%
1789.TW,-2.89%,-0.43%,-2.14%,-4.15%,-1.37%,-1.37%,+1.15%,-1.83%,+2.09%,-2.51%
911608.TW,+0.00%,-1.06%,+0.00%,-1.79%,+0.36%,+0.36%,-0.36%,+0.00%,+0.00%,+1.82%
6924.TW,-1.89%,-1.40%,-1.24%,+2.15%,+9.84%,+9.84%,+5.60%,-1.67%,-1.23%,+0.47%
3044.TW,-5.28%,-3.92%,+0.79%,-1.96%,+3.47%,+3.47%,-0.64%,+1.69%,+1.28%,-1.89%
3011.TW,-1.10%,-4.09%,+0.00%,+0.39%,+0.00%,+0.00%,+2.32%,+0.00%,-0.75%,-1.90%
00876.TW,-3.09%,+0.43%,+4.38%,+1.73%,+0.16%,+0.16%,+3.55%,+2.26%,+1.98%,+1.27%
00676R.TW,+1.36%,+0.85%,-2.90%,-1.74%,-1.65%,-1.65%,-0.13%,-2.71%,-2.12%,-0.27%
4961.TW,-1.37%,-1.38%,+2.46%,+0.68%,-2.72%,-2.72%,+2.10%,+4.45%,-2.62%,+0.00%
2012.TW,-1.17%,-1.47%,+0.60%,+0.00%,+1.49%,+1.49%,+1.17%,-0.29%,-0.29%,+0.00%
8114.TW,-3.86%,+0.57%,-2.28%,+0.00%,+0.87%,+0.87%,+1.73%,-0.85%,+0.57%,+0.85%
8028.TW,-2.38%,-0.61%,+1.84%,+1.20%,-0.60%,-0.60%,+5.39%,+1.99%,+1.95%,+2.73%
6443.TW,-4.42%,-6.76%,+0.25%,-4.31%,-1.59%,-1.59%,+6.33%,+5.20%,-1.20%,+10.00%
2748.TW,+3.11%,-2.65%,-0.25%,+0.50%,+1.73%,+1.73%,-0.36%,+0.12%,+0.61%,-0.85%
6525.TW,-1.39%,+0.51%,+1.28%,+0.25%,+0.13%,+0.13%,+1.26%,+1.99%,-0.97%,+2.46%
1802.TW,-0.56%,-9.85%,-6.41%,-3.93%,+9.93%,+9.93%,+9.88%,+9.86%,+7.92%,-0.33%
9938.TW,+0.58%,+0.39%,+0.00%,-0.19%,+0.77%,+0.77%,+0.57%,-0.76%,-0.38%,-0.77%
00635U.TW,-4.26%,-0.48%,+3.69%,-0.09%,+0.56%,+0.56%,+2.14%,+0.18%,+0.09%,+0.09%
2408.TW,-6.78%,-4.00%,+3.98%,-1.28%,+2.58%,+2.58%,+3.96%,+3.11%,-3.36%,-0.87%
2504.TW,-0.56%,-0.14%,+0.00%,+2.13%,+1.11%,+1.11%,+1.24%,+0.00%,+0.00%,+0.82%
5546.TW,+0.88%,+0.00%,-5.00%,+1.60%,+0.68%,+0.68%,+1.34%,-0.22%,-4.20%,+0.46%
2395.TW,+0.00%,+0.00%,+1.22%,+2.23%,+2.52%,+2.52%,+3.28%,+2.86%,+2.78%,+1.05%
3050.TW,-4.51%,-1.82%,-2.59%,-1.52%,+0.00%,+0.00%,+2.70%,+1.50%,+1.48%,+0.00%
6591.TW,-1.05%,-3.02%,+1.87%,+0.92%,-1.52%,-1.52%,+1.23%,+1.06%,-0.45%,+2.27%
6176.TW,-0.82%,+1.65%,+0.00%,+1.62%,+0.80%,+0.80%,+5.53%,-0.75%,+2.26%,-9.96%
00757.TW,-1.86%,-4.02%,+3.20%,+1.00%,-0.54%,-0.54%,-3.45%,-1.08%,-0.14%,+1.62%
2101.TW,+0.28%,-1.41%,-1.29%,+1.89%,+0.29%,+0.29%,+1.14%,+0.56%,+0.70%,-1.25%
00945B.TW,+0.07%,+0.00%,+0.07%,-0.14%,-0.87%,-0.87%,-0.07%,+0.07%,-0.62%,-0.08%
1612.TW,+1.39%,-1.93%,+0.00%,+0.00%,+0.14%,+0.14%,+1.40%,-0.28%,-1.52%,+1.55%
00685L.TW,-3.28%,-1.13%,+5.69%,+3.40%,+3.53%,+3.53%,+0.09%,+5.81%,+3.77%,+0.74%
6446.TW,-3.67%,-1.50%,+1.11%,-0.41%,-0.41%,-0.41%,-2.21%,+3.10%,+2.19%,-3.08%
009813.TW,-0.76%,-1.92%,+2.55%,-0.10%,-0.29%,-0.29%,-2.02%,-0.10%,+0.10%,+0.39%
2374.TW,-0.37%,-2.25%,-0.13%,-0.64%,-0.13%,-0.13%,+4.13%,+1.86%,-2.19%,+0.75%
1443.TW,-2.01%,-1.12%,-0.94%,+1.14%,+1.13%,+1.13%,+4.09%,-1.79%,+0.73%,-3.25%
2025.TW,-3.95%,-0.82%,-0.41%,+1.25%,+0.00%,+0.00%,-0.41%,+0.00%,+0.41%,-0.82%
6141.TW,-0.45%,-3.60%,-0.93%,+0.47%,+0.47%,+0.47%,+4.21%,+0.90%,+0.44%,+9.73%
5243.TW,-3.53%,-3.42%,+4.52%,-3.50%,-0.12%,-0.12%,+1.82%,+3.45%,+0.81%,-2.40%
2303.TW,-0.49%,+0.65%,+0.81%,+0.00%,+0.64%,+0.64%,+1.75%,+5.63%,-2.96%,-0.15%
4968.TW,+9.79%,-6.59%,-2.07%,+2.12%,-1.66%,-1.66%,+3.38%,+0.41%,-0.41%,+0.82%
00991A.TW,,,,,+2.38%,+2.38%,+1.41%,+4.25%,+0.71%,+0.31%
2417.TW,-0.63%,-4.94%,-0.93%,+0.00%,-1.08%,-1.08%,+1.22%,-0.27%,-1.35%,+1.78%
2402.TW,-4.20%,-3.24%,+4.13%,+0.19%,+0.00%,+0.00%,+2.08%,+2.22%,-0.72%,+3.83%
2351.TW,+0.00%,-1.93%,-2.31%,+0.71%,+1.18%,+1.18%,+1.74%,+0.46%,-0.46%,-1.49%
2420.TW,-1.17%,-0.99%,+0.40%,+0.20%,+0.99%,+0.99%,+2.16%,-0.58%,-0.19%,+1.35%
911622.TW,+0.48%,-0.47%,+1.19%,-2.58%,-0.48%,-0.48%,-0.73%,-2.20%,-0.50%,+0.25%
8222.TW,-1.11%,-3.24%,+2.06%,-0.25%,+0.13%,+0.13%,+2.53%,+0.37%,-1.47%,-0.12%
6658.TW,-0.96%,+0.97%,+5.58%,-0.18%,-0.36%,-0.36%,+3.30%,+1.42%,-0.35%,+2.11%
2497.TW,-2.26%,-2.31%,-1.72%,+0.00%,-1.31%,-1.31%,+2.88%,-0.97%,-1.20%,-0.66%
2059.TW,-1.79%,-2.15%,-1.52%,+0.86%,+3.24%,+3.24%,+0.00%,+3.14%,+7.52%,+2.53%
3030.TW,+0.53%,-2.93%,+2.19%,-1.34%,+0.54%,+0.54%,+6.22%,+3.31%,+0.25%,+9.83%
1786.TW,-0.13%,-2.00%,-1.36%,-0.55%,-0.83%,-0.83%,+5.45%,-1.85%,+0.00%,+0.67%
9802.TW,+0.11%,-1.26%,-0.43%,+0.75%,-1.70%,-1.70%,+3.25%,-1.57%,+0.96%,-0.63%
00918.TW,-0.39%,-0.22%,+0.44%,+0.52%,+0.48%,+0.48%,+1.08%,+0.64%,+0.47%,+0.84%
3022.TW,-1.08%,-2.03%,-3.66%,+0.00%,+0.33%,+0.33%,-0.33%,-1.16%,+0.50%,+0.00%
5906.TW,-0.97%,-2.94%,+0.10%,+4.54%,+0.39%,+0.39%,+0.77%,-0.38%,+0.57%,-0.95%
00641R.TW,+0.47%,-0.70%,-2.82%,-1.69%,-1.23%,-1.23%,+1.25%,-0.25%,-0.74%,-0.50%
00912.TW,-1.50%,-0.48%,+2.80%,+2.00%,-0.69%,-0.69%,+0.29%,+2.49%,+2.39%,+0.12%
2412.TW,-0.38%,+0.38%,-0.75%,+0.38%,+0.38%,+0.38%,+1.50%,+0.37%,+0.37%,-1.47%
2428.TW,-1.17%,-1.18%,+0.90%,+2.08%,+0.87%,+0.87%,+3.75%,+3.89%,+1.34%,+0.00%
4536.TW,+0.63%,-1.25%,+0.32%,-0.32%,+4.43%,+4.43%,+1.82%,-0.89%,-2.10%,+3.99%
2901.TW,+0.00%,-1.41%,-0.61%,+0.00%,+0.82%,+0.82%,-1.63%,+0.21%,+0.83%,-1.64%
3231.TW,-1.16%,+1.18%,+1.55%,-1.15%,+1.54%,+1.54%,-1.52%,+1.16%,+5.34%,-1.45%
2464.TW,-4.17%,+3.62%,+4.34%,-3.49%,-1.25%,-1.25%,+2.39%,+0.41%,-2.60%,+4.92%
2248.TW,+0.21%,-3.35%,+0.65%,+0.75%,+3.10%,+3.10%,+0.00%,+2.28%,-0.30%,-1.32%
2884.TW,+0.74%,+0.15%,-0.88%,+0.30%,+1.04%,+1.04%,+2.05%,-0.43%,+0.72%,+0.43%
2007.TW,-1.76%,-1.80%,+0.24%,-0.61%,+1.22%,+1.22%,+1.57%,-0.60%,+1.68%,+0.71%
1725.TW,-2.90%,-1.49%,+2.27%,+0.74%,-0.92%,-0.92%,+5.19%,-1.59%,+0.36%,+0.89%
6116.TW,-5.99%,+0.72%,-1.07%,-1.33%,+3.79%,+3.79%,+2.83%,+2.75%,-0.22%,+3.58%
2453.TW,-1.28%,-1.86%,+0.95%,-1.50%,-0.76%,-0.76%,+1.34%,+0.19%,-0.75%,+1.71%
9958.TW,-1.53%,-2.33%,-1.20%,+2.42%,-0.79%,-0.79%,+4.76%,-2.65%,+1.56%,-2.30%
006208.TW,-1.36%,-0.03%,+2.85%,+2.07%,+2.20%,+2.20%,+0.22%,+2.76%,,
1709.TW,+0.59%,-1.18%,-0.30%,-0.60%,+0.00%,+0.00%,+0.00%,+0.60%,+0.30%,-0.60%
