股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
2820.TW,+0.29%,+1.15%,+0.00%,-0.57%,-0.57%,-0.57%,-0.86%,+0.00%,+0.58%,-0.29%
3042.TW,+2.27%,+0.53%,+2.10%,-1.03%,+0.31%,+0.31%,-2.38%,+0.42%,+2.43%,-1.24%
4934.TW,+2.25%,+0.73%,+1.74%,-2.00%,+5.83%,+5.83%,-4.13%,+0.57%,+0.29%,-0.28%
2424.TW,+0.00%,+0.26%,+0.00%,+0.00%,+1.56%,+1.56%,-0.51%,-3.09%,+6.12%,-3.76%
6271.TW,+0.57%,+5.64%,+0.89%,-1.59%,+1.43%,+1.43%,-1.41%,-1.08%,+1.81%,-1.07%
2441.TW,-1.64%,+0.00%,+2.78%,-0.95%,+0.14%,+0.14%,-1.77%,+1.11%,+1.78%,-0.13%
8464.TW,+1.42%,-2.80%,-0.52%,+1.97%,-2.32%,-2.32%,-1.72%,-3.09%,+4.99%,+0.13%
2442.TW,+4.05%,+4.28%,+0.75%,-0.37%,-0.37%,-0.37%,-0.75%,+1.13%,+2.23%,-1.09%
3257.TW,+0.78%,+3.55%,+1.49%,-0.29%,+0.15%,+0.15%,+0.88%,+9.93%,+3.59%,+0.77%
5244.TW,+1.31%,-0.97%,-0.33%,-0.22%,-1.53%,-1.53%,-2.89%,+0.92%,-0.23%,-0.80%
8940.TW,+3.23%,-0.39%,+0.00%,+0.00%,+1.57%,+1.57%,-0.77%,+1.56%,+0.38%,+3.82%
8021.TW,+2.10%,+0.26%,+2.18%,-1.25%,-0.51%,-0.51%,-1.66%,+0.39%,+1.16%,+0.77%
00671R.TW,-3.05%,+0.93%,-1.47%,-1.49%,+2.84%,+2.84%,+2.02%,+0.00%,-2.16%,+0.37%
8070.TW,+1.99%,+2.23%,+1.22%,+0.81%,+0.00%,+0.00%,-0.93%,+0.67%,+1.07%,-1.06%
1905.TW,+5.67%,+1.93%,+0.42%,-0.21%,-0.21%,-0.21%,-3.16%,-0.22%,+0.87%,-0.22%
1456.TW,+6.79%,+1.71%,+2.40%,+1.64%,-3.46%,-3.46%,-0.48%,-1.68%,-0.24%,-0.25%
1402.TW,+1.74%,-0.34%,+1.03%,+0.34%,-0.68%,-0.68%,+0.17%,-0.34%,+0.85%,+0.68%
