股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
0050.TW,2026-01-05,68.53,2026-01-06,68.48,2026-02-03,73.0,6.60%,0.06595176809209385,交易結束,0050.TW 元大台灣50
0050.TW,2026-02-25,81.1,2026-02-26,81.25,2026-03-05,78.3,-3.63%,-0.03630765474707687,交易結束,0050.TW 元大台灣50
0056.TW,2026-01-19,37.55,2026-01-20,37.51,2026-02-02,37.28,-0.61%,-0.006135616978836869,交易結束,0056.TW 元大高股息
0056.TW,2026-02-11,38.7,2026-02-23,38.97,2026-03-05,38.5,-1.21%,-0.012060590350978598,交易結束,0056.TW 元大高股息
00635U.TW,2026-01-21,52.1,2026-01-22,51.2,2026-02-03,50.95,-0.49%,-0.004882812427244188,交易結束,00635U.TW 期元大S&P黃金
00918.TW,2026-01-07,22.89,2026-01-08,22.92,2026-01-15,22.5,-1.81%,-0.01810972789782838,交易結束,00918.TW 大華優利高填息30
00918.TW,2026-04-21,23.7,2026-04-22,23.75,持股中,23.75,0.00%,0.0,續抱中,00918.TW 大華優利高填息30
00919.TW,2026-01-05,22.42,2026-01-06,22.42,2026-01-13,22.43,0.06%,0.0006016334145448647,交易結束,00919.TW 群益台灣精選高息
00919.TW,2026-01-27,23.47,2026-01-28,23.63,2026-02-02,22.52,-4.71%,-0.04707327523665119,交易結束,00919.TW 群益台灣精選高息
