日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-16,2317,鴻海,246.5,241.21,2000,10580,2.19%
2026-09-16,4142,國光生,17.2,25.32,1000,-8120,-32.07%
2026-09-16,0050,元大台灣50,106.9,46.6,16000,964800,129.40%
2026-09-16,0056,元大高股息,55.3,36.43,4000,75480,51.80%
2026-09-16,00635U,期元大S&P黃金,44.76,55.25,3000,-31470,-18.99%
2026-09-16,00738U,期元大道瓊白銀,50.65,66.26,1000,-15610,-23.56%
2026-09-16,00929,復華台灣科技優息,28.62,19.73,8000,71120,45.06%
2026-09-16,009816,凱基台灣TOP50,15.88,11.01,63000,306810,44.23%
2026-09-16,00990A,主動元大AI新經濟,14.82,11.48,5000,16700,29.09%
2026-09-16,2009,第一銅,38.2,50.56,4000,-49440,-24.45%
2026-09-16,2337,旺宏,114.5,95.28,2000,38440,20.17%
2026-09-16,2409,友達,27.9,16.21,2000,23380,72.12%
2026-09-16,3481,群創,46.8,25.1,4000,86800,86.45%
2026-09-16,3105,穩懋,454.0,556.47,300,-30741,-18.41%
2026-09-16,4966,譜瑞-KY,523.0,1921.64,1000,-1398640,-72.78%
2026-09-16,2327,國巨*,537.0,1030.0,1,-493,-47.86%
2026-09-16,00403A,主動統一升級50,10.17,10.68,26000,-13260,-4.78%
2026-09-16,00981A,主動統一台股增長,29.44,27.48,2000,3920,7.13%
2026-09-16,2330,台積電,2378.0,225.55,10,21524,954.31%
2026-09-16,6789,采鈺,425.0,593.5,400,-67400,-28.39%
2026-09-16,6849,奇鼎科技,190.0,266.4,280,-21392,-28.68%
2026-09-16,7853,政美應用,338.5,409.29,280,-19821,-17.30%
2026-09-16,3576,聯合再生,16.05,18.15,5000,-10500,-11.57%
2026-09-16,1721,三晃,21.1,27.88,3000,-20350,-24.33%
2026-09-16,8215,明基材,24.5,31.6,200,-1420,-22.47%
2026-09-16,00405A,主動富邦台灣龍耀,8.56,9.34,11000,-8580,-8.35%
2026-09-16,5498,凱崴,49.05,69.61,188,-3865,-29.54%
2026-09-16,1301,台塑,62.0,50.5,100,1150,22.77%
2026-09-16,6498,久禾光,64.2,67.3,12,-37,-4.61%
2026-09-16,009821,野村稀土關鍵資源,14.48,17.3,12000,-33840,-16.30%
