
📅 投資日報表: 2026-09-16
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 247.50   | 250.00   | 246.50   | 246.50   | 15,351,327   | 241.21      | 2000     | ▲10,580   |   +2.19%
4142     | 國光生        | 17.20    | 17.30    | 17.05    | 17.20    | 666,430      | 25.32       | 1000     | ▼8,120    |  -32.07%
0050     | 元大台灣50     | 106.30   | 107.15   | 105.85   | 106.90   | 82,639,330   | 46.60       | 16000    | ▲964,800  | +129.40%
0056     | 元大高股息      | 55.05    | 55.65    | 54.75    | 55.30    | 22,757,885   | 36.43       | 4000     | ▲75,480   |  +51.80%
00635U   | 期元大S&P黃金   | 44.75    | 44.80    | 44.42    | 44.76    | 5,852,414    | 55.25       | 3000     | ▼31,470   |  -18.99%
00738U   | 期元大道瓊白銀    | 50.90    | 51.10    | 50.55    | 50.65    | 1,964,301    | 66.26       | 1000     | ▼15,610   |  -23.56%
00929    | 復華台灣科技優息   | 28.67    | 28.74    | 28.51    | 28.62    | 52,035,942   | 19.73       | 8000     | ▲71,120   |  +45.06%
009816   | 凱基台灣TOP50  | 15.88    | 15.94    | 15.75    | 15.88    | 110,737,528  | 11.01       | 63000    | ▲306,810  |  +44.23%
00990A   | 主動元大AI新經濟  | 14.91    | 14.91    | 14.72    | 14.82    | 11,913,971   | 11.48       | 5000     | ▲16,700   |  +29.09%
2009     | 第一銅        | 38.30    | 38.45    | 38.15    | 38.20    | 854,104      | 50.56       | 4000     | ▼49,440   |  -24.45%
2337     | 旺宏         | 116.00   | 116.50   | 114.00   | 114.50   | 16,454,981   | 95.28       | 2000     | ▲38,440   |  +20.17%
2409     | 友達         | 28.35    | 28.75    | 27.75    | 27.90    | 237,301,570  | 16.21       | 2000     | ▲23,380   |  +72.12%
3481     | 群創         | 47.80    | 48.10    | 46.80    | 46.80    | 76,803,742   | 25.10       | 4000     | ▲86,800   |  +86.45%
3105     | 穩懋         | 447.50   | 476.00   | 445.50   | 454.00   | 35,370,880   | 556.47      | 300      | ▼30,741   |  -18.41%
4966     | 譜瑞-KY      | 538.00   | 538.00   | 522.00   | 523.00   | 226,994      | 1921.64     | 1000     | ▼1,398,640 |  -72.78%
2327     | 國巨*        | 550.00   | 558.00   | 535.00   | 537.00   | 21,927,638   | 1030.00     | 1        | ▼493      |  -47.86%
00403A   | 主動統一升級50   | 10.15    | 10.21    | 10.10    | 10.17    | 133,080,409  | 10.68       | 26000    | ▼13,260   |   -4.78%
00981A   | 主動統一台股增長   | 29.35    | 29.55    | 29.16    | 29.44    | 141,748,708  | 27.48       | 2000     | ▲3,920    |   +7.13%
2330     | 台積電        | 2397.94  | 2397.94  | 2373.01  | 2378.00  | 13,515,970   | 225.55      | 10       | ▲21,524   | +954.31%
6789     | 采鈺         | 435.50   | 438.00   | 425.00   | 425.00   | 698,228      | 593.50      | 400      | ▼67,400   |  -28.39%
6849     | 奇鼎科技       | 201.00   | 208.00   | 189.00   | 190.00   | 600,098      | 266.40      | 280      | ▼21,392   |  -28.68%
7853     | 政美應用       | 323.00   | 355.00   | 322.00   | 338.50   | 1,350,553    | 409.29      | 280      | ▼19,821   |  -17.30%
3576     | 聯合再生       | 16.45    | 16.45    | 16.05    | 16.05    | 4,903,587    | 18.15       | 5000     | ▼10,500   |  -11.57%
1721     | 三晃         | 21.80    | 21.85    | 21.10    | 21.10    | 491,154      | 27.88       | 3000     | ▼20,350   |  -24.33%
8215     | 明基材        | 25.00    | 25.00    | 24.50    | 24.50    | 312,642      | 31.60       | 200      | ▼1,420    |  -22.47%
00405A   | 主動富邦台灣龍耀   | 8.42     | 8.64     | 8.35     | 8.56     | 38,354,104   | 9.34        | 11000    | ▼8,580    |   -8.35%
5498     | 凱崴         | 50.40    | 51.00    | 49.05    | 49.05    | 668,507      | 69.61       | 188      | ▼3,865    |  -29.54%
1301     | 台塑         | 62.10    | 62.50    | 61.20    | 62.00    | 17,776,671   | 50.50       | 100      | ▲1,150    |  +22.77%
6498     | 久禾光        | 66.30    | 66.30    | 64.20    | 64.20    | 112,004      | 67.30       | 12       | ▼37       |   -4.61%
009821   | 野村稀土關鍵資源   | 14.58    | 14.59    | 14.45    | 14.48    | 5,807,453    | 17.30       | 12000    | ▼33,840   |  -16.30%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -114,275 (  -1.78%)
