📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
6735.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    9.46%
8923.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -0.75%
9958.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.38%
1586.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -7.14%
8932.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -5.34%
1709.TW    | 次數: 2    | 勝率:  50.00% | 累計:    4.35%
8908.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -7.54%
3055.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.95%
5276.TWO   | 次數: 2    | 勝率:   0.00% | 累計:    0.00%
1584.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.01%
2722.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.76%
6240.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.41%
2885.TW    | 次數: 3    | 勝率:  66.67% | 累計:    3.67%
4119.TW    | 次數: 1    | 勝率: 100.00% | 累計:    2.10%
8472.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   14.09%
7792.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   58.01%
00881.TW   | 次數: 2    | 勝率: 100.00% | 累計:    9.96%
1717.TW    | 次數: 1    | 勝率: 100.00% | 累計:   48.84%
6127.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.17%
7556.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -9.38%
4763.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -7.10%
2535.TW    | 次數: 1    | 勝率: 100.00% | 累計:    4.74%
2013.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -7.80%
1714.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.72%
3709.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -8.36%
2352.TW    | 次數: 2    | 勝率:  50.00% | 累計:  -11.39%
1568.TW    | 次數: 2    | 勝率: 100.00% | 累計:   10.10%
6129.TWO   | 次數: 1    | 勝率:   0.00% | 累計:  -11.02%
5475.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   30.65%
5289.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   27.74%
5514.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -2.79%
3587.TWO   | 次數: 4    | 勝率:  25.00% | 累計:    4.04%
2020.TW    | 次數: 2    | 勝率: 100.00% | 累計:    1.23%
6532.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   15.08%
00927.TW   | 次數: 1    | 勝率: 100.00% | 累計:    7.10%
3523.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -6.17%
4908.TWO   | 次數: 4    | 勝率:  50.00% | 累計:   39.87%
7769.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -10.98%
4958.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -10.09%
6245.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    5.03%
00726B.TWO | 次數: 1    | 勝率:   0.00% | 累計:   -0.57%
3583.TW    | 次數: 3    | 勝率:  66.67% | 累計:   13.22%
00940.TW   | 次數: 1    | 勝率: 100.00% | 累計:    0.89%
3706.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.50%
5009.TWO   | 次數: 3    | 勝率:   0.00% | 累計:   -9.26%
5278.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -1.97%
3054.TW    | 次數: 1    | 勝率: 100.00% | 累計:   18.73%
2031.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -7.20%
3317.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    8.72%
4416.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -0.17%
4905.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   11.04%
8155.TWO   | 次數: 3    | 勝率: 100.00% | 累計:   45.97%
