日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-20,2317,鴻海,249.0,241.21,2000,15580,3.23%
2026-08-20,4142,國光生,17.3,25.32,1000,-8020,-31.67%
2026-08-20,0050,元大台灣50,106.45,46.6,16000,957600,128.43%
2026-08-20,0056,元大高股息,53.0,36.43,4000,66280,45.48%
2026-08-20,00635U,期元大S&P黃金,45.54,55.25,3000,-29130,-17.57%
2026-08-20,00738U,期元大道瓊白銀,52.5,66.26,1000,-13760,-20.77%
2026-08-20,00929,復華台灣科技優息,29.2,19.73,8000,75760,48.00%
2026-08-20,009816,凱基台灣TOP50,15.52,11.01,63000,284130,40.96%
2026-08-20,00990A,主動元大AI新經濟,16.72,11.48,5000,26200,45.64%
2026-08-20,2009,第一銅,38.75,50.56,4000,-47240,-23.36%
2026-08-20,2337,旺宏,122.0,95.28,2000,53440,28.04%
2026-08-20,2409,友達,26.35,16.21,2000,20280,62.55%
2026-08-20,3481,群創,49.5,25.1,4000,97600,97.21%
2026-08-20,3105,穩懋,374.5,556.47,300,-54591,-32.70%
2026-08-20,4966,譜瑞-KY,565.0,1921.64,1000,-1356640,-70.60%
2026-08-20,2327,國巨*,576.0,1030.0,1,-454,-44.08%
2026-08-20,00403A,主動統一升級50,10.4,10.68,26000,-7280,-2.62%
2026-08-20,00981A,主動統一台股增長,30.39,27.48,2000,5820,10.59%
2026-08-20,2330,台積電,2380.0,225.55,10,21544,955.20%
2026-08-20,6789,采鈺,433.0,593.5,400,-64200,-27.04%
2026-08-20,6849,奇鼎科技,139.5,266.4,280,-35532,-47.64%
2026-08-20,7853,政美應用,301.0,409.29,280,-30321,-26.46%
2026-08-20,3576,聯合再生,17.05,18.15,5000,-5500,-6.06%
2026-08-20,1721,三晃,19.65,27.88,3000,-24700,-29.53%
2026-08-20,8215,明基材,24.2,31.6,200,-1480,-23.42%
2026-08-20,00405A,主動富邦台灣龍耀,8.8,9.34,11000,-5940,-5.78%
2026-08-20,5498,凱崴,49.8,69.61,188,-3724,-28.46%
2026-08-20,1301,台塑,58.9,50.5,100,840,16.63%
2026-08-20,6498,久禾光,75.3,67.3,12,96,11.89%
2026-08-20,009821,野村稀土關鍵資源,15.02,17.3,12000,-27360,-13.18%
