股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,55.00,150,64.28,36.61,---,3.53%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7806,精華生醫,62.00,6,80.50,57.60,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,602.00,1307,956.00,157.83,---,0.74%,進入盤整,無,無,ADX 為 12.89 (低於 20),進入盤整
00696,富邦美債20年,28.41,1857,30.21,27.13,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.59%,均線糾擺
6153,嘉聯益,16.65,2172,24.45,13.50,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,179.50,6600,346.94,79.60,---,4.05%,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
6205,詮欣,61.40,167,98.20,37.00,---,3.47%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.40,2,13.60,6.09,---,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (7.40 > 1.5σ)，動能強勁,貼軌運行
3479,安勤,130.00,439,156.50,83.70,---,5.22%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1789,神隆,19.45,705,28.25,16.65,---,2.02%,均線糾擺,無,無,MA 乖離率僅 0.41%,均線糾擺
3171,炎洲流通,63.00,36,79.40,40.60,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.55%,均線糾擺
4721,美琪瑪,73.40,259,101.00,61.20,---,3.35%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.78,11,3.51,2.53,---,1.89%,均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
6924,榮惠-KY創,119.50,53,193.50,47.80,---,7.45%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,485.50,2502,573.00,290.00,---,4.08%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,10.75,427,17.15,10.45,---,---,離開盤整 (向下) -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,87.00,416,107.70,37.78,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
00676,富邦臺灣加權反1,5.66,5185,11.16,5.32,---,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
4961,天鈺,164.50,252,188.00,135.00,---,5.89%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2012,春雨,15.00,78,17.99,14.15,📅 預告 (20260821),5.31%,均線糾擺,無,無,MA 乖離率僅 0.89%,均線糾擺
8114,振樺電,198.50,413,283.50,164.00,---,2.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,49.10,0,66.90,24.50,---,---,進入盤整,無,無,ADX 為 12.72 (低於 20),進入盤整
8028,昇陽半導體,247.00,1516,356.50,138.50,---,1.49%,均線糾擺 -> 進入盤整,無,無,ADX 為 11.47 (低於 20),進入盤整
