prev_year,symbol,om,prev_rev_yoy,status,rev_yoy,advice,pe,name,prev_eps,date,eps,expansion,price,prev_eps_yoy,eps_yoy,est_price,gm
2025,4711.TWO,2.47%,-4.5,🚀 利潤擴張,974.97,⚠️ 追價風險,32.74509953509804,永純,0.15,2026-03,0.23,1225.03,16.7000007629,50.0,2200.0,7.65,14.61%
2025,1718.TW,18.72%,-0.24,🚀 利潤擴張,142.36,⚠️ 追價風險,25.36585272804878,中纖,0.09,2026-03,0.17,1157.6399999999999,10.3999996185,250.0,1300.0,6.15,41.46%
2025,3219.TWO,-15.39%,49.68,🏰 高護城河,120.91,⚪ 中性觀察,19.77777777777778,倚強科,1.52,2026-03,0.48,1154.09,89.0,406.67,1275.0,67.5,69.49%
2025,5291.TWO,N/A,9.81,🚀 利潤擴張,536.39,⚠️ 追價風險,89.59459871864865,邑昇,0.31,2026-03,0.17,1063.6100000000001,66.3000030518,-17.95,1600.0,11.1,N/A
2025,3025.TW,43.45%,4.27,🏰 高護城河,117.67,💎 強力關注,9.63671157282983,星通,3.45,2026-03,0.6,982.33,50.4000015259,-6.25,1100.0,78.44999999999999,68.55%
2025,4967.TW,N/A,2.46,🚀 利潤擴張,1792.89,💎 強力關注,6.282194848824188,十銓,13.06,2026-03,27.0,807.1099999999999,280.5,110.31,2600.0,669.75,N/A
2025,2359.TW,2.82%,21.27,🚀 利潤擴張,280.55,⚠️ 追價風險,114.8305084745763,所羅門,1.23,2026-03,0.78,733.74,135.5,46.43,1014.29,17.699999999999996,24.10%
2025,1762.TW,-143.69%,-40.26,🔄 轉虧為盈,496.76,⚪ 數據不足,0.0,中化生,-4.39,2026-03,1.64,714.3499999999999,35.0,-566.18,1211.11,-85.05,-78.82%
2025,3006.TW,20.25%,8.08,🚀 利潤擴張,2018.02,⚠️ 追價風險,123.34710743801655,晶豪科,0.87,2026-03,7.22,648.6500000000001,298.5,-51.41,2666.67,36.29999999999999,32.33%
2025,2464.TW,-3.37%,-10.95,🔄 轉虧為盈,510.23,⚪ 數據不足,0.0,盟立,-0.84,2026-03,0.24,589.77,194.5,-266.0,1100.0,-26.55,17.62%
2025,2451.TW,55.59%,69.84,🏰 高護城河,1484.6,💎 強力關注,7.308970099667774,創見,12.98,2026-03,18.93,583.2200000000003,286.0,140.33,2067.82,586.95,61.62%
2025,3521.TWO,-147.39%,58.31,🔄 轉虧為盈,224.53,💎 強力關注,6.1989793971938765,台鋼建設,-0.07,2026-03,2.12,582.14,12.1499996185,89.09,806.67,29.400000000000006,-40.24%
2025,2101.TW,4.39%,-44.61,🚀 利潤擴張,1184.49,✅ 穩健價值,15.024509616911764,南港,1.01,2026-03,1.86,579.1500000000001,30.6499996185,-68.84,1763.64,30.6,20.96%
2025,4510.TWO,-1.97%,-2.21,🔄 轉虧為盈,543.13,⚪ 數據不足,0.0,高鋒,-1.02,2026-03,0.2,556.87,44.2999992371,-197.14,1100.0,-36.6,14.87%
2025,3285.TWO,8.69%,-19.66,🚀 利潤擴張,688.27,⚠️ 追價風險,39.00000072657142,微端,0.7,2026-03,0.26,511.73,40.9500007629,-40.68,1200.0,15.75,28.61%
2025,6902.TW,N/A,20.92,🚀 利潤擴張,43.25,⚠️ 追價風險,36.59942363112392,GOGOLOOK,1.58,2026-03,1.64,487.52,127.0,222.58,530.77,52.05,N/A
2025,6241.TWO,N/A,5.06,🔄 轉虧為盈,335.75,⚪ 數據不足,0.0,鑫永洋,-0.16,2026-03,0.46,484.25,15.3999996185,74.6,820.0,-7.499999999999999,N/A
2025,8440.TWO,N/A,-6.1,🚀 利潤擴張,727.58,⚠️ 追價風險,33.89830508474576,綠電,0.31,2026-03,0.22,472.41999999999996,20.0,-42.59,1200.0,8.850000000000001,N/A
