日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-08,2317,鴻海,256.0,241.21,2000,29580,6.13%
2026-09-08,4142,國光生,17.7,25.32,1000,-7620,-30.09%
2026-09-08,0050,元大台灣50,109.9,46.6,16000,1012800,135.84%
2026-09-08,0056,元大高股息,55.4,36.43,4000,75880,52.07%
2026-09-08,00635U,期元大S&P黃金,46.21,55.25,3000,-27120,-16.36%
2026-09-08,00738U,期元大道瓊白銀,52.4,66.26,1000,-13860,-20.92%
2026-09-08,00929,復華台灣科技優息,29.4,19.73,8000,77360,49.01%
2026-09-08,009816,凱基台灣TOP50,15.9,11.01,63000,308070,44.41%
2026-09-08,00990A,主動元大AI新經濟,15.17,11.48,5000,18450,32.14%
2026-09-08,2009,第一銅,38.95,50.56,4000,-46440,-22.96%
2026-09-08,2337,旺宏,124.5,95.28,2000,58440,30.67%
2026-09-08,2409,友達,28.7,16.21,2000,24980,77.05%
2026-09-08,3481,群創,49.95,25.1,4000,99400,99.00%
2026-09-08,3105,穩懋,450.5,556.47,300,-31791,-19.04%
2026-09-08,4966,譜瑞-KY,566.0,1921.64,1000,-1355640,-70.55%
2026-09-08,2327,國巨*,589.0,1030.0,1,-441,-42.82%
2026-09-08,00403A,主動統一升級50,10.26,10.68,26000,-10920,-3.93%
2026-09-08,00981A,主動統一台股增長,29.77,27.48,2000,4580,8.33%
2026-09-08,2330,台積電,2460.0,225.55,10,22344,990.67%
2026-09-08,6789,采鈺,471.0,593.5,400,-49000,-20.64%
2026-09-08,6849,奇鼎科技,153.5,266.4,280,-31612,-42.38%
2026-09-08,7853,政美應用,321.5,409.29,280,-24581,-21.45%
2026-09-08,3576,聯合再生,17.05,18.15,5000,-5500,-6.06%
2026-09-08,1721,三晃,22.4,27.88,3000,-16450,-19.67%
2026-09-08,8215,明基材,25.35,31.6,200,-1250,-19.78%
2026-09-08,00405A,主動富邦台灣龍耀,8.83,9.34,11000,-5610,-5.46%
2026-09-08,5498,凱崴,54.6,69.61,188,-2822,-21.56%
2026-09-08,1301,台塑,66.6,50.5,100,1610,31.88%
2026-09-08,6498,久禾光,73.6,67.3,12,76,9.36%
2026-09-08,009821,野村稀土關鍵資源,15.15,17.3,12000,-25800,-12.43%
