代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,30.40,29.4,20000,30.8,15994,30.80,30.30,30.52,30.80,13015,-,
1269,乾杯,58.08,53.7,1998,56.4,2065,56.40,53.70,55.68,56.40,8239,-,
1271,晨暉生技,58.79,59.2,3000,59.5,3000,60.20,58.80,59.65,59.50,111068,-,
1293,利統,22.04,22.1,3000,23.1,2000,23.10,22.05,23.00,23.10,1102,-,
1343,旭東環保,30.71,29.75,3000,30.7,5989,30.70,29.70,30.34,30.70,3114,-,
1480,東盟開發,7.99,7.87,5000,7.99,4000,7.99,7.99,7.99,7.99,1000,-,
1594,日高,8.05,7.71,5000,8.1,5000,8.08,7.68,7.96,8.05,7002,-,
2071,震南鐵,34.59,32.5,3000,33.9,3000,35.00,33.00,33.63,33.30,58485,-,
2245,詠勝昌*,24.85,23.7,3000,24.65,3000,24.20,23.70,24.01,24.00,15203,-,
2249,湧盛,93.71,92.0,3000,93.0,8600,94.50,92.20,92.83,92.50,23247,115/07/28,櫃買中心同意上櫃契約
2252,為昇科,22.78,23.0,3000,24.0,3000,24.05,21.85,23.00,24.00,280804,-,
2255,凱銳光電,13.87,13.6,5000,13.95,4000,13.95,13.50,13.84,13.95,16008,-,
2256,歐特明,82.55,83.3,3000,87.4,3000,88.10,82.20,84.25,84.10,222366,-,
2644,中信造船,76.39,76.0,3000,76.6,8990,77.00,76.20,76.45,76.60,412490,-,
2733,維格餅家,10.95,10.45,10000,10.95,4999,10.95,10.45,10.70,10.95,2,-,
2741,老四川,20.80,20.0,3000,20.8,5996,20.80,20.00,20.62,20.80,6409,-,
2758,路易莎咖啡,68.61,66.3,3000,67.0,2000,67.70,66.10,66.80,67.00,12933,-,
2760,巨宇翔,8.80,8.8,2000,8.81,10000,8.81,8.50,8.66,8.80,21000,-,
2761,橘焱胡同,13.40,13.05,5000,13.55,5000,13.55,13.15,13.17,13.55,5220,-,
2938,床的世界,22.26,21.9,2000,22.95,3000,22.25,21.90,22.14,22.10,27115,115/07/28,櫃買中心同意上櫃契約
2940,歐都納,24.20,23.9,6000,24.4,6000,24.00,23.90,23.95,24.00,12010,-,
2942,京站,38.22,36.85,2997,38.65,2997,38.65,36.85,37.75,38.65,6,-,
3097,拍檔,24.65,24.25,3000,25.15,3000,25.20,24.60,25.04,25.10,19303,-,
3117,年程,30.76,29.45,3000,30.0,3000,31.55,29.30,29.87,30.00,241255,-,
3184,微邦,22.40,22.8,1000,23.3,5650,27.00,22.70,24.56,23.30,4201214,-,
3194,圓方科技,31.37,31.35,5849,33.0,4800,33.00,31.35,32.36,33.00,5452,-,
3473,智通聯網,79.90,76.2,3000,79.5,2999,79.50,78.00,78.28,79.50,1801,-,
3585,聯致,49.64,49.55,2000,50.0,8996,51.30,48.15,49.72,50.00,830127,-,
3595,山太士,1658.38,1505.0,3000,1540.0,2000,1665.00,1495.00,1564.54,1520.00,539103,115/08/26,櫃買中心同意上櫃契約
3603,建祥國際,6.40,6.35,5000,6.6,5000,6.42,6.37,6.40,6.42,37000,-,
3633,云光,145.88,144.5,15000,146.5,3999,148.00,144.50,145.54,146.50,39783,-,
3644,凌嘉科,260.14,290.5,2000,295.0,2000,295.00,260.50,279.95,293.00,248806,-,
3659,百辰,7.94,7.85,5000,8.05,10000,8.17,7.24,7.64,7.90,1009163,-,
3678,聯享,50.36,48.85,6000,49.95,3000,50.40,48.55,49.22,50.00,25514,-,
4115,善德生技,7.89,7.38,15000,7.71,5000,8.25,7.35,7.63,7.64,296419,-,
4117,普生,9.44,9.17,5000,9.34,5000,9.73,9.12,9.29,9.16,126468,-,
4170,鑫品生醫,12.07,13.65,5000,13.95,5000,14.70,12.60,13.90,13.70,309372,-,
4172,因華,11.07,10.85,3999,11.15,9998,11.25,10.85,11.00,11.15,126379,-,
4186,尖端醫,7.22,7.12,4900,7.46,5000,7.25,7.12,7.19,7.12,50100,-,
4194,禾生技,7.70,7.5,5000,7.7,1969,7.93,7.55,7.75,7.70,130357,-,
4197,暐世,8.97,9.53,5000,9.99,5000,9.99,9.00,9.43,9.80,225212,-,
4431,敏成健康,20.30,20.4,2000,20.55,2000,20.70,20.30,20.43,20.55,66291,-,
4537,旭東,153.19,166.0,3950,168.5,1949,169.50,156.50,163.33,168.50,342927,115/07/09,送件申請上市
4544,春日,13.54,13.05,9700,13.55,4000,13.55,13.05,13.43,13.55,1300,-,
4553,盛復,15.46,15.4,5000,15.75,3999,15.75,15.40,15.49,15.75,4101,-,
4559,久裕興,8.53,8.33,5000,8.6,5000,8.75,8.33,8.43,8.46,12110,-,
4565,宏偉,144.67,132.5,3750,134.5,1998,145.50,132.50,137.01,132.50,74774,115/08/26,櫃買中心同意上櫃契約
4570,傑生,69.65,69.0,1999,70.5,5000,70.00,69.00,69.50,69.00,2002,-,
4573,高明鐵,616.58,623.0,4000,630.0,4000,681.00,620.00,653.66,632.00,1620389,-,
4575,銓寶,22.58,22.05,1998,22.7,1495,22.70,22.05,22.44,22.70,2507,-,
4587,寶元數控,41.82,40.55,3000,42.4,3000,42.40,42.25,42.33,42.25,6000,-,
4589,碩陽電機,32.87,32.3,3000,33.35,3000,33.45,32.35,32.66,33.00,17388,-,
4724,宣捷幹細胞,8.37,8.41,5000,8.83,5000,8.73,8.31,8.42,8.73,17069,-,
4732,彥臣,17.86,17.5,10000,18.0,4000,18.00,17.10,17.75,17.90,17011,-,
4738,大同精化,6.03,5.95,10000,6.25,5000,6.26,5.95,6.03,6.25,89126,-,
4765,磐采,16.00,16.0,10000,16.6,5000,-,-,-,-,-,-,
4925,智微,118.70,120.0,2000,122.0,1017,122.00,117.50,119.95,122.00,122386,-,
4980,佐臻,38.69,38.05,2000,39.95,3000,39.95,38.00,38.40,39.95,37989,-,
5240,建騰,17.12,16.75,3000,17.35,4993,17.35,16.75,16.75,17.35,2007,-,
5246,勵威,136.18,149.0,2000,152.0,3989,165.00,134.00,153.68,152.00,2249877,-,
5248,景傳,39.13,35.65,3000,36.1,3000,39.05,34.80,36.05,36.00,651212,-,
5254,欣訊科技,42.81,42.75,2995,43.95,3000,45.00,42.75,43.87,42.75,57206,-,
5262,立達,42.83,42.1,2999,43.15,3000,43.25,42.10,42.53,42.10,22981,-,
5267,龍翩,55.56,52.5,3000,54.6,5999,57.60,52.40,54.15,52.90,65279,-,
5271,紘通,9.57,9.07,10000,9.47,10000,9.86,9.01,9.27,9.35,628435,-,
5297,廣化,80.23,83.0,3000,83.7,2999,88.00,77.30,83.12,83.70,764139,-,
5859,遠壽,13.79,13.9,3000,14.0,10000,14.00,13.85,13.93,13.90,55530,-,
5863,瑞興銀,10.95,10.8,4697,11.0,5000,10.95,10.75,10.86,10.80,32678,-,
6027,德信,14.11,14.05,5000,14.5,4600,14.55,13.95,14.31,14.50,25408,-,
6035,悠遊卡,50.29,49.6,3000,50.5,2954,50.50,49.60,50.08,50.50,8064,-,
6407,相互,25.33,24.8,3000,25.0,3000,25.95,24.30,25.01,24.90,224992,-,
6428,淘米,27.95,34.0,3000,35.0,3000,35.05,28.10,32.70,34.25,174541,-,
6434,達輝光電,14.52,14.3,5000,14.95,5000,15.30,14.30,15.04,14.80,287099,-,
6467,泰合,217.95,223.5,5000,226.5,10000,238.00,214.50,221.88,225.00,2477934,115/05/28,證交所同意上市契約
6473,美賣*,6.26,6.08,9748,6.25,5000,6.34,6.04,6.14,6.08,17915,-,
6483,原創生醫,13.22,12.85,8999,13.35,5000,13.35,12.85,13.10,12.85,76018,-,
6493,雷虎生,38.14,36.9,3000,37.5,3000,38.75,37.00,37.55,37.50,31119,-,
6518,康科特,30.33,30.05,3000,30.4,3000,30.20,30.20,30.20,30.20,3000,-,
6536,碩豐,16.64,16.45,4998,16.9,5000,16.80,16.30,16.41,16.45,9056,-,
6539,麗彤,41.05,39.0,5700,41.05,5994,41.05,39.00,39.04,41.05,306,-,
6543,普惠醫工,18.06,17.65,4999,18.0,3930,18.20,17.65,17.85,18.00,20264,-,
6549,景凱,6.62,6.66,3999,6.99,5000,6.99,6.57,6.82,6.66,31507,-,
6555,榮炭,14.60,14.4,15000,15.15,15000,14.95,14.45,14.53,14.95,8302,-,
6559,研晶,16.87,16.75,4000,17.4,4998,17.60,16.75,16.81,17.40,5105,-,
6563,映智,19.82,20.15,3000,20.7,3000,21.10,18.50,20.06,20.85,339532,-,
6564,安特羅,15.58,15.45,4000,15.95,4999,15.95,15.40,15.53,15.95,60160,-,
6565,物聯,17.04,19.5,10000,19.85,5000,21.10,17.50,19.50,19.70,374604,-,
6572,博錸,7.48,8.48,5000,8.9,4998,8.90,7.23,8.20,8.90,617407,-,
6580,台睿,12.50,12.4,5000,12.7,2000,12.70,12.45,12.54,12.70,17005,-,
6583,友松,11.47,11.05,5000,11.55,9999,11.55,11.55,11.55,11.55,1,-,
6586,醣基,100.74,105.0,3390,105.5,2995,113.50,100.00,106.58,105.50,672631,-,
6595,光禹國際,28.93,28.7,3000,30.15,2999,30.15,30.15,30.15,30.15,1,-,
6599,普達系統,38.52,38.3,2997,38.6,3000,38.30,38.30,38.30,38.30,3,115/07/31,送件申請上櫃
6604,儒億,31.37,30.9,4000,31.3,2924,31.50,30.90,31.09,31.30,73780,115/07/02,櫃買中心同意上櫃契約
6610,安成生技,40.27,40.55,5000,40.95,3000,42.00,39.80,40.88,41.00,1086837,-,
6618,永虹先進,17.02,16.9,15000,17.2,9598,17.45,16.90,17.06,17.00,267010,-,
6621,華宇藥,11.24,11.2,4998,11.45,4998,11.70,11.15,11.33,11.45,52020,-,
6622,百聿數碼,6.97,6.93,5000,7.27,9999,7.27,7.27,7.27,7.27,1,-,
6634,欣耀,51.07,52.1,2270,53.5,2990,54.50,52.00,53.06,53.50,46789,-,
6638,沅聖,44.83,43.95,3000,46.15,3000,47.30,43.70,45.06,46.15,35002,-,
6639,源大環能,4.17,3.86,5000,4.05,5000,4.17,3.86,3.98,4.05,106401,-,
6648,斯其大,15.08,14.9,5000,15.2,4000,15.20,15.05,15.09,15.20,4000,-,
6650,帝圖,29.50,28.5,3000,29.55,1800,29.55,29.55,29.55,29.55,1200,-,
6659,天明製藥,20.07,19.9,5000,20.85,2998,20.85,19.15,20.09,20.85,662116,-,
6665,康聯生醫,17.37,17.45,4997,17.95,3980,17.95,17.10,17.67,17.95,19544,-,
6673,和詮,15.49,15.1,5000,15.7,5000,15.90,14.85,15.50,15.70,267176,-,
6676,祥翊,11.60,11.35,4000,11.45,4968,11.65,11.35,11.44,11.45,436599,-,
6677,瑩碩生技,17.00,16.65,4000,17.1,10000,17.35,16.60,16.79,16.65,20103,-,
6682,華旭先進,34.18,33.9,5000,34.95,9998,35.00,33.90,34.31,34.95,193322,-,
6696,仁新*,175.60,178.0,7000,179.5,10000,196.00,159.00,171.45,178.00,25118086,-,
6704,國璽幹細胞,19.65,20.0,3000,20.7,3000,20.85,19.00,20.09,20.70,147974,-,
6705,振躍精密,99.76,98.0,2650,99.8,3000,103.00,98.00,99.28,99.80,23651,-,
6707,富基電通,34.32,34.45,2602,34.7,2998,34.75,34.25,34.50,34.45,81809,-,
6709,昱厚生技,24.41,23.9,6000,24.6,5998,24.60,24.00,24.33,24.60,52740,-,
6723,傑智環境,34.55,33.3,3000,34.9,2900,34.95,33.30,33.75,34.90,11405,-,
6729,機光科技,49.37,48.5,3000,50.5,2995,53.00,48.00,50.33,50.50,59330,-,
6734,安盛生,5.48,5.04,5000,5.26,3999,5.54,4.95,5.17,5.25,114993,-,
6737,秀育,23.94,24.15,3000,25.1,3000,25.15,24.15,24.69,25.00,3424,-,
6738,鼎恒,79.19,78.2,3000,79.3,4000,80.00,78.80,79.22,79.30,25000,-,
6744,豐技生技,14.59,14.5,3500,14.9,9000,14.90,14.50,14.66,14.90,2500,-,
6748,亞果生醫,182.02,172.0,6980,173.5,5000,185.00,172.00,175.74,172.00,560083,-,
6750,泰創工程,59.09,57.3,3000,59.9,5819,60.00,57.20,58.56,59.90,64781,-,
6755,連鋐科技,10.90,11.0,5000,11.1,9995,11.10,10.80,10.99,11.10,56131,-,
6758,冠亞,29.35,28.5,3000,29.45,2990,29.45,29.35,29.35,29.45,3010,-,
6775,穎台科技,43.87,41.5,3000,41.85,3000,45.10,41.25,43.65,41.70,957796,-,
6780,學習王,41.75,39.9,3000,41.75,2992,41.75,41.75,41.75,41.75,8,-,
6784,天凱科技,18.25,17.25,5000,18.0,4998,18.00,17.40,17.46,18.00,59259,-,
6786,芯測,49.51,49.55,3000,50.9,2999,52.90,49.50,51.08,50.90,136045,-,
6787,晶瑞光,29.72,29.45,3000,29.8,5000,30.00,29.30,29.53,29.70,207783,-,
6793,天力離岸,5.43,5.15,4999,5.39,2996,5.76,5.15,5.50,5.39,92714,-,
6797,圓點奈米,11.17,11.05,5000,11.55,2969,11.55,11.05,11.14,11.05,22298,-,
6798,展逸,65.03,64.5,2997,65.3,2993,65.30,64.50,65.00,64.50,1010,-,
6808,三鼎生技,31.03,30.9,9000,31.3,3000,31.90,30.90,31.04,31.35,66950,-,
6810,新穎生醫,21.06,20.8,5147,21.45,2990,21.45,20.80,21.01,20.80,11867,-,
6812,梭特,57.87,56.9,5485,58.9,5999,59.10,56.90,58.20,58.90,28020,-,
6814,路迦生醫,17.97,17.6,5000,18.35,9999,18.35,18.35,18.35,18.35,3,-,
6815,晶鑽生醫,23.20,23.1,3000,23.55,3000,23.60,23.05,23.41,23.55,6667,-,
6816,捷智商訊,35.32,34.0,6000,35.75,5965,35.75,35.75,35.75,35.75,35,-,
6817,溫士頓,43.62,41.8,3000,43.7,6000,43.85,40.15,42.08,43.80,41269,-,
6818,連騰,43.23,41.85,2000,42.9,3000,44.00,41.85,42.25,42.90,14235,-,
6819,眾智,59.95,64.8,3000,65.8,5000,71.00,60.70,66.76,65.20,2576102,-,
6820,連訊,327.30,373.5,2000,377.5,3900,406.50,337.50,370.27,377.50,464345,-,
6825,和暢科技,32.74,33.3,3000,35.0,3000,34.50,32.80,34.17,34.00,9500,115/08/26,櫃買中心同意上櫃契約
6826,和淞,446.69,441.0,2000,445.0,2000,451.00,441.50,444.62,442.00,35265,-,
6827,巨生醫,11.25,10.25,5000,10.5,2000,11.15,9.98,10.64,10.50,293897,-,
6832,金鼎科,65.83,65.0,4678,68.0,2878,68.00,65.00,66.21,68.00,7461,-,
6833,太康精密,22.01,21.8,2000,22.8,3000,22.85,21.80,21.89,21.80,5001,-,
6839,開陽能源,11.48,11.6,3000,11.8,10000,11.75,11.20,11.59,11.70,82419,-,
6842,瑞宇,71.87,71.2,6000,72.5,2900,72.70,71.50,72.28,72.50,50180,-,
6847,普瑞博,74.06,72.8,3000,74.7,3000,74.80,71.70,74.04,72.80,15936,-,
6848,拉法醫,21.59,21.3,5496,21.9,3000,22.25,21.20,21.55,21.30,23617,-,
6849,奇鼎科技,151.72,149.5,7000,153.0,5000,156.00,149.50,153.33,150.00,250401,-,
6850,光鼎生技,33.60,32.1,1000,33.6,2000,33.60,32.10,32.60,33.60,3000,-,
6857,宏碁智醫,90.00,90.0,3000,91.0,3000,-,-,-,-,-,-,
6858,愛比科技,21.40,21.4,2998,22.0,3000,21.40,21.40,21.40,21.40,2,-,
6864,元樟生技,62.42,51.3,3000,52.8,2200,63.90,51.20,57.05,52.80,285598,-,
6867,坦德科技,27.36,25.25,3000,26.4,6000,27.65,26.00,26.48,26.50,12409,-,
6868,采威國際,26.65,25.25,3000,26.0,2500,27.40,24.55,25.76,26.00,36505,-,
6876,朗齊生醫*,13.15,15.2,4999,15.8,3000,16.10,14.15,14.98,15.80,700986,-,
6878,歐付寶,20.73,19.8,7000,20.7,3000,20.80,19.80,20.02,20.00,27221,-,
6879,大江基因,35.24,33.8,6000,35.55,4990,35.55,35.55,35.55,35.55,1010,-,
6882,甲尚,13.03,12.8,5000,13.35,4897,13.35,12.75,12.84,13.35,18034,-,
6886,遠東生技,42.10,41.35,2997,42.9,5820,42.90,41.35,42.57,41.35,314,-,
6891,樂迦再生,39.26,38.85,6000,39.15,5500,39.45,38.85,39.00,39.15,143150,-,
6892,台寶生醫,25.67,25.4,2000,25.65,2799,26.10,25.35,25.58,25.65,37711,-,
6898,程曦資訊,81.56,83.6,3000,85.0,3000,88.00,81.90,84.74,85.00,91491,115/07/02,櫃買中心同意上櫃契約
6911,群運,28.33,28.15,3000,29.35,3000,29.35,28.20,28.65,28.70,2002,-,
6912,益鈞環科*,11.40,11.25,5000,11.5,4800,11.60,11.50,11.59,11.50,9230,-,
6915,美強光,41.36,47.0,3000,48.95,4973,50.60,41.70,46.45,48.95,67239,-,
