🚀 V3 掃描系統 | 模式: HIGH | 日期: 20260418
-----------------------------------------------------------------------------------------------------------------------------

📊 統計總表 (項目數: 21):
股號         | 名稱       | 收盤     | 今日訊號     | 收益       | 次數   | 勝率     | 理由
1711.TW    | 永光         | 47.95    | 🔥 買入       |   44.55% |    2 | 100.0% | 趨勢突破
3105.TWO   | 穩懋         | 539.00   | 🔥 買入       |   43.23% |    3 | 33.33% | 趨勢突破
4960.TW    | 誠美材        | 33.85    | 💎 持股       |   34.04% |    3 | 33.33% | 趨勢維持
4919.TW    | 新唐         | 129.00   | 🔥 買入       |   33.22% |    2 | 100.0% | 趨勢突破
2402.TW    | 毅嘉         | 77.70    | 🔥 買入       |   18.36% |    1 | 100.0% | 趨勢突破
4540.TW    | 全球傳動       | 57.90    | 🔥 買入       |    8.97% |    2 |  50.0% | 趨勢突破
2404.TW    | 漢唐         | 1025.00  | 🔥 買入       |    8.25% |    3 | 33.33% | 趨勢突破
6548.TWO   | 長科*        | 54.70    | 🔥 買入       |    2.92% |    2 |  50.0% | 趨勢突破
4958.TW    | 臻鼎-KY      | 282.00   | 🔥 買入       |    0.05% |    2 |  50.0% | 趨勢突破
8261.TW    | 富鼎         | 127.50   | 🔥 買入       |   -0.02% |    3 | 33.33% | 趨勢突破
1785.TWO   | 光洋科        | 156.00   | 🔥 買入       |   -6.33% |    2 |   0.0% | 趨勢突破
6278.TW    | 台表科        | 157.00   | 🔥 買入       |   -6.42% |    2 |   0.0% | 趨勢突破
5425.TWO   | 台半         | 65.70    | 🔥 買入       |   -7.23% |    2 |   0.0% | 趨勢突破
3339.TWO   | 泰谷         | 69.30    | 🔥 買入       |  -10.31% |    3 | 33.33% | 趨勢突破
3437.TW    | 榮創         | 27.20    | 🔥 買入       |   -10.8% |    3 | 33.33% | 趨勢突破
6415.TW    | 矽力*-KY     | 332.50   | 🔥 買入       |  -10.95% |    2 |   0.0% | 趨勢突破
6173.TWO   | 信昌電        | 92.20    | 🔥 買入       |  -16.73% |    3 |   0.0% | 趨勢突破
2481.TW    | 強茂         | 118.00   | 🔥 買入       |  -17.88% |    3 |   0.0% | 趨勢突破
8358.TWO   | 金居         | 367.50   | 🔥 買入       |   -18.9% |    3 |   0.0% | 趨勢突破
8111.TWO   | 立��        | 79.20    | 🔥 買入       |  -30.34% |    4 |   0.0% | 趨勢突破
1815.TWO   | 富喬         | 127.00   | 🔥 買入       |  -32.12% |    4 |   0.0% | 趨勢突破

✅ 完成！報告: report/20260418/high-trend-backtest-report.txt
