代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
8043.TWO,蜜望實,211.0,0,0,0,20260616,15209,180296,165087,11.9x,9.61%,▲ 順勢追意
8112.TW,至上,95.8,0,0,0,20260616,-61666,91813,153479,-1.5x,5.04%,▲ 順勢追意
8039.TW,台虹,141.5,0,0,0,20260616,-25112,45055,70167,-1.8x,5.99%,▲ 順勢追意
8088.TWO,品安,63.4,0,0,0,20260616,-34653,18866,53520,-0.5x,6.38%,▲ 順勢追意
8027.TWO,鈦昇,247.0,0,0,0,20260616,-17232,16147,33379,-0.9x,-0.60%,★ 壓低偷買
8358.TWO,金居,632.0,0,0,0,20260616,-25541,2656,28198,-0.1x,3.61%,▲ 順勢追意
8936.TWO,國統,55.9,0,0,0,20260616,-16500,9029,25530,-0.5x,-2.78%,★ 壓低偷買
9105.TW,泰金寶-DR,9.55,0,0,0,20260616,-12131,9941,22073,-0.8x,-1.65%,★ 壓低偷買
8064.TWO,東捷,140.0,0,0,0,20260616,-5477,12663,18141,-2.3x,-6.04%,★ 壓低偷買
8096.TWO,擎亞,142.5,0,0,0,20260616,26600,41466,14865,1.6x,13.55%,▲ 順勢追意
8104.TW,錸寶,38.65,0,0,0,20260616,-13989,200,14190,-0.0x,-6.30%,★ 壓低偷買
8071.TWO,能率網通,29.6,0,0,0,20260616,-1637,11754,13392,-7.2x,37.35%,▲ 順勢追意
8473.TW,山林水,49.5,0,0,0,20260616,-10061,3131,13193,-0.3x,-7.65%,★ 壓低偷買
8076.TWO,伍豐,25.5,0,0,0,20260616,-8628,1239,9867,-0.1x,-7.27%,★ 壓低偷買
8131.TW,福懋科,76.0,0,0,0,20260616,-1870,7778,9648,-4.2x,8.42%,▲ 順勢追意
8110.TW,華東,58.4,0,0,0,20260616,-3931,3063,6995,-0.8x,6.57%,▲ 順勢追意
8299.TWO,群聯,2375.0,0,0,0,20260616,-4034,1511,5546,-0.4x,0.64%,▲ 順勢追意
8121.TWO,越峰,50.3,0,0,0,20260616,1836,6117,4281,3.3x,20.33%,▲ 順勢追意
8227.TWO,巨有科技,178.0,0,0,0,20260616,453,4323,3869,9.5x,-6.07%,★ 壓低偷買
8476.TW,台境*,19.9,0,0,0,20260616,-2457,1316,3773,-0.5x,6.13%,▲ 順勢追意
9921.TW,巨大,76.7,0,0,0,20260616,-212,2235,2448,-10.5x,7.57%,▲ 順勢追意
8044.TWO,網家,28.65,0,0,0,20260616,-2160,232,2393,-0.1x,-10.61%,★ 壓低偷買
