日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-08,2317,鴻海,260.0,241.21,2000,37580,7.79%
2026-08-08,4142,國光生,17.7,25.32,1000,-7620,-30.09%
2026-08-08,0050,元大台灣50,103.3,46.6,16000,907200,121.67%
2026-08-08,0056,元大高股息,51.3,36.43,4000,59480,40.82%
2026-08-08,00635U,期元大S&P黃金,44.27,55.25,3000,-32940,-19.87%
2026-08-08,00738U,期元大道瓊白銀,49.69,66.26,1000,-16570,-25.01%
2026-08-08,00929,復華台灣科技優息,28.94,19.73,8000,73680,46.68%
2026-08-08,009816,凱基台灣TOP50,14.96,11.01,63000,248850,35.88%
2026-08-08,00990A,主動元大AI新經濟,15.83,11.48,5000,21750,37.89%
2026-08-08,2009,第一銅,39.9,50.56,4000,-42640,-21.08%
2026-08-08,2337,旺宏,121.5,95.28,2000,52440,27.52%
2026-08-08,2409,友達,24.55,16.21,2000,16680,51.45%
2026-08-08,3481,群創,47.55,25.1,4000,89800,89.44%
2026-08-08,3105,穩懋,366.0,556.47,300,-57141,-34.23%
2026-08-08,4966,譜瑞-KY,598.0,1921.64,1000,-1323640,-68.88%
2026-08-08,2327,國巨*,540.0,1030.0,1,-490,-47.57%
2026-08-08,00403A,主動統一升級50,9.91,10.68,26000,-20020,-7.21%
2026-08-08,00981A,主動統一台股增長,28.84,27.48,2000,2720,4.95%
2026-08-08,2330,台積電,2370.0,225.55,10,21444,950.76%
2026-08-08,6789,采鈺,417.0,593.5,400,-70600,-29.74%
2026-08-08,6849,奇鼎科技,135.0,266.4,280,-36792,-49.32%
2026-08-08,7853,政美應用,320.0,409.29,280,-25001,-21.82%
2026-08-08,3576,聯合再生,16.95,18.15,5000,-6000,-6.61%
2026-08-08,1721,三晃,19.6,27.88,3000,-24850,-29.71%
2026-08-08,8215,明基材,24.5,31.6,200,-1420,-22.47%
2026-08-08,00405A,主動富邦台灣龍耀,8.25,9.34,11000,-11990,-11.67%
2026-08-08,5498,凱崴,48.5,69.61,188,-3969,-30.33%
2026-08-08,1301,台塑,55.8,50.5,100,530,10.50%
2026-08-08,6498,久禾光,74.5,67.3,12,86,10.70%
2026-08-08,009821,野村稀土關鍵資源,14.12,17.3,12000,-38160,-18.38%
