
📅 投資日報表: 2026-06-27
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 255.50   | 255.50   | 248.00   | 248.50   | 76,100,217   | 241.21      | 2000     | ▲14,580   |   +3.02%
4142     | 國光生        | 17.05    | 17.05    | 16.80    | 16.80    | 1,610,039    | 25.32       | 1000     | ▼8,520    |  -33.65%
0050     | 元大台灣50     | 105.40   | 105.85   | 102.80   | 103.10   | 251,693,794  | 46.60       | 16000    | ▲904,000  | +121.24%
0056     | 元大高股息      | 52.80    | 52.95    | 51.35    | 51.45    | 70,851,389   | 36.43       | 4000     | ▲60,080   |  +41.23%
00635U   | 期元大S&P黃金   | 41.90    | 41.98    | 41.56    | 41.90    | 3,846,457    | 55.25       | 3000     | ▼40,050   |  -24.16%
00738U   | 期元大道瓊白銀    | 46.53    | 46.60    | 44.91    | 45.52    | 6,260,650    | 66.26       | 1000     | ▼20,740   |  -31.30%
00929    | 復華台灣科技優息   | 31.28    | 31.32    | 29.90    | 29.96    | 59,642,419   | 19.73       | 8000     | ▲81,840   |  +51.85%
009816   | 凱基台灣TOP50  | 15.38    | 15.44    | 14.98    | 15.00    | 361,397,505  | 11.01       | 63000    | ▲251,370  |  +36.24%
00990A   | 主動元大AI新經濟  | 20.97    | 20.97    | 20.17    | 20.23    | 62,185,710   | 11.48       | 5000     | ▲43,750   |  +76.22%
2009     | 第一銅        | 38.70    | 38.70    | 37.80    | 38.05    | 2,353,750    | 50.56       | 4000     | ▼50,040   |  -24.74%
2337     | 旺宏         | 162.00   | 174.50   | 162.00   | 162.50   | 189,108,464  | 95.28       | 2000     | ▲134,440  |  +70.55%
2409     | 友達         | 30.00    | 30.15    | 27.95    | 27.95    | 365,810,469  | 16.21       | 2000     | ▲23,480   |  +72.42%
3481     | 群創         | 69.30    | 70.90    | 64.00    | 65.00    | 727,999,213  | 25.10       | 4000     | ▲159,600  | +158.96%
6806     | 森崴能源       | 3.17     | 3.56     | 3.17     | 3.51     | 6,596,870    | 45.39       | 5000     | ▼209,400  |  -92.27%
3105     | 穩懋         | 458.00   | 463.50   | 421.00   | 424.00   | 32,608,432   | 556.47      | 300      | ▼39,741   |  -23.81%
4966     | 譜瑞-KY      | 653.00   | 654.00   | 602.00   | 608.00   | 2,574,174    | 1921.64     | 1000     | ▼1,313,640 |  -68.36%
2327     | 國巨*        | 1100.00  | 1100.00  | 1015.00  | 1015.00  | 52,009,610   | 1030.00     | 1        | ▼15       |   -1.46%
00403A   | 主動統一升級50   | 10.96    | 11.07    | 10.54    | 10.56    | 516,496,882  | 10.68       | 26000    | ▼3,120    |   -1.12%
00981A   | 主動統一台股增長   | 31.17    | 31.34    | 29.89    | 29.91    | 354,206,738  | 27.48       | 2000     | ▲4,860    |   +8.84%
2330     | 台積電        | 2360.00  | 2370.00  | 2325.00  | 2340.00  | 39,547,254   | 225.55      | 10       | ▲21,144   | +937.46%
6789     | 采鈺         | 529.00   | 529.00   | 491.00   | 492.00   | 2,771,736    | 593.50      | 400      | ▼40,600   |  -17.10%
6849     | 奇鼎科技       | 154.00   | 157.50   | 141.50   | 141.50   | 404,007      | 266.40      | 280      | ▼34,972   |  -46.88%
7853     | 政美應用       | 325.00   | 333.50   | 318.50   | 323.50   | 462,732      | 409.29      | 280      | ▼24,021   |  -20.96%
3576     | 聯合再生       | 17.20    | 17.45    | 16.50    | 16.50    | 19,471,438   | 18.15       | 5000     | ▼8,250    |   -9.09%
1721     | 三晃         | 24.30    | 24.30    | 22.85    | 22.90    | 1,943,144    | 27.88       | 3000     | ▼14,950   |  -17.87%
8215     | 明基材        | 29.55    | 29.60    | 28.10    | 28.15    | 2,161,584    | 31.60       | 200      | ▼690      |  -10.92%
00405A   | 主動富邦台灣龍耀   | 9.35     | 9.42     | 8.98     | 9.00     | 197,546,152  | 9.34        | 11000    | ▼3,740    |   -3.64%
5498     | 凱崴         | 61.60    | 63.20    | 57.70    | 58.00    | 4,740,559    | 69.61       | 188      | ▼2,183    |  -16.68%
1301     | 台塑         | 57.50    | 57.50    | 52.20    | 52.20    | 62,110,469   | 50.50       | 100      | ▲170      |   +3.37%
6498     | 久禾光        | 100.50   | 100.50   | 94.60    | 95.00    | 369,289      | 67.30       | 12       | ▲332      |  +41.16%
009821   | 野村稀土關鍵資源   | 14.56    | 14.56    | 14.23    | 14.23    | 57,479,912   | 17.30       | 12000    | ▼36,840   |  -17.75%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,653,614    📊 未實現損益:        -151,865 (  -2.28%)
