prev_rev_yoy,prev_eps_yoy,date,om,advice,prev_year,eps_yoy,name,gm,est_price,symbol,pe,status,eps,prev_eps,price,expansion,rev_yoy
-19.66,-40.68,2026-03,8.69%,⚠️ 追價風險,2025,1200.0,微端,28.61%,15.75,3285.TWO,36.476189749619046,🚀 利潤擴張,0.26,0.7,38.2999992371,511.73,688.27
20.92,222.58,2026-03,N/A,⚠️ 追價風險,2025,530.77,GOGOLOOK,N/A,52.05,6902.TW,35.87896253602306,🚀 利潤擴張,1.64,1.58,124.5,487.52,43.25
5.06,74.6,2026-03,N/A,⚪ 數據不足,2025,820.0,鑫永洋,N/A,-7.499999999999999,6241.TWO,0.0,🔄 轉虧為盈,0.46,-0.16,15.8000001907,484.25,335.75
-6.1,-42.59,2026-03,N/A,⚠️ 追價風險,2025,1200.0,綠電,N/A,8.850000000000001,8440.TWO,33.644068443220334,🚀 利潤擴張,0.22,0.31,19.8500003815,472.41999999999996,727.58
-41.11,-1.45,2026-03,-0.34%,⚪ 數據不足,2025,418.92,富田-創,30.54%,0.0,4590.TW,0.0,🧐 疑業外收益,1.21,2.72,86.8000030518,444.74,-25.82
11.66,-34.67,2026-03,11.05%,⚠️ 追價風險,2025,600.0,麗正,36.04%,17.400000000000002,2302.TW,34.65517307146551,🚀 利潤擴張,0.25,0.49,40.2000007629,412.3,187.7
9.55,576.92,2026-03,15.37%,⚠️ 追價風險,2025,1037.5,華邦電,41.86%,40.8,2344.TW,58.63970588235295,🚀 利潤擴張,2.25,0.88,159.5,390.63,646.87
28.36,5.88,2026-03,N/A,⚪ 數據不足,2025,387.5,宏�砦C戲-創,N/A,0.0,6908.TW,0.0,🚀 利潤擴張,0.41,1.44,30.1000003815,381.05,6.45
-15.3,-49.65,2026-03,N/A,⚪ 中性觀察,2025,715.79,應廣,N/A,81.60000000000001,6716.TWO,21.13970588235294,🚀 利潤擴張,1.59,2.19,115.0,356.01,359.78
9.95,207.35,2026-03,N/A,⚪ 中性觀察,2025,380.0,寶碩,N/A,19.499999999999996,5210.TWO,21.923076923076927,🚀 利潤擴張,0.24,0.73,28.5,342.59000000000003,37.41
