prev_eps_yoy,symbol,advice,prev_eps,prev_year,price,est_price,rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_rev_yoy,name,status,eps
460.0,4924.TWO,⚪ 中性觀察,0.28,2025,10.3500003815,7.2,3.99,27.32%,660.0,2025-12,21.562500794791664,0.43%,656.01,22.5,欣厚-KY,🚀 利潤擴張,0.38
422.22,3002.TW,✅ 穩健價值,0.48,2025,18.0499992371,17.099999999999998,16.76,17.03%,620.0,2025-12,15.833332664122809,-11.28%,603.24,14.66,歐格,🚀 利潤擴張,0.36
-57.14,2344.TW,⚠️ 追價風險,0.12,2025,89.8000030518,3.4499999999999997,9.55,41.86%,576.92,2025-12,390.43479587739137,15.37%,567.37,-0.22,華邦電,🚀 利潤擴張,0.88
288.57,3054.TW,⚠️ 追價風險,0.66,2025,66.0,39.0,26.61,62.07%,590.0,2025-12,25.384615384615383,-188.65%,563.39,24.16,立萬利,🏰 高護城河,1.96
1270.21,9949.TWO,⚪ 數據不足,5.5,2025,0.0,0.0,-17.0,N/A,544.54,2025-12,0.0,N/A,561.54,-19.03,琉園,🧐 疑業外收益,5.29
-90.0,6282.TW,⚪ 數據不足,-0.38,2025,47.3499984741,-13.950000000000003,0.1,N/A,550.0,2025-12,0.0,N/A,549.9,-4.33,康舒,🔄 轉虧為盈,0.18
179.03,2491.TW,⚠️ 追價風險,0.49,2025,15.1999998093,2.5500000000000025,-10.43,43.42%,457.5,2025-12,89.41176358411757,-66.51%,467.93,-12.66,吉祥全,🧐 疑業外收益,1.43
2600.0,3297.TWO,⚠️ 追價風險,0.54,2025,32.0499992371,18.15,20.59,30.70%,461.54,2025-12,26.48760267528926,-18.51%,440.95000000000005,18.74,杭特,🚀 利潤擴張,0.47
7.84,3555.TWO,⚪ 數據不足,-0.58,2025,248.0,-9.599999999999998,334.57,18.45%,752.94,2025-12,0.0,4.44%,418.37000000000006,310.97,博士旺,🔄 轉虧為盈,1.28
38.89,2243.TW,⚠️ 追價風險,-0.11,2025,27.25,13.199999999999998,-9.02,22.27%,408.33,2025-12,30.965909090909097,15.14%,417.34999999999997,-10.45,宏旭-KY,🔄 轉虧為盈,1.22
790.16,3167.TW,⚠️ 追價風險,5.45,2025,861.0,264.15000000000003,95.35,42.12%,474.47,2025-12,48.892674616695054,18.24%,379.12,119.15,大量,🚀 利潤擴張,8.13
326.32,1413.TW,💎 強力關注,0.43,2025,9.529999733,16.499999999999996,-9.55,2.52%,364.71,2025-12,8.663636120909093,0.23%,374.26,-6.34,宏洲,🧐 疑業外收益,0.45
187.32,4764.TW,⚠️ 追價風險,0.62,2025,258.0,38.849999999999994,5.46,23.49%,377.27,2025-12,99.61389961389962,7.74%,371.81,6.23,雙鍵,🚀 利潤擴張,1.22
916.67,5490.TWO,💎 強力關注,1.26,2025,27.3500003815,68.4,12.01,N/A,382.35,2025-12,5.997807101206139,N/A,370.34000000000003,13.03,同亨,🚀 利潤擴張,1.69
103.23,8940.TW,💎 強力關注,0.02,2025,17.5,42.0,-6.42,N/A,358.33,2025-12,6.25,N/A,364.75,-10.3,新天地,🧐 疑業外收益,0.55
179.66,3219.TWO,⚪ 中性觀察,1.65,2025,67.0,59.699999999999996,49.68,69.49%,406.67,2025-12,16.83417085427136,-15.39%,356.99,43.11,倚強科,🏰 高護城河,1.52
185.25,2409.TW,💎 強力關注,0.52,2025,17.2000007629,38.1,0.41,10.73%,327.5,2025-12,6.771653843661418,-2.70%,327.09,-0.15,友達,🚀 利潤擴張,0.9
114.76,4439.TW,💎 強力關注,7.71,2025,98.0999984741,321.90000000000003,29.26,15.60%,346.24,2025-12,4.5712953622600185,0.97%,316.98,30.37,冠星-KY,🚀 利潤擴張,7.73
-222.22,2399.TW,⚪ 數據不足,-0.11,2025,42.4500007629,-2.7000000000000006,-14.09,8.40%,275.0,2025-12,0.0,-12.67%,289.09,-14.04,映泰,🔄 轉虧為盈,0.15
352.24,2498.TW,💎 強力關注,7.88,2025,40.1500015259,359.25,-5.85,34.44%,275.85,2025-12,1.6764092495156577,-79.17%,281.70000000000005,-0.73,宏達電,🧐 疑業外收益,7.21
-18.34,9914.TW,💎 強力關注,4.81,2025,57.9000015259,194.10000000000002,-9.71,N/A,271.37,2025-12,4.474497799528593,N/A,281.08,-8.55,美利達,🧐 疑業外收益,4.01
410.34,6165.TW,⚪ 數據不足,3.02,2025,0.0,0.0,12.97,N/A,288.24,2025-12,0.0,N/A,275.27,12.63,浪凡,🚀 利潤擴張,4.02
447.83,4576.TW,⚠️ 追價風險,1.26,2025,222.0,65.55,20.44,38.42%,294.12,2025-12,50.80091533180778,13.23%,273.68,19.84,大銀微系統,🚀 利潤擴張,2.01
230.67,2466.TW,⚪ 數據不足,0.98,2025,57.7000007629,-8.100000000000001,-14.27,-4.21%,241.18,2025-12,0.0,-53.06%,255.45000000000002,-6.66,冠西電,🧐 疑業外收益,0.25
241.94,1608.TW,💎 強力關注,4.75,2025,32.7000007629,174.45,0.02,9.17%,254.81,2025-12,2.8116939606964744,6.96%,254.79,-0.36,華榮,🚀 利潤擴張,5.5
-11.76,1718.TW,⚠️ 追價風險,0.19,2025,6.5500001907,3.9000000000000004,-0.24,41.46%,250.0,2025-12,25.192308425769227,18.72%,250.24,4.96,中纖,🧐 疑業外收益,0.09
180.87,4949.TW,⚠️ 追價風險,1.48,2025,105.5,68.25,-0.48,N/A,240.74,2025-12,23.186813186813186,N/A,241.22,-1.75,有成精密,🧐 疑業外收益,1.91
10.89,1438.TW,⚪ 數據不足,-0.9,2025,22.1499996185,-2.4000000000000004,7.93,29.82%,237.01,2025-12,0.0,25.89%,229.07999999999998,-98.23,三地開發,🔄 轉虧為盈,1.74
15.89,1456.TW,💎 強力關注,-0.9,2025,13.6999998093,22.050000000000004,-20.46,46.73%,207.21,2025-12,9.31972776142857,248.16%,227.67000000000002,-26.31,怡華,🔄 轉虧為盈,3.41
-50.0,3530.TW,⚠️ 追價風險,0.47,2025,64.5999984741,31.349999999999998,6.6,31.94%,230.83,2025-12,30.90909017899522,14.09%,224.23000000000002,-5.41,晶相光,🚀 利潤擴張,1.74
94.12,2034.TW,⚠️ 追價風險,0.33,2025,21.2999992371,14.399999999999999,-13.63,5.45%,200.0,2025-12,22.187499205312502,-1.87%,213.63,-4.98,允強,🧐 疑業外收益,0.21
237.21,4167.TWO,💎 強力關注,1.43,2025,18.9500007629,83.1,-1.28,30.12%,203.51,2025-12,3.420577755036101,9.56%,204.79,-6.23,松瑞藥,🧐 疑業外收益,1.72
400.0,4744.TWO,💎 強力關注,1.0,2025,33.0499992371,66.44999999999999,12.21,42.43%,216.0,2025-12,7.460496441783297,14.38%,203.79,14.04,皇將,🚀 利潤擴張,2.51
119.47,6902.TW,⚠️ 追價風險,0.23,2025,102.5,31.349999999999998,20.92,N/A,222.58,2025-12,49.04306220095694,N/A,201.66000000000003,20.7,GOGOLOOK,🚀 利潤擴張,1.58
260.07,2316.TW,💎 強力關注,10.81,2025,112.5,468.90000000000003,12.25,5.71%,212.47,2025-12,3.5988483685220727,-7.46%,200.22,8.72,楠梓電,🚀 利潤擴張,13.38
150.0,1796.TWO,⚠️ 追價風險,0.31,2025,38.0,20.249999999999996,29.92,31.84%,229.63,2025-12,28.148148148148152,10.64%,199.70999999999998,36.52,金穎生技,🚀 利潤擴張,0.7
76.12,6840.TWO,⚪ 中性觀察,1.18,2025,68.0999984741,51.15,8.46,N/A,205.88,2025-12,19.970674039325516,N/A,197.42,5.51,東研信超,🚀 利潤擴張,1.58
219.57,3191.TWO,⚠️ 追價風險,0.55,2025,14.0,7.2,-7.75,29.43%,189.47,2025-12,29.166666666666664,-10.81%,197.22,-1.51,雲嘉南,🧐 疑業外收益,0.51
153.27,3048.TW,💎 強力關注,1.14,2025,38.1500015259,60.59999999999999,2.05,3.50%,195.71,2025-12,9.443069684628716,1.71%,193.66,5.31,益登,🚀 利潤擴張,2.01
191.04,6202.TW,⚠️ 追價風險,0.62,2025,54.2000007629,34.199999999999996,22.23,N/A,213.64,2025-12,23.77193015916667,N/A,191.41,31.27,盛群,🚀 利潤擴張,0.76
62.12,2413.TW,⚪ 數據不足,-0.25,2025,43.5499992371,-9.6,3.52,17.05%,193.18,2025-12,0.0,3.38%,189.66,8.02,環科,🔄 轉虧為盈,0.41
-70.59,1516.TW,⚠️ 追價風險,0.1,2025,21.4500007629,0.30000000000000027,-87.0,5.36%,100.65,2025-12,1072.500038144999,-14.33%,187.65,-90.58,川飛,🧐 疑業外收益,0.04
-3.23,6112.TW,✅ 穩健價值,1.2,2025,45.7000007629,56.25,18.84,N/A,203.33,2025-12,12.186666870106666,N/A,184.49,20.56,邁達特,🚀 利潤擴張,1.82
97.79,6246.TWO,⚠️ 追價風險,-0.04,2025,16.3999996185,11.099999999999998,6.56,N/A,186.36,2025-12,22.162161646621627,N/A,179.8,11.15,臺龍,🔄 轉虧為盈,1.14
39.43,4746.TW,⚪ 數據不足,2.44,2025,0.0,0.0,2.54,41.59%,180.15,2025-12,0.0,21.37%,177.61,4.96,台耀,🚀 利潤擴張,3.67
314.37,3609.TWO,💎 強力關注,7.31,2025,22.3999996185,163.5,70.72,8.05%,248.27,2025-12,2.055045836559633,-11.23%,177.55,27.17,三一東林,🚀 利潤擴張,6.42
