Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
00642U.TW,期元大S&P石油,2026-04-29,看漲 FVG,32.36,29.38,33.98,⏳ 待回測,⚡結構突破,0,63.52,-,2,False
3707.TWO,漢磊,2026-04-20,看漲 FVG,58.5,57.11,61.43,💰 已達標,獲利點,0,57.08,-,2,False
2313.TW,華通,2026-04-27,看漲 FVG,230.0,222.88,241.5,💰 已達標,獲利點,0,34.51,2026-04-29,3,False
2417.TW,圓剛,2026-04-29,看漲 FVG,44.7,38.85,46.94,⏳ 待回測,監控中 🧹,1,65.37,-,3,False
2449.TW,京元電子,2026-04-16,看跌 FVG,284.5,291.45,270.27,💰 已達標,獲利點,0,48.19,-,3,False
3105.TWO,穩懋,2026-04-29,看漲 FVG,528.0,509.44,554.4,⏳ 待回測,監控中 🧹,0,59.43,-,3,False
4526.TW,東台,2026-04-28,看漲 FVG,34.2,33.53,35.91,💰 已達標,獲利點,1,51.9,-,3,False
5443.TWO,均豪,2026-04-29,看漲 FVG,122.0,113.43,128.1,⏳ 待回測,監控中 🧹,0,55.66,-,3,False
6207.TWO,雷科,2026-04-10,看漲 FVG,53.2,52.54,55.86,💰 已達標,獲利點,1,58.56,-,3,False
00715L.TW,期街口S&P布蘭特油正2,2026-04-29,看漲 FVG,70.6,60.84,74.13,⏳ 待回測,⚡結構突破 ⚠️過熱,0,70.86,-,4,False
2388.TW,威盛,2026-04-27,看跌 FVG,74.9,77.18,71.16,💰 已達標,獲利點,0,78.41,-,4,False
2455.TW,全新,2026-04-21,看漲 FVG,345.0,339.3,362.25,💰 已達標,獲利點,0,68.22,2026-04-23,4,False
2486.TW,一詮,2026-04-29,看漲 FVG,242.0,232.83,254.1,⏳ 待回測,⚡結構突破 ⚠️過熱,1,87.32,-,4,False
3037.TW,欣興,2026-04-27,看漲 FVG,822.0,786.05,863.1,❌ 已失效,實體破中線,0,88.09,-,4,False
3576.TW,聯合再生,2026-04-23,看跌 FVG,15.65,16.08,14.87,💰 已達標,獲利點,0,30.45,2026-04-27,4,False
3605.TW,宏致,2026-04-29,看漲 FVG,86.1,83.68,90.41,⏳ 待回測,⚡結構突破 ⚠️過熱,0,82.85,-,4,False
4540.TW,全球傳動,2026-04-29,看漲 FVG,63.8,60.5,66.99,⏳ 待回測,⚡結構突破 🧹 ⚠️過熱,1,81.88,-,4,False
4576.TW,大銀微系統,2026-04-28,看漲 FVG,201.0,182.09,211.05,💰 已達標,獲利點,0,75.77,2026-04-30,4,False
6672.TW,騰輝電子-KY,2026-04-20,看漲 FVG,179.0,175.12,187.95,💰 已達標,獲利點,1,85.23,-,4,False
8027.TWO,鈦昇,2026-04-29,看漲 FVG,181.0,168.16,190.05,⏳ 待回測,⚡結構突破 ⚠️過熱,0,65.85,-,4,False
8046.TW,南電,2026-04-27,看漲 FVG,904.0,869.63,949.2,💰 已達標,獲利點,0,89.59,-,4,False
