
📅 投資日報表: 2026-08-28
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 255.50   | 256.50   | 251.00   | 252.00   | 27,505,848   | 241.21      | 2000     | ▲21,580   |   +4.47%
4142     | 國光生        | 17.95    | 18.20    | 17.90    | 17.90    | 565,780      | 25.32       | 1000     | ▼7,420    |  -29.30%
0050     | 元大台灣50     | 107.10   | 107.35   | 106.70   | 107.00   | 72,164,054   | 46.60       | 16000    | ▲966,400  | +129.61%
0056     | 元大高股息      | 54.00    | 54.45    | 53.75    | 53.80    | 17,880,331   | 36.43       | 4000     | ▲69,480   |  +47.68%
00635U   | 期元大S&P黃金   | 47.50    | 47.63    | 47.30    | 47.37    | 3,352,405    | 55.25       | 3000     | ▼23,640   |  -14.26%
00738U   | 期元大道瓊白銀    | 55.10    | 55.40    | 54.45    | 54.80    | 2,328,747    | 66.26       | 1000     | ▼11,460   |  -17.30%
00929    | 復華台灣科技優息   | 29.31    | 29.34    | 29.06    | 29.13    | 16,130,923   | 19.73       | 8000     | ▲75,200   |  +47.64%
009816   | 凱基台灣TOP50  | 15.62    | 15.65    | 15.55    | 15.59    | 76,415,757   | 11.01       | 63000    | ▲288,540  |  +41.60%
00990A   | 主動元大AI新經濟  | 15.77    | 15.77    | 15.37    | 15.37    | 14,999,477   | 11.48       | 5000     | ▲19,450   |  +33.89%
2009     | 第一銅        | 42.55    | 42.80    | 41.35    | 41.40    | 2,347,970    | 50.56       | 4000     | ▼36,640   |  -18.12%
2337     | 旺宏         | 130.00   | 130.00   | 125.00   | 126.50   | 25,560,690   | 95.28       | 2000     | ▲62,440   |  +32.77%
2409     | 友達         | 25.25    | 26.20    | 25.20    | 25.90    | 115,448,710  | 16.21       | 2000     | ▲19,380   |  +59.78%
3481     | 群創         | 46.70    | 49.60    | 46.45    | 48.65    | 294,749,787  | 25.10       | 4000     | ▲94,200   |  +93.82%
3105     | 穩懋         | 449.50   | 461.50   | 435.50   | 437.50   | 45,541,450   | 556.47      | 300      | ▼35,691   |  -21.38%
4966     | 譜瑞-KY      | 593.00   | 599.00   | 578.00   | 580.00   | 925,492      | 1921.64     | 1000     | ▼1,341,640 |  -69.82%
2327     | 國巨*        | 581.00   | 610.00   | 576.00   | 600.00   | 71,837,096   | 1030.00     | 1        | ▼430      |  -41.75%
00403A   | 主動統一升級50   | 10.32    | 10.44    | 10.32    | 10.38    | 416,725,507  | 10.68       | 26000    | ▼7,800    |   -2.81%
00981A   | 主動統一台股增長   | 29.83    | 30.29    | 29.75    | 30.16    | 206,488,667  | 27.48       | 2000     | ▲5,360    |   +9.75%
2330     | 台積電        | 2440.00  | 2445.00  | 2410.00  | 2420.00  | 11,900,652   | 225.55      | 10       | ▲21,944   | +972.93%
6789     | 采鈺         | 469.00   | 475.50   | 462.00   | 463.50   | 1,392,905    | 593.50      | 400      | ▼52,000   |  -21.90%
6849     | 奇鼎科技       | 132.50   | 136.50   | 131.50   | 135.00   | 132,391      | 266.40      | 280      | ▼36,792   |  -49.32%
7853     | 政美應用       | 288.00   | 310.50   | 277.00   | 297.00   | 728,248      | 409.29      | 280      | ▼31,441   |  -27.44%
3576     | 聯合再生       | 17.40    | 18.15    | 17.40    | 17.45    | 20,395,947   | 18.15       | 5000     | ▼3,500    |   -3.86%
1721     | 三晃         | 20.45    | 20.65    | 20.20    | 20.40    | 435,660      | 27.88       | 3000     | ▼22,450   |  -26.84%
8215     | 明基材        | 25.50    | 26.75    | 25.10    | 26.05    | 1,561,712    | 31.60       | 200      | ▼1,110    |  -17.56%
00405A   | 主動富邦台灣龍耀   | 8.73     | 8.88     | 8.72     | 8.78     | 71,919,205   | 9.34        | 11000    | ▼6,160    |   -6.00%
5498     | 凱崴         | 54.40    | 58.30    | 53.60    | 57.60    | 5,777,861    | 69.61       | 188      | ▼2,258    |  -17.25%
1301     | 台塑         | 63.20    | 64.80    | 62.30    | 62.40    | 30,567,878   | 50.50       | 100      | ▲1,190    |  +23.56%
6498     | 久禾光        | 79.70    | 79.70    | 75.80    | 75.80    | 130,068      | 67.30       | 12       | ▲102      |  +12.63%
009821   | 野村稀土關鍵資源   | 15.95    | 16.00    | 15.87    | 15.92    | 7,533,555    | 17.30       | 12000    | ▼16,560   |   -7.98%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:          +8,274 (  +0.13%)
