expansion,eps_yoy,date,om,prev_eps,est_price,pe,symbol,prev_year,prev_rev_yoy,gm,name,eps,status,advice,prev_eps_yoy,price,rev_yoy
381.05,387.5,2026-03,N/A,1.44,0.0,0.0,6908.TW,2025,28.36,N/A,宏�砦C戲-創,0.41,🚀 利潤擴張,⚪ 數據不足,5.88,30.0,6.45
356.01,715.79,2026-03,N/A,2.19,81.60000000000001,23.52941176470588,6716.TWO,2025,-15.3,N/A,應廣,1.59,🚀 利潤擴張,⚠️ 追價風險,-49.65,128.0,359.78
342.59000000000003,380.0,2026-03,N/A,0.73,19.499999999999996,22.61538432192308,5210.TWO,2025,9.95,N/A,寶碩,0.24,🚀 利潤擴張,⚠️ 追價風險,207.35,29.3999996185,37.41
339.47,1090.0,2026-03,N/A,-0.2,-8.4,0.0,5228.TWO,2025,25.85,N/A,鈺鎧,0.99,🔄 轉虧為盈,⚪ 數據不足,90.52,43.0,750.53
338.21999999999997,517.65,2026-03,N/A,2.35,92.55,11.329011592528362,2754.TWO,2025,5.96,N/A,亞洲藏壽司,1.42,🚀 利潤擴張,💎 強力關注,1.73,69.9000015259,179.43
312.59000000000003,550.0,2026-03,14.30%,0.92,26.4,40.11363549664773,4556.TWO,2025,-3.75,42.07%,旭然,0.13,🚀 利潤擴張,⚠️ 追價風險,170.59,70.5999984741,237.41
306.68,650.0,2026-03,7.94%,0.57,25.95,14.132948417861272,3071.TWO,2025,-5.82,30.11%,協禧,0.15,🚀 利潤擴張,✅ 穩健價值,-29.63,24.4500007629,343.32
293.43999999999994,1143.3,2026-03,N/A,41.98,2097.2999999999997,15.376913174080961,8299.TWO,2025,23.29,N/A,群聯,68.8,🚀 利潤擴張,✅ 穩健價值,3.78,2150.0,849.86
276.36999999999995,546.67,2026-03,N/A,-0.43,-2.2499999999999996,0.0,6615.TWO,2025,-14.91,N/A,慧智,0.67,🔄 轉虧為盈,⚪ 數據不足,-150.59,34.5,270.3
268.97,640.0,2026-03,N/A,0.18,-9.150000000000002,0.0,6282.TW,2025,0.1,N/A,康舒,0.27,🚀 利潤擴張,⚪ 數據不足,550.0,45.2999992371,371.03
258.58,445.45,2026-03,N/A,-0.76,-20.1,0.0,8489.TWO,2025,5.03,N/A,三貝德,0.38,🔄 轉虧為盈,⚪ 數據不足,55.83,22.4500007629,186.87
228.27999999999997,701.79,2026-03,8.07%,1.77,120.3,12.780548628428928,4916.TW,2025,0.89,18.73%,事欣科,4.49,🚀 利潤擴張,✅ 穩健價值,8050.0,102.5,473.51
226.35000000000002,518.75,2026-03,N/A,0.88,44.1,5.340135989557823,4432.TWO,2025,-3.15,N/A,銘旺實,2.97,🚀 利潤擴張,💎 強力關注,-66.67,15.6999998093,292.4
217.69,350.0,2026-03,-88.29%,0.88,14.700000000000001,9.816326413877551,4702.TWO,2025,-61.59,35.38%,中美實,0.45,🚀 利潤擴張,💎 強力關注,51.72,9.6199998856,132.31
215.22999999999996,512.9,2026-03,N/A,13.25,493.65000000000003,4.299604983287754,8478.TW,2025,5.83,N/A,東哥遊艇,3.8,🚀 利潤擴張,💎 強力關注,33.97,141.5,297.67
211.49,925.0,2026-03,8.70%,1.65,76.65,7.455968390234832,1609.TW,2025,3.39,13.61%,大亞,0.66,🚀 利潤擴張,💎 強力關注,-21.15,38.0999984741,713.51
186.79000000000002,213.33,2026-03,7.12%,0.08,0.0,0.0,3717.TW,2025,3.55,19.34%,聯嘉投控,0.47,🚀 利潤擴張,⚪ 數據不足,-80.0,23.25,26.54
185.94,266.67,2026-03,N/A,-1.82,-43.199999999999996,0.0,8084.TWO,2025,-10.9,N/A,巨虹,0.33,🔄 轉虧為盈,⚪ 數據不足,-280.2,46.0,80.73
185.43999999999994,728.13,2026-03,14.85%,2.02,94.05,7.8548644338118025,3290.TWO,2025,18.23,30.40%,東浦,2.65,🚀 利潤擴張,💎 強力關注,25.64,49.25,542.69
164.05,550.0,2026-03,N/A,-0.17,-7.95,0.0,5460.TWO,2025,-15.68,N/A,同協,0.09,🔄 轉虧為盈,⚪ 數據不足,-177.27,16.2000007629,385.95
160.65000000000003,276.67,2026-03,N/A,1.54,0.0,0.0,4582.TWO,2025,32.98,N/A,未知,0.53,🚀 利潤擴張,⚪ 數據不足,1640.0,0.0,116.02
160.65000000000003,276.67,2026-03,N/A,1.54,0.0,0.0,4582.TW,2025,32.98,N/A,聚恆-創,0.53,🚀 利潤擴張,⚪ 數據不足,1640.0,23.3999996185,116.02
