prev_rev_yoy,eps_yoy,rev_yoy,gm,prev_eps_yoy,pe,expansion,prev_eps,prev_year,status,price,name,advice,symbol,date,est_price,eps,om
20.92,530.77,43.25,N/A,222.58,38.76080691642652,487.52,1.58,2025,🚀 利潤擴張,134.5,GOGOLOOK,⚠️ 追價風險,6902.TW,2026-03,52.05,1.64,N/A
5.06,820.0,335.75,N/A,74.6,0.0,484.25,-0.16,2025,🔄 轉虧為盈,13.8500003815,鑫永洋,⚪ 數據不足,6241.TWO,2026-03,-7.499999999999999,0.46,N/A
-6.1,1200.0,727.58,N/A,-42.59,34.23728942864406,472.41999999999996,0.31,2025,🚀 利潤擴張,20.2000007629,綠電,⚠️ 追價風險,8440.TWO,2026-03,8.850000000000001,0.22,N/A
-41.11,418.92,-25.82,30.54%,-1.45,0.0,444.74,2.72,2025,🧐 疑業外收益,88.8000030518,富田-創,⚪ 數據不足,4590.TW,2026-03,0.0,1.21,-0.34%
11.66,600.0,187.7,36.04%,-34.67,37.241379968017235,412.3,0.49,2025,🚀 利潤擴張,43.2000007629,麗正,⚠️ 追價風險,2302.TW,2026-03,17.400000000000002,0.25,11.05%
9.55,1037.5,646.87,41.86%,576.92,66.7279411764706,390.63,0.88,2025,🚀 利潤擴張,181.5,華邦電,⚠️ 追價風險,2344.TW,2026-03,40.8,2.25,15.37%
28.36,387.5,6.45,N/A,5.88,0.0,381.05,1.44,2025,🚀 利潤擴張,32.8499984741,宏�砦C戲-創,⚪ 數據不足,6908.TW,2026-03,0.0,0.41,N/A
-15.3,715.79,359.78,N/A,-49.65,23.89705882352941,356.01,2.19,2025,🚀 利潤擴張,130.0,應廣,⚠️ 追價風險,6716.TWO,2026-03,81.60000000000001,1.59,N/A
9.95,380.0,37.41,N/A,207.35,22.384615678076926,342.59000000000003,0.73,2025,🚀 利潤擴張,29.1000003815,寶碩,⚠️ 追價風險,5210.TWO,2026-03,19.499999999999996,0.24,N/A
25.85,1090.0,750.53,N/A,90.52,0.0,339.47,-0.2,2025,🔄 轉虧為盈,43.7999992371,鈺鎧,⚪ 數據不足,5228.TWO,2026-03,-8.4,0.99,N/A
5.96,517.65,179.43,N/A,1.73,11.183144246353322,338.21999999999997,2.35,2025,🚀 利潤擴張,69.0,亞洲藏壽司,💎 強力關注,2754.TWO,2026-03,92.55,1.42,N/A
