代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,28.82,29.75,2900,31.2,3000,31.25,28.10,30.23,29.75,154469,-,
1269,乾杯,63.46,61.5,3000,64.4,3000,64.50,63.50,64.01,64.50,9608,-,
1271,晨暉生技,59.06,58.2,3000,59.0,1780,59.20,58.00,58.61,59.00,46764,-,
1293,利統,22.80,22.8,3000,23.45,3000,23.45,23.45,23.45,23.45,1001,-,
1343,旭東環保,34.27,34.15,3000,35.1,5999,35.15,34.10,34.72,35.10,20114,-,
1480,東盟開發,7.91,7.91,5000,8.1,5000,7.99,7.91,7.94,7.95,30002,-,
1594,日高,7.84,7.7,9951,8.1,10000,8.00,7.70,7.71,8.00,51,-,
2071,震南鐵,33.98,33.65,3000,35.0,3000,35.15,33.70,33.91,33.70,14778,-,
2245,詠勝昌*,23.85,23.85,2880,25.05,9000,23.85,23.85,23.85,23.85,120,-,
2249,湧盛,89.31,88.1,2850,89.3,2954,89.30,86.80,87.78,88.10,36699,115/07/28,櫃買中心同意上櫃契約
2252,為昇科,16.55,17.65,5000,18.05,5000,17.90,16.30,17.25,17.90,197883,-,
2255,凱銳光電,14.20,14.0,4672,14.55,2935,14.55,14.00,14.47,14.55,2393,-,
2256,歐特明,80.13,79.8,3000,83.8,5997,87.30,79.40,82.15,83.80,504996,-,
2644,中信造船,79.81,77.3,3000,77.9,3000,80.50,75.70,77.61,77.90,122044,-,
2733,維格餅家,11.00,10.45,10000,11.0,9999,11.00,11.00,11.00,11.00,1,-,
2741,老四川,20.99,20.45,3000,21.3,2996,21.60,20.70,21.17,21.30,71762,-,
2758,路易莎咖啡,70.50,68.1,3000,70.3,3000,70.50,68.70,69.30,70.00,7068,-,
2760,巨宇翔,10.37,10.25,4999,10.5,5000,10.25,10.25,10.25,10.25,1,-,
2761,橘焱胡同,14.95,14.55,5000,15.05,4998,15.55,14.80,15.06,15.00,11753,-,
2938,床的世界,25.74,25.0,3000,25.75,3000,25.80,24.25,25.01,25.10,33001,115/07/28,櫃買中心同意上櫃契約
2940,歐都納,24.05,24.0,3000,24.3,3000,24.10,24.00,24.05,24.10,6000,-,
2942,京站,36.62,36.5,3000,38.2,2999,38.30,36.50,36.59,38.20,6550,-,
3097,拍檔,24.37,24.1,1000,24.95,2990,25.30,24.00,24.12,24.95,2047,-,
3117,年程,26.68,26.2,3000,27.15,3000,27.75,26.20,26.84,27.15,43022,-,
