股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        76.65          6         70.0           9.94        2      -201139 📉 觀望/賣出             
0052.TW      富邦科技          45.68          6        68.18          10.85        2        -4470 📉 觀望/賣出             
0056.TW      元大高股息         39.13          3        77.78           6.96        3         1347 📈 持有                
00631L.TW    元大台灣50正2      479.7          3        76.92           6.89        2         -371 📉 觀望/賣出             
00632R.TW    元大台灣50反1      13.99          6        33.33          -4.91        3           44 📉 觀望/賣出             
00633L.TW    富邦上証正2        48.29         19         50.0          -0.45        2         1273 📈 持有                
00634R.TW    富邦上証反1         3.23          5         50.0          -2.64        4            0 📉 觀望/賣出             
00635U.TW    期元大S&P黃金      53.45          5        77.78          14.59        3        -4278 📉 觀望/賣出             
00637L.TW    元大滬深300正2     19.96         11        55.56           2.83        2         8050 📈 持有                
00638R.TW    元大滬深300反1      6.95          7        47.37           -2.4        4            0 📉 觀望/賣出             
00640L.TW    富邦日本正2         86.7          6        66.67          14.05        2           67 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.26         11        43.75           0.36        2            0 📈 持有                
00642U.TW    期元大S&P石油      25.65         11        61.76          65.27        0         -290 📈 持有                
00646.TW     元大S&P500       67.1         16          0.0          -2.73        3          -19 📉 觀望/賣出             
00648R.TW    元大S&P500反1     4.49         15        43.75           -1.2        3           88 📈 持有                
00650L.TW    復華香港正2        17.89          3        55.56            2.2        4          220 📈 持有                
00651R.TW    復華香港反1         5.23          7        43.75           1.51        3            0 📉 觀望/賣出             
00654R.TW    富邦印度反1          7.0         11         61.9           6.91        2            0 📈 持有                
00655L.TW    未知            33.58         11         50.0           4.85        1          910 📈 持有                
00656R.TW    國泰中國A50反1      6.15          6         50.0           -3.5        5          -50 📉 觀望/賣出             
00662.TW     富邦NASDAQ      100.9         18        33.33          -6.31        4         3242 📉 觀望/賣出             
00663L.TW    國泰臺灣加權正2      62.65          3        66.67           7.28        2          177 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.27          6         37.5          -4.17        3            0 📉 觀望/賣出             
00665L.TW    富邦恒生國企正2      10.38          3        57.14          -0.34        3         -516 📈 持有                
00666R.TW    富邦恒生國企反1       8.93          8        47.37           1.27        3           -2 📉 觀望/賣出             
00669R.TW    國泰美國道瓊反1       5.88         16        58.82          -0.65        3            0 📈 持有                
00671R.TW    富邦NASDAQ反1     2.94         19        41.18          -1.41        2            0 📈 持有                
00673R.TW    期元大S&P原油反1    18.96         10          0.0            0.0        0            0 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     4.94         17        66.67           2.07        0           -5 📈 持有                
00675L.TW    富邦臺灣加權正2      190.1          3        76.92           6.79        2          138 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.68          6        33.33          -4.18        3           20 📉 觀望/賣出             
00679B.TWO   元大美債20年       27.32         14        56.25           2.35        1       -16883 📉 觀望/賣出             
00680L.TW    元大美債20正2       7.18          7         60.0           2.57        3       -26697 📉 觀望/賣出             
00685L.TW    群益臺灣加權正2     171.05          3        76.92           6.77        2           57 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1       1.39          5         37.5          -2.81        2           60 📉 觀望/賣出             
00687B.TWO   國泰20年美債        28.4         12        57.14           2.19        1       -34441 📉 觀望/賣出             
00688L.TW    國泰20年美債正2      7.17          7        57.14           2.72        3        -1723 📉 觀望/賣出             
00693U.TW    期街口S&P黃豆      21.91          8        78.26           6.74        3           44 📉 觀望/賣出             
00696B.TWO   富邦美債20年       29.74         14        56.25           2.32        1         4173 📉 觀望/賣出             
00700.TW     富邦�琤肭磪�       18.11          4         50.0           1.74        3          256 📈 持有                
00703.TW     台新MSCI中國       21.2         15         75.0           0.65        1            0 📈 持有                
00708L.TW    期元大S&P黃金正2   115.85          5        77.78          29.44        3          -14 📉 觀望/賣出             
00712.TW     復華富時不動產        8.99         17          0.0            0.0        0       -26811 📉 觀望/賣出             
00713.TW     元大台灣高息低波      52.75          3        81.25           4.49        3          847 📈 持有                
00715L.TW    期街口布蘭特正2       52.5         11        70.59         147.88        0          678 📈 持有                
00719B.TWO   元大美債1-3       31.41         11        43.75           0.19        1         -515 📈 持有                
00720B.TWO   元大投資級公司債      32.98         17        38.46          -0.45        1       -22375 📉 觀望/賣出             
00722B.TWO   群益投資級電信債      36.23         13        30.77          -0.96        2        -3292 📉 觀望/賣出             
00724B.TWO   群益投資級金融債      33.87          4        58.33           0.69        3        -1092 📉 觀望/賣出             
00725B.TWO   國泰投資級公司債      35.09         17         50.0           -0.0        1       -13954 📉 觀望/賣出             
00735.TW     國泰臺韓科技         69.3          3         75.0           2.96        3         -132 📉 觀望/賣出             
00738U.TW    期元大道瓊白銀       67.15          5        58.33          12.99        3        -2723 📉 觀望/賣出             
00740B.TWO   富邦全球投等債       38.51          3        58.33           0.26        4         1638 📉 觀望/賣出             
00746B.TWO   未知            35.71         12         50.0           0.36        1          303 📉 觀望/賣出             
00749B.TWO   凱基新興債10+      32.01         19        38.89           0.56        2            3 📉 觀望/賣出             
00751B.TWO   元大AAA至A公司債    31.92         17        38.46          -1.07        2       -18815 📉 觀望/賣出             
00752.TW     中信中國50        25.35          3        55.56          -0.79        4         1734 📈 持有                
00753L.TW    中信中國50正2      11.47          4        63.64          -0.55        3        -3413 📈 持有                
00757.TW     統一FANG+       110.4         10         50.0          -1.97        2         -219 📉 觀望/賣出             
00761B.TWO   國泰A級公司債       34.52          3        41.67          -0.11        5         -141 📉 觀望/賣出             
00764B.TWO   群益25年美債       28.37         12        57.14           2.01        1         2024 📉 觀望/賣出             
00768B.TWO   復華20年美債        51.6         14         60.0           1.43        1           72 📉 觀望/賣出             
00770.TW     國泰北美科技         51.7         18        42.86          -3.49        2          354 📉 觀望/賣出             
00772B.TWO   中信高評級公司債      33.65         18        41.67          -0.07        1        -1931 📉 觀望/賣出             
00773B.TWO   中信優先金融債       35.76          3        53.85            0.3        5         -992 📉 觀望/賣出             
00780B.TWO   國泰A級金融債       37.67         16        36.84           0.05        2         -181 📉 觀望/賣出             
00795B.TWO   中信美國公債20年     27.57         13        56.25           2.37        1        -6482 📉 觀望/賣出             
00830.TW     國泰費城半導體        55.0         14        58.33           -1.5        2         1110 📉 觀望/賣出             
00852L.TW    未知            28.73         12         40.0          -5.94        2           -1 📉 觀望/賣出             
00857B.TWO   永豐20年美公債       23.9         14        56.25           2.42        1          517 📉 觀望/賣出             
00864B.TWO   中信美國公債0-1     46.56         16        41.18           0.39        1          751 📈 持有                
00865B.TW    國泰US短期公債      48.15         16        47.06            0.6        1         -290 📈 持有                
00875.TW     國泰網路資安         38.1         13        45.45           3.52        1           39 📈 持有                
00877.TWO    復華中國5G        28.29          5        33.33          -6.97        7         -333 📉 觀望/賣出             
00878.TW     國泰永續高股息       22.62          5        83.33           6.09        3        18860 📈 持有                
00881.TW     國泰台灣科技龍頭      37.03          6        72.73          12.08        2         2325 📉 觀望/賣出             
00882.TW     中信中國高股息       16.19          3        64.71           5.86        4          503 📉 觀望/賣出             
00885.TW     富邦越南          17.81          7        45.45          -0.43        4        -2445 📉 觀望/賣出             
00887.TWO    永豐中國科技50大      12.9         10        53.33          -0.06        3          161 📈 持有                
00891.TW     中信關鍵半導體       24.38          4        68.42          13.54        3         2454 📈 持有                
00893.TW     國泰智能電動車       33.61          6        47.37          -1.93        3         2388 📉 觀望/賣出             
00900.TW     富邦特選高股息30     14.39          3        66.67           1.66        3         -222 📈 持有                
00902.TW     中信電池及儲能        14.3          4        52.94           7.71        4         1409 📉 觀望/賣出             
00904.TW     新光臺灣半導體30     29.45          5        71.43           14.9        2         2044 📈 持有                
00909.TW     國泰數位支付服務       40.7          5         50.0          -4.05        3         2636 📈 持有                
00910.TW     第一金太空衛星        56.1          4        43.75           1.85        4          502 📉 觀望/賣出             
00915.TW     凱基優選高股息30     23.54          6        63.16            5.1        2          251 📈 持有                
00918.TW     大華優利高填息30     23.57          3        68.42            3.9        3         1595 📈 持有                
00919.TW     群益台灣精選高息      23.27          3        70.59            3.7        3       -36770 📉 觀望/賣出             
