股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
00780B.TWO   國泰A級金融債       37.67         16        36.84           0.05        2         -181 📉 建議賣出              
00795B.TWO   中信美國公債20年     27.57         14        52.63           1.22        3        -6482 📉 建議賣出              
00830.TW     國泰費城半導體        55.0         14        53.33          -3.64        3         1110 📉 建議賣出              
00852L.TW    未知            28.73         19        33.33          -6.53        2           -1 📉 建議賣出              
00857B.TWO   永豐20年美公債       23.9         14         50.0          -0.03        4          517 📉 建議賣出              
00864B.TWO   中信美國公債0-1     46.56          4        52.17           1.61        5          751 📉 建議賣出              
00865B.TW    國泰US短期公債      48.15          4        56.52           2.08        4         -290 📉 建議賣出              
00875.TW     國泰網路資安         38.1         13        45.45           3.52        1           39 📈 持有 → 繼續持有         
00877.TWO    復華中國5G        28.29          5         37.5          -5.08        8         -333 📉 建議賣出              
00878.TW     國泰永續高股息       22.62          5        74.07           7.47        4        18860 📈 持有 → 繼續持有         
00881.TW     國泰台灣科技龍頭      37.03          6        65.52          12.45        3         2325 📈 持有 → 繼續持有         
00882.TW     中信中國高股息       16.19          3        57.69           4.46        8          503 📉 建議賣出              
00885.TW     富邦越南          17.81          7        35.71          -2.31        6        -2445 📈 持有 → 繼續持有         
00887.TWO    永豐中國科技50大      12.9          6        52.38          -0.12        5          161 📉 建議賣出              
00891.TW     中信關鍵半導體       24.38          6        60.71          14.51        3         2454 📈 持有 → 繼續持有         
00893.TW     國泰智能電動車       33.61          6        52.17            2.5        3         2388 📉 建議賣出              
00900.TW     富邦特選高股息30     14.39          6        65.22           3.67        4         -222 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能        14.3          5         56.0           9.53        5         1409 📉 建議賣出              
00904.TW     新光臺灣半導體30     29.45          5        71.43           19.8        2         2044 📈 持有 → 繼續持有         
00909.TW     國泰數位支付服務       40.7         18         50.0          -4.83        2         2636 📈 持有 → 繼續持有         
00910.TW     第一金太空衛星        56.1          3        46.43          -1.14        8          502 📉 建議賣出              
00915.TW     凱基優選高股息30     23.54          5        60.71           6.58        3          251 📈 持有 → 繼續持有         
00918.TW     大華優利高填息30     23.57          6         72.0           5.94        3         1595 📈 持有 → 繼續持有         
00919.TW     群益台灣精選高息      23.27          5        65.38           4.93        3       -36770 📉 建議賣出              
00922.TW     國泰台灣領袖50      28.45          6        64.29           1.71        3       -43214 📉 建議賣出              
00923.TW     群益台ESG低碳50    29.08          6        62.07           9.58        3         -104 📈 持有 → 繼續持有         
00924.TW     復華S&P500成長    28.18         16        33.33          -2.47        3          -54 📉 建議賣出              
00927.TW     群益半導體收益       24.95          5         68.0          16.99        3          728 📈 持有 → 繼續持有         
00929.TW     復華台灣科技優息      19.93          6        70.83          11.39        3         4961 📈 持有 → 繼續持有         
00931B.TWO   統一美債20年       13.81         14         50.0           0.12        4         1597 📉 建議賣出              
00933B.TWO   國泰10Y+金融債      16.0          3         50.0           1.04        8       -30478 📉 建議賣出              
00936.TW     台新永續高息中小      18.01          3        66.67          10.79        6          593 📈 持有 → 繼續持有         
00937B.TWO   群益ESG投等債20+    14.74          4        47.83          -1.31        5      -187720 📉 建議賣出              
00939.TW     統一台灣高息動能      15.93          3        66.67           8.36        7         2727 📈 持有 → 繼續持有         
00940.TW     元大台灣價值高息       9.83          3        70.37           4.97        7        12938 📈 持有 → 繼續持有         
00941.TW     中信上游半導體       21.71          6        53.33           13.1        3         -121 📈 持有 → 繼續持有         
00942B.TWO   台新美A公司債20+    14.26          3         50.0          -0.37        8         -802 📉 建議賣出              
00945B.TW    凱基美國非投等債      14.43          5        52.94          -0.35        4         5156 📉 建議賣出              
00946.TW     群益科技高息成長      10.18          6        70.83          10.78        2         2204 📈 持有 → 繼續持有         
00947.TW     台新臺灣IC設計      25.04          8        70.83          16.94        2         3888 📈 持有 → 繼續持有         
00948B.TWO   中信優息投資級債        9.4         19         40.0          -1.45        3       -16053 📉 建議賣出              
00949.TW     復華日本龍頭         19.5          5        47.83           6.32        4          245 📉 建議賣出              
00950B.TWO   凱基A級公司債       14.09          3        45.45          -0.39        8       -70500 📉 建議賣出              
00951.TW     台新日本半導體       13.56          6        43.48           4.23        5          -43 📉 建議賣出              
00952.TW     凱基台灣AI50      13.11          6        68.18           6.45        4        -1375 📈 持有 → 繼續持有         
00953B.TW    群益優選非投等債       9.65          4        53.33           0.54        4        -1981 📉 建議賣出              
00955.TWO    中信日本商社        15.59          4        72.73          16.85        5         2494 📈 持有 → 繼續持有         
00959B.TWO   大華投等美債15Y+     9.38         19        41.18           -1.4        2        -5715 📉 建議賣出              
00963.TW     中信全球高股息       12.29          7        62.96           4.95        1         -185 📈 持有 → 繼續持有         
00965.TW     元大航太防衛科技      25.82          3         56.0          -3.49        7         2589 📉 建議賣出              
00968B.TWO   元大優息投等債        9.25          3        52.38          -0.63        9       -10444 📉 建議賣出              
00969B.TWO   未知             8.51         19         50.0           0.12        2          822 📉 建議賣出              
00970B.TWO   新光BBB投等債20+     9.32         19        53.33          -1.17        2        -1049 📉 建議賣出              
009801.TW    中信美國創新科技      10.51         20         20.0          -4.49        4          443 📉 建議賣出              
009803.TW    保德信市值動能50     15.51          7        57.14           8.59        3          156 📈 持有 → 繼續持有         
009805.TW    新光美國電力基建      15.04          5        60.87           12.9        4         1588 📈 持有 → 繼續持有         
00980A.TW    主動野村臺灣優選      17.43          6         60.0           7.07        4         4112 📈 持有 → 繼續持有         
009811.TW    統一美國50        11.29         19          0.0           -1.6        2           77 📉 建議賣出              
009813.TW    貝萊德標普卓越50     10.12         19          0.0          -1.13        1        12365 📉 建議賣出              
009814.TWO   富邦標普500        9.92         17          0.0           -3.0        3          242 📉 建議賣出              
009815.TWO   大華美國MAG7+      9.54         20          0.0            0.0        0         3078 📉 建議賣出              
009816.TW    凱基台灣TOP50     10.84          4        66.67           7.16        2        -9492 📈 持有 → 繼續持有         
009817.TW    國泰日本不動產        9.79          9          0.0            0.0        0          241 📈 持有 → 繼續持有         
00981A.TW    主動統一台股增長      20.35         12        100.0            1.5        0       -11413 📈 持有 → 繼續持有         
00981B.TWO   第一金優選非投債       9.31          3        52.94           0.46        7         -785 📉 建議賣出              
00981D.TWO   主動中信非投等債      10.35          3         60.0          -0.59        6        -9937 📉 建議賣出              
