股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
VJC.VN,未知,🔥 訊號出現,129000.0,66.13,🔴 空頭陷阱,33.33%,0.00%,-3.02%,-4.94%,3,122629.63,0.0,-0.0302
BID.VN,未知,無,35750.0,39.0,🟢 黃金標的,54.55%,63.64%,5.19%,-2.26%,11,0.0,0.6364,0.0519
LPB.VN,未知,無,48000.0,39.79,⚪ 一般監控,50.00%,62.50%,2.07%,-1.94%,8,0.0,0.625,0.0207
PLX.VN,未知,無,37400.0,59.5,⚪ 一般監控,75.00%,50.00%,5.80%,-4.33%,12,0.0,0.5,0.058
VIC.VN,未知,無,241200.0,55.88,⚪ 一般監控,55.56%,44.44%,1.44%,-4.45%,9,0.0,0.4444,0.0144
FRT.VN,未知,無,130900.0,23.21,⚪ 一般監控,44.44%,44.44%,0.47%,-2.75%,9,0.0,0.4444,0.0047
VNM.VN,未知,無,61200.0,43.37,⚪ 一般監控,28.57%,42.86%,0.43%,-3.59%,7,0.0,0.4286,0.0043
VCB.VN,未知,無,59900.0,48.65,⚪ 一般監控,66.67%,33.33%,2.80%,-1.85%,12,0.0,0.3333,0.028
FUEVFVND.VN,未知,無,34200.0,42.05,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
HDB.VN,未知,無,27500.0,43.75,🔴 空頭陷阱,55.56%,55.56%,-0.72%,-1.63%,9,0.0,0.5556,-0.0072
SSI.VN,未知,無,21400.0,50.85,🔴 空頭陷阱,25.00%,50.00%,-2.79%,-5.32%,4,0.0,0.5,-0.0279
GMD.VN,未知,無,77300.0,36.25,🔴 空頭陷阱,52.94%,41.18%,-1.18%,-2.55%,17,0.0,0.4118,-0.0118
BCM.VN,未知,無,40250.0,26.15,🔴 空頭陷阱,0.00%,40.00%,-0.75%,-5.28%,5,0.0,0.4,-0.0075
E1VFVN30.VN,未知,無,35500.0,46.29,🔴 空頭陷阱,66.67%,33.33%,-1.42%,-1.34%,3,0.0,0.3333,-0.0142
VHC.VN,未知,無,50100.0,28.26,🔴 空頭陷阱,44.44%,33.33%,-0.96%,-2.45%,9,0.0,0.3333,-0.0096
HPG.VN,未知,無,21550.0,41.27,🔴 空頭陷阱,33.33%,33.33%,-0.29%,-1.88%,3,0.0,0.3333,-0.0029
FPT.VN,未知,無,71700.0,43.24,🔴 空頭陷阱,28.57%,28.57%,-0.18%,-3.45%,7,0.0,0.2857,-0.0018
HVN.VN,未知,無,20900.0,24.05,🔴 空頭陷阱,75.00%,25.00%,-3.72%,-3.82%,4,0.0,0.25,-0.0372
VPB.VN,未知,無,27450.0,46.53,🔴 空頭陷阱,20.00%,20.00%,-1.78%,-1.85%,5,0.0,0.2,-0.0178
VHM.VN,未知,無,71000.0,35.71,🔴 空頭陷阱,20.00%,20.00%,-1.41%,-5.24%,5,0.0,0.2,-0.0141
GEE.VN,未知,無,63900.0,49.14,🔴 空頭陷阱,50.00%,16.67%,-6.49%,-7.85%,12,0.0,0.1667,-0.0649
MBB.VN,未知,無,19900.0,29.82,🔴 空頭陷阱,0.00%,0.00%,-4.20%,-4.00%,1,0.0,0.0,-0.042
MWG.VN,未知,無,72500.0,38.53,🔴 空頭陷阱,50.00%,0.00%,-4.63%,-3.14%,4,0.0,0.0,-0.0463
VID.VN,未知,無,4280.0,39.09,🔴 空頭陷阱,0.00%,0.00%,-5.93%,-8.13%,1,0.0,0.0,-0.0593
