SID,Name,Advice
2317,鴻海,🚨 賣出
3702,大聯大,⏳ 觀望
2485,兆赫,⏳ 觀望
2367,燿華,⏳ 觀望
4142,國光生,🚨 賣出
0050,元大台灣50,⏳ 觀望
0056,元大高股息,⏳ 觀望
00635U,期元大S&P黃金,🚨 賣出
00738U,期元大道瓊白銀,⏳ 觀望
00929,復華台灣科技優息,⏳ 觀望
009816,凱基台灣TOP50,⏳ 觀望
00990A,主動元大AI新經濟,⏳ 觀望
2009,第一銅,🚨 賣出
2337,旺宏,⏳ 觀望
2352,佳世達,🔥 買入
2409,友達,⏳ 觀望
3481,群創,⏳ 觀望
6136,富爾特,⏳ 觀望
6806,森崴能源,🚨 賣出
3105,穩懋,⏳ 觀望
4966,譜瑞-KY,🚨 賣出
6188,廣明,🚨 賣出
7792,安葆,⏳ 觀望
2327,國巨*,⏳ 觀望
3714,富采,⏳ 觀望
1802,台玻,⏳ 觀望
