     Stock        Name  Score    Close                                 BuyReason
   3036.TW          文曄    7.5   235.50 外資買1442張 | ADX轉強 | 【營收爆發(151.67%) | 董監加碼】
   3706.TW          神達    6.5    82.70         外資買1733張 | ADX轉強 | 【營收爆發(34.35%)】
   6531.TW         愛普*    6.5   531.00        外資買2988張 | ADX轉強 | 【營收爆發(146.68%)】
   1528.TW          恩德    6.0    22.40       外資買1261張 | 【EPS連2成長 | 營收爆發(44.26%)】
   6415.TW      矽力*-KY    6.0   280.00       外資買1130張 | 【EPS連2成長 | 營收爆發(46.42%)】
   9933.TW          中鼎    6.0    33.85              外資買2743張 | ADX轉強 | 【EPS連2成長】
   4967.TW          十銓    6.0   197.00      外資買1436張 | 【EPS連2成長 | 營收爆發(112.73%)】
  4973.TWO          廣穎    5.5    67.20          ADX轉強 | 【EPS連2成長 | 營收爆發(42.53%)】
  3093.TWO         港建*    5.0    40.55              ADX轉強 | 【營收爆發(90.8%) | 董監加碼】
  5536.TWO         聖暉*    4.5   679.00           【EPS連2成長 | 營收爆發(38.79%) | 董監加碼】
   6994.TW        富威電力    4.5    83.10          【EPS連2成長 | 營收爆發(114.38%) | 董監加碼】
  5351.TWO          鈺創    4.5    63.80                外資買4994張 | 【營收爆發(310.99%)】
  8299.TWO          群聯    4.5  1800.00          【EPS連2成長 | 營收爆發(169.43%) | 董監加碼】
 00642U.TW    期元大S&P石油    4.5    25.50                          外資買4488張 | ADX轉強
   6902.TW    GOGOLOOK    4.5    77.90           【EPS連2成長 | 營收爆發(37.39%) | 董監加碼】
  4991.TWO       環宇-KY    4.5   331.50          【EPS連2成長 | 營收爆發(155.98%) | 董監加碼】
  3211.TWO          順達    4.5   307.50                          外資買1002張 | ADX轉強
  3088.TWO          艾訊    4.5    81.70           【EPS連2成長 | 營收爆發(50.04%) | 董監加碼】
   6191.TW         精成科    4.5    99.50                 外資買2858張 | 【營收爆發(93.36%)】
  3260.TWO          威剛    4.5   359.50                 外資買2294張 | 【營收爆發(114.3%)】
   3231.TW          緯創    4.5   134.00                外資買3895張 | 【營收爆發(177.37%)】
   2376.TW          技嘉    4.5   233.00                  外資買1385張 | 【營收爆發(47.4%)】
   2337.TW          旺宏    4.5   108.50                外資買34433張 | 【營收爆發(59.98%)】
 00953B.TW    群益優選非投等債    4.5     9.65                          外資買1542張 | ADX轉強
   6197.TW         佳必琪    4.5   175.50                          外資買1003張 | ADX轉強
  5345.TWO          馥鴻    4.0    23.10                   ADX轉強 | 【營收爆發(214.64%)】
   8271.TW          宇瞻    4.0   173.50                   ADX轉強 | 【營收爆發(193.82%)】
  1785.TWO         光洋科    4.0    82.00                    ADX轉強 | 【營收爆發(67.72%)】
   8028.TW       昇陽半導體    4.0   189.00                      外資買4194張 | 【EPS連2成長】
