股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,57.30,201,64.28,36.61,---,3.53%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7806,精華生醫,62.90,8,80.50,57.60,---,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,678.00,1265,956.00,155.35,---,0.74%,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.42,2927,30.21,27.12,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.37%,均線糾擺
6153,嘉聯益,17.20,3853,24.45,13.50,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,184.00,4849,346.94,79.40,---,4.05%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,64.40,652,98.20,37.00,---,3.47%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.35,46,13.60,6.09,---,---,均線糾擺,無,無,MA 乖離率僅 0.92%,均線糾擺
3479,安勤,140.50,556,156.50,83.70,📅 預告 (20260819),5.22%,均線糾擺,無,無,MA 乖離率僅 1.36%,均線糾擺
1789,神隆,18.85,304,28.25,16.65,📅 預告 (20260817),2.02%,均線糾擺,無,無,MA 乖離率僅 1.24%,均線糾擺
3171,炎洲流通,64.70,23,79.40,39.50,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.09%,均線糾擺
4721,美琪瑪,74.80,336,101.00,61.20,---,3.35%,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.34%,均線糾擺
911608,明輝-DR,2.61,37,3.51,2.53,---,1.89%,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6924,榮惠-KY創,116.00,76,193.50,47.80,---,7.45%,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,485.50,2995,573.00,278.50,---,4.08%,貼軌運行 -> 強勢突破 (軌外),連2日大漲,無,股價衝破布林上軌 (460.90)，進入噴發段,強勢突破 (軌外)
3011,今皓,11.30,527,17.15,11.30,---,---,均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
00876,元大全球5G,89.65,164,107.70,37.15,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
00676,富邦臺灣加權反1,5.57,5963,11.39,5.32,---,---,均線糾擺,無,無,MA 乖離率僅 1.25%,均線糾擺
4961,天鈺,173.00,524,188.00,135.00,---,5.89%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2012,春雨,15.00,95,17.99,14.15,---,5.31%,均線糾擺,無,無,MA 乖離率僅 1.07%,均線糾擺
8114,振樺電,215.00,592,283.50,164.00,---,2.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,48.95,4,66.90,24.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.36%,均線糾擺
8028,昇陽半導體,265.00,2817,356.50,128.00,---,1.49%,進入盤整,無,無,ADX 為 13.86 (低於 20),進入盤整
6972,博瑞達應材,24.10,1,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.60%,均線糾擺
6443,元晶,26.75,2353,52.30,11.95,---,1.64%,趨勢運行 -> 進入盤整,無,無,ADX 為 18.53 (低於 20),進入盤整
00990,主動元大AI新經濟,10.08,2150,10.11,9.99,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.12%,均線糾擺
2748,雲品,38.45,69,49.24,37.76,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.48%,均線糾擺
6525,捷敏-KY,143.00,1319,221.00,67.50,---,5.85%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
006205,富邦上証,41.58,239,42.30,32.40,---,---,均線糾擺,無,無,MA 乖離率僅 0.58%,均線糾擺
6877,鏵友益,127.50,52,186.00,80.00,---,0.1%,進入盤整,無,無,ADX 為 15.21 (低於 20),進入盤整
4582,聚恆-創,25.35,874,43.20,17.05,---,---,資料不足 -> 離開盤整 (向下),無,連2日大跌,跌破布林下軌 (25.96),離開盤整 (向下)
2758,路易莎咖啡,70.50,0,104.34,64.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.32%,均線糾擺
1802,台玻,57.60,38065,76.60,23.30,---,---,進入盤整,隔一漲,無,ADX 為 16.41 (低於 20),進入盤整
7642,昶瑞機電,79.00,17,129.00,63.20,---,4.08%,均線糾擺,無,無,MA 乖離率僅 0.86%,均線糾擺
9938,百和,42.50,1066,60.40,42.00,---,5.67%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4442,竣邦-KY,52.80,79,72.60,45.75,---,5.25%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00635,期元大S&P黃金,45.66,4698,60.55,35.95,---,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (45.57)，進入噴發段,強勢突破 (軌外)
2408,南亞科,482.50,93467,505.00,42.20,---,0.32%,進入盤整,無,無,ADX 為 11.17 (低於 20),進入盤整
2539,櫻花建,42.15,1228,57.09,33.20,---,0.83%,均線糾擺,無,無,MA 乖離率僅 0.97%,均線糾擺
2504,國產,31.20,1570,39.65,30.30,---,6.39%,均線糾擺,無,無,MA 乖離率僅 0.55%,均線糾擺
5546,永固-KY,13.70,22,28.45,13.50,---,6.57%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3086,華義*,26.85,88,43.50,13.35,---,0.17%,趨勢運行 -> 進入盤整,無,無,ADX 為 19.84 (低於 20),進入盤整
2395,研華,686.00,5999,686.00,273.50,---,2.49%,貼軌運行,隔一漲,無,股價於高位貼軌 (686.00 > 1.5σ)，動能強勁,貼軌運行
